similarity_bin,n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper,benchmark,detector,target_risk
high,2100,0,0.0,,,,runs_n_poses,rank,0.1
low,528,0,0.0,,,,runs_n_poses,rank,0.1
mid,2099,0,0.0,,,,runs_n_poses,rank,0.1
high,2100,7,0.0033333333333333335,0.0,1.0,0.34816365513116077,runs_n_poses,rank,0.15
low,528,0,0.0,,,,runs_n_poses,rank,0.15
mid,2099,3,0.0014292520247737017,0.3333333333333333,0.6666666666666667,0.8646496378284161,runs_n_poses,rank,0.15
high,2100,375,0.17857142857142858,0.02666666666666667,0.9733333333333334,0.044812743339634656,runs_n_poses,rank,0.2
low,528,25,0.04734848484848485,0.56,0.43999999999999995,0.7301469412937531,runs_n_poses,rank,0.2
mid,2099,269,0.12815626488804194,0.34944237918215615,0.6505576208178439,0.400197035232995,runs_n_poses,rank,0.2
high,2100,692,0.3295238095238095,0.05491329479768786,0.9450867052023122,0.07135881456191355,runs_n_poses,rank,0.25
low,528,76,0.14393939393939395,0.75,0.25,0.8296778771117408,runs_n_poses,rank,0.25
mid,2099,515,0.24535493091948546,0.39223300970873787,0.6077669902912621,0.42898824380193684,runs_n_poses,rank,0.25
high,2100,1328,0.6323809523809524,0.0730421686746988,0.9269578313253012,0.0858811444238373,runs_n_poses,rank,0.3
low,528,194,0.36742424242424243,0.8092783505154639,0.19072164948453607,0.8544574482481753,runs_n_poses,rank,0.3
mid,2099,1119,0.5331110052405907,0.450402144772118,0.549597855227882,0.4753892099604818,runs_n_poses,rank,0.3
high,2100,1838,0.8752380952380953,0.0984766050054407,0.9015233949945594,0.11066064384964625,runs_n_poses,rank,0.35
low,528,363,0.6875,0.8484848484848485,0.1515151515151515,0.8786127837701804,runs_n_poses,rank,0.35
mid,2099,1683,0.8018103858980467,0.48841354723707664,0.5115864527629234,0.508756095069048,runs_n_poses,rank,0.35
high,2100,982,0.4676190476190476,0.029531568228105907,0.9704684317718941,0.04004891033360816,runs_n_poses,rank_confidence,0.1
low,528,28,0.05303030303030303,0.4642857142857143,0.5357142857142857,0.6338032519942278,runs_n_poses,rank_confidence,0.1
mid,2099,422,0.20104811815150073,0.1990521327014218,0.8009478672985781,0.23374464753395016,runs_n_poses,rank_confidence,0.1
high,2100,1345,0.6404761904761904,0.036431226765799254,0.9635687732342008,0.045996264218520405,runs_n_poses,rank_confidence,0.15
low,528,76,0.14393939393939395,0.6052631578947368,0.39473684210526316,0.6996227320718532,runs_n_poses,rank_confidence,0.15
mid,2099,767,0.36541210100047644,0.27640156453715775,0.7235984354628422,0.3042266095962502,runs_n_poses,rank_confidence,0.15
high,2100,1617,0.77,0.055658627087198514,0.9443413729128015,0.06596234701224597,runs_n_poses,rank_confidence,0.2
low,528,130,0.24621212121212122,0.676923076923077,0.32307692307692304,0.7446433334089335,runs_n_poses,rank_confidence,0.2
