method,case_type,n,mean_rmsd_gain,geometry_plausible_rate,needs_visual_review_count
boltz2,rescued,2,5.456137090921402,1.0,2
af3,rescued,5,2.3985467195510863,1.0,5
af3_no_template,rescued,2,0.9613565206527709,1.0,2
protenix,rescued,2,0.5506186485290527,1.0,2
chai,harmed,1,-3.162358522415161,1.0,1
af3,kept_official,79,0.0,0.3670886075949367,0
af3_no_template,kept_official,85,0.0,0.27058823529411763,0
boltz,kept_official,68,0.0,0.23529411764705882,0
boltz1x,kept_official,61,0.0,0.7868852459016393,0
boltz2,kept_official,24,0.0,0.8333333333333334,0
chai,kept_official,72,0.0,0.4861111111111111,0
protenix,kept_official,74,0.0,0.40540540540540543,0
