n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper,benchmark,selector,target_risk,public_pool_cases,manifest_cases,manifest_coverage,dataset
489,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.3,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.35,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.4,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.45,489.0,702,0.0,
489,96,0.19631901840490798,0.625,0.375,0.7076470804360884,posebench_public_pool_lodo,lodo_run_prior,0.5,489.0,702,0.13675213675213677,
489,463,0.9468302658486708,0.4946004319654428,0.5053995680345572,0.5338439040063931,posebench_public_pool_lodo,lodo_run_prior,0.55,489.0,702,0.6595441595441596,
489,488,0.9979550102249489,0.5061475409836066,0.4938524590163934,0.5442959617478891,posebench_public_pool_lodo,lodo_run_prior,0.6,489.0,702,0.6951566951566952,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.3,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.35,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.4,489.0,702,0.0,
489,8,0.016359918200409,0.75,0.25,0.9536107360203888,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.45,489.0,702,0.011396011396011397,
489,351,0.7177914110429447,0.4985754985754986,0.5014245014245013,0.5437823441404461,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.5,489.0,702,0.5,
489,464,0.9488752556237219,0.4892241379310345,0.5107758620689655,0.5284432507422349,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.55,489.0,702,0.6609686609686609,
489,488,0.9979550102249489,0.5,0.5,0.5381790102847348,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.6,489.0,702,0.6951566951566952,
489,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.3,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.35,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.4,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.45,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.5,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.55,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.6,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.3,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.35,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.4,489.0,702,0.0,
489,173,0.3537832310838446,0.45664739884393063,0.5433526011560694,0.522025985297481,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.45,489.0,702,0.24643874643874644,
489,243,0.49693251533742333,0.4773662551440329,0.522633744855967,0.5321179096092188,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.5,489.0,702,0.34615384615384615,
489,413,0.8445807770961146,0.5084745762711864,0.4915254237288136,0.5500061164945151,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.55,489.0,702,0.5883190883190883,
489,448,0.9161554192229039,0.5290178571428571,0.4709821428571429,0.5686960975761248,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.6,489.0,702,0.6381766381766382,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.3,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.35,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.4,489.0,702,0.0,
489,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.45,489.0,702,0.0,
489,14,0.028629856850715747,0.7142857142857143,0.2857142857142857,0.8959526924076343,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.5,489.0,702,0.019943019943019943,
489,193,0.3946830265848671,0.5751295336787565,0.4248704663212435,0.6350697566126888,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.55,489.0,702,0.27492877492877493,
489,308,0.6298568507157464,0.5551948051948052,0.44480519480519476,0.6028455263988058,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.6,489.0,702,0.43874643874643876,
85,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.3,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.3,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.3,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.35,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.35,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.35,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.4,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.4,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.4,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.45,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.45,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.45,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.5,,85,0.0,astex_diverse
