benchmark,detector,target_risk,fold,threshold,calibration_retained_n,calibration_failure_rate,calibration_cp_upper,calibration_coverage
runs_n_poses,rank,0.1,0,,0,,,0.0
runs_n_poses,rank,0.1,1,,0,,,0.0
runs_n_poses,rank,0.1,2,,0,,,0.0
runs_n_poses,rank,0.1,3,,0,,,0.0
runs_n_poses,rank,0.1,4,,0,,,0.0
runs_n_poses,rank,0.15,0,0.0558688274467948,40,0.05,0.14915196127321298,0.01057921184871727
runs_n_poses,rank,0.15,1,,0,,,0.0
runs_n_poses,rank,0.15,2,,0,,,0.0
runs_n_poses,rank,0.15,3,,0,,,0.0
runs_n_poses,rank,0.15,4,,0,,,0.0
runs_n_poses,rank,0.2,0,0.2514950988901631,496,0.1693548387096774,0.199516354243632,0.13118222692409415
runs_n_poses,rank,0.2,1,0.2517388251444344,501,0.16966067864271456,0.19967726539319397,0.13250462840518382
runs_n_poses,rank,0.2,2,0.2557004633800991,533,0.17073170731707318,0.19982284720350288,0.14093072448439978
runs_n_poses,rank,0.2,3,0.255071824838794,547,0.170018281535649,0.1986646809107106,0.14463246959280804
runs_n_poses,rank,0.2,4,0.2693470075065785,558,0.17025089605734767,0.1986047256955649,0.14754098360655737
runs_n_poses,rank,0.25,0,0.3785887769201574,1021,0.22722820763956905,0.2498596284378166,0.27003438243850836
runs_n_poses,rank,0.25,1,0.3685995484414747,971,0.22657054582904224,0.2497838431773047,0.2568103676276117
runs_n_poses,rank,0.25,2,0.3785324029116066,1039,0.2271414821944177,0.249564191887627,0.27472236911686937
runs_n_poses,rank,0.25,3,0.3795286521085946,1046,0.22753346080305928,0.2498896517129604,0.2765732416710735
runs_n_poses,rank,0.25,4,0.3845594154830341,1036,0.22683397683397682,0.24928107430591528,0.27392913802221047
runs_n_poses,rank,0.3,0,0.4943231075554606,1950,0.2825641025641026,0.29982709624292403,0.5157365776249669
runs_n_poses,rank,0.3,1,0.4911027077470546,1903,0.28218602207041515,0.29966051700226226,0.5033060037027242
runs_n_poses,rank,0.3,2,0.5273323215966261,2244,0.2838680926916221,0.2999501228948346,0.5933368588048652
runs_n_poses,rank,0.3,3,0.5308656729592777,2239,0.2836087539079946,0.29970513653026354,0.5920148069804336
runs_n_poses,rank,0.3,4,0.530585839031134,2218,0.2835888187556357,0.2997629244367199,0.5864621893178212
runs_n_poses,rank,0.35,0,0.6188809057202848,2917,0.33527596846074736,0.3499428664479264,0.7714890240677069
runs_n_poses,rank,0.35,1,0.6360970805637467,2967,0.33535557802494104,0.3498967414900745,0.7847130388786036
runs_n_poses,rank,0.35,2,0.6774076915435928,3215,0.3359253499222395,0.3498891261201268,0.8500793231094659
runs_n_poses,rank,0.35,3,0.6777004256135872,3207,0.33582787652011226,0.34980846564451196,0.8479640401903754
runs_n_poses,rank,0.35,4,0.6777004256135872,3209,0.335930196322842,0.3499073094247666,0.8484928609201481
runs_n_poses,rank_confidence,0.1,0,0.1553247850551803,1026,0.08382066276803118,0.09944394415186994,0.271356783919598
runs_n_poses,rank_confidence,0.1,1,0.1553247850551803,1038,0.0838150289017341,0.09933908841856713,0.2745305474742132
runs_n_poses,rank_confidence,0.1,2,0.2091891908019353,1249,0.08566853482786228,0.09983192977765483,0.3302485457429931
runs_n_poses,rank_confidence,0.1,3,0.2058013047044878,1197,0.08521303258145363,0.0996752442615347,0.31649920676890536
runs_n_poses,rank_confidence,0.1,4,0.2001585459480164,1204,0.08554817275747509,0.09998759220256404,0.3183500793231095
runs_n_poses,rank_confidence,0.15,0,0.3277523876179987,1667,0.1349730053989202,0.14951596558975894,0.44088865379529224
runs_n_poses,rank_confidence,0.15,1,0.3446007669999218,1687,0.13515115589804386,0.14961037633994678,0.44617825971965086
runs_n_poses,rank_confidence,0.15,2,0.3798202963181852,1848,0.13582251082251082,0.14963100583702135,0.48863035430988894
runs_n_poses,rank_confidence,0.15,3,0.3751158218864295,1776,0.1356981981981982,0.14979329605621447,0.46959280803807507
runs_n_poses,rank_confidence,0.15,4,0.355888996974247,1755,0.1356125356125356,0.14979266633650296,0.46404019037546274
runs_n_poses,rank_confidence,0.2,0,0.5066744733746537,2177,0.18557648139641708,0.19982243130837726,0.5757736048664375
runs_n_poses,rank_confidence,0.2,1,0.5150669887992048,2191,0.18575992697398447,0.19996357895989203,0.5794763290134884
runs_n_poses,rank_confidence,0.2,2,0.5578550908818104,2358,0.18617472434266327,0.1998583729648904,0.6234796404019037
runs_n_poses,rank_confidence,0.2,3,0.5629437926513173,2306,0.1860364267129228,0.19987548675421243,0.6097303014278159
runs_n_poses,rank_confidence,0.2,4,0.518131554093497,2230,0.18565022421524663,0.19972145628577204,0.5896351136964569
runs_n_poses,rank_confidence,0.25,0,0.6684862308820001,2637,0.23587409935532802,0.24987615807283356,0.697434541126686
runs_n_poses,rank_confidence,0.25,1,0.6767698013765204,2671,0.23586671658554847,0.24977667504347337,0.7064268711980958
runs_n_poses,rank_confidence,0.25,2,0.6979773295060017,2770,0.23610108303249097,0.24975752907660298,0.7324167107350608
runs_n_poses,rank_confidence,0.25,3,0.7055008571815918,2739,0.2362175976633808,0.24995546413378533,0.7242199894235855
runs_n_poses,rank_confidence,0.25,4,0.6872268857497001,2755,0.23629764065335754,0.24999592536720894,0.7284505552617663
runs_n_poses,rank_confidence,0.3,0,0.775273078115549,3020,0.2860927152317881,0.29993507698272526,0.7987304945781539
runs_n_poses,rank_confidence,0.3,1,0.7895061580420727,3065,0.2861337683523654,0.2998723906960204,0.8106321079079608
runs_n_poses,rank_confidence,0.3,2,0.8068671680285957,3157,0.2863477985429205,0.2998830993145911,0.8347435219460603
runs_n_poses,rank_confidence,0.3,3,0.8168059450654926,3144,0.2862595419847328,0.2998222561894905,0.8313061872025383
runs_n_poses,rank_confidence,0.3,4,0.80104832129204,3151,0.28625833068867024,0.29980562108882236,0.8331570597567425
runs_n_poses,rank_confidence,0.35,0,0.8691056831484865,3402,0.33627278071722516,0.34984348631606654,0.8997619677334039
runs_n_poses,rank_confidence,0.35,1,0.8918786219075431,3462,0.3365106874638937,0.3499633159946593,0.9156307855064798
runs_n_poses,rank_confidence,0.35,2,0.9235479373977824,3558,0.3367060146149522,0.3499744270174162,0.940772078265468
runs_n_poses,rank_confidence,0.35,3,0.9213480918881718,3548,0.3365276211950395,0.3498134565202629,0.938127974616605
runs_n_poses,rank_confidence,0.35,4,0.8999311957030828,3521,0.33655211587617156,0.34988991741472913,0.9309888947646747
runs_n_poses,memory_only,0.1,0,0.1034412478721839,1164,0.08505154639175258,0.09972349660586995,0.30785506479767255
runs_n_poses,memory_only,0.1,1,0.1120154596640675,1250,0.0856,0.09975268453287954,0.3306003702724147
runs_n_poses,memory_only,0.1,2,0.1300688277782501,1297,0.08558211256746338,0.09945395511255732,0.3429402432575357
runs_n_poses,memory_only,0.1,3,0.1512651535639205,1297,0.08558211256746338,0.09945395511255732,0.3429402432575357
runs_n_poses,memory_only,0.1,4,0.1260244558109013,1282,0.08580343213728549,0.09977736498736489,0.33897408778424115
runs_n_poses,memory_only,0.15,0,0.252945662165361,1656,0.13526570048309178,0.1498717046479191,0.437979370536895
runs_n_poses,memory_only,0.15,1,0.2616830327583265,1765,0.13541076487252124,0.1495404180188949,0.46680772282464955
runs_n_poses,memory_only,0.15,2,0.291887055055809,1772,0.13544018058690746,0.14954162065151883,0.4685351665785299
runs_n_poses,memory_only,0.15,3,0.346291197473942,1845,0.13604336043360435,0.14987235415530537,0.48783712321523004
runs_n_poses,memory_only,0.15,4,0.2345375110346914,1656,0.13526570048309178,0.1498717046479191,0.4378635642517187
runs_n_poses,memory_only,0.2,0,0.4617511813976019,2053,0.1850949829517779,0.19976786300921376,0.542978048135414
runs_n_poses,memory_only,0.2,1,0.4995176884051866,2208,0.18568840579710144,0.1998332522990788,0.5839724940491934
runs_n_poses,memory_only,0.2,2,0.4943627348325257,2241,0.1856314145470772,0.1996662617396611,0.5925436277102062
runs_n_poses,memory_only,0.2,3,0.5827974779778123,2307,0.1859557867360208,0.19978958702439947,0.6099947117927023
runs_n_poses,memory_only,0.2,4,0.4491313120481172,2152,0.1854089219330855,0.1997359132799637,0.5690111052353253
runs_n_poses,memory_only,0.25,0,0.7243897972952564,2634,0.2357630979498861,0.24977123789235844,0.6966411002380323
runs_n_poses,memory_only,0.25,1,0.6997527025484587,2645,0.23591682419659735,0.24989789680122895,0.6995503834964295
runs_n_poses,memory_only,0.25,2,0.7409119455438467,2792,0.23638968481375358,0.24999606066537583,0.7382337387625595
runs_n_poses,memory_only,0.25,3,0.7613947239326236,2776,0.23631123919308358,0.2499564105860162,0.7340031729243787
runs_n_poses,memory_only,0.25,4,0.6888778509768858,2671,0.23586671658554847,0.24977667504347337,0.7062400846113167
runs_n_poses,memory_only,0.3,0,0.8551518307026283,3014,0.2859986728599867,0.299853853208045,0.7971436128008463
runs_n_poses,memory_only,0.3,1,0.857398591904702,3066,0.28604044357469016,0.29977552976114125,0.8108965882041788
runs_n_poses,memory_only,0.3,2,0.8744166789999456,3211,0.2865151043288695,0.2999357761895439,0.8490216816499206
runs_n_poses,memory_only,0.3,3,0.8808488826090376,3157,0.2863477985429205,0.2998830993145911,0.8347435219460603
runs_n_poses,memory_only,0.3,4,0.8610228275657945,3137,0.2862607586866433,0.2998389490884209,0.8294553146483342
runs_n_poses,memory_only,0.35,0,0.966060191352848,3428,0.3363477246207701,0.3498666203020856,0.90663845543507
runs_n_poses,memory_only,0.35,1,0.9666260296025831,3460,0.33641618497109826,0.34987191585187927,0.9151018249140439
runs_n_poses,memory_only,0.35,2,0.97796100718584,3550,0.33661971830985915,0.3499025668716275,0.9386567953463776
runs_n_poses,memory_only,0.35,3,0.9766693058408038,3544,0.3366252821670429,0.3499196187922656,0.9370703331570598
runs_n_poses,memory_only,0.35,4,0.972006203057026,3548,0.3365276211950395,0.3498134565202629,0.938127974616605
runs_n_poses,rank_confidence_structure,0.1,0,0.2359657445329891,1635,0.0874617737003058,0.09981753675902545,0.43242528431631844
runs_n_poses,rank_confidence_structure,0.1,1,0.2435851624743328,1639,0.087248322147651,0.09957558104129109,0.4334832055011902
runs_n_poses,rank_confidence_structure,0.1,2,0.2488112239989051,1696,0.08785377358490566,0.09999185056349304,0.4484399788471708
runs_n_poses,rank_confidence_structure,0.1,3,0.2565992886215849,1688,0.08767772511848342,0.0998365394388287,0.4463246959280804
