selector,baseline,scope,n,official_success,selected_success,delta,rescued,harmed,net_rescue,binomial_p_greater
oracle_min_rmsd,official_ranking,all,4727,0.6244975671673366,0.7141950497144066,0.08969748254707,424,0,424,2.308244654446434e-128
oracle_min_rmsd,official_ranking,memory=high,2100,0.8885714285714286,0.9395238095238095,0.05095238095238097,107,0,107,6.162975822039155e-33
oracle_min_rmsd,official_ranking,memory=low,528,0.13825757575757575,0.23106060606060605,0.0928030303030303,49,0,49,1.7763568394002505e-15
oracle_min_rmsd,official_ranking,memory=mid,2099,0.48261076703191996,0.6102906145783706,0.12767984754645068,268,0,268,2.1084395886461046e-81
oracle_min_rmsd,official_ranking,method=af3,697,0.6341463414634146,0.7546628407460545,0.12051649928263986,84,0,84,5.169878828456423e-26
oracle_min_rmsd,official_ranking,method=af3_no_template,697,0.6456241032998565,0.7661406025824964,0.12051649928263986,84,0,84,5.169878828456423e-26
oracle_min_rmsd,official_ranking,method=boltz,670,0.6059701492537314,0.682089552238806,0.07611940298507458,51,0,51,4.440892098500626e-16
oracle_min_rmsd,official_ranking,method=boltz1x,666,0.6201201201201201,0.6756756756756757,0.05555555555555558,37,0,37,7.275957614183426e-12
oracle_min_rmsd,official_ranking,method=boltz2,630,0.6936507936507936,0.7666666666666667,0.07301587301587309,46,0,46,1.4210854715202004e-14
oracle_min_rmsd,official_ranking,method=chai,680,0.5926470588235294,0.6794117647058824,0.08676470588235297,59,0,59,1.734723475976807e-18
oracle_min_rmsd,official_ranking,method=protenix,687,0.5836972343522562,0.6754002911208151,0.09170305676855894,63,0,63,1.0842021724855044e-19
nested_pair_rank_structure_low_similarity_low_success,official_ranking,all,4727,0.6244975671673366,0.6299978844933362,0.0055003173259995375,61,35,26,0.0051729565413643885
nested_pair_rank_structure_low_similarity_low_success,official_ranking,memory=high,2100,0.8885714285714286,0.8919047619047619,0.0033333333333332993,17,10,7,0.12389428168535233
nested_pair_rank_structure_low_similarity_low_success,official_ranking,memory=low,528,0.13825757575757575,0.15151515151515152,0.013257575757575774,7,0,7,0.0078125
nested_pair_rank_structure_low_similarity_low_success,official_ranking,memory=mid,2099,0.48261076703191996,0.4883277751310148,0.005717008099094811,37,25,12,0.08094070276279881
nested_pair_rank_structure_low_similarity_low_success,official_ranking,method=af3,697,0.6341463414634146,0.6556671449067432,0.021520803443328518,22,7,15,0.004065029323101044
nested_pair_rank_structure_low_similarity_low_success,official_ranking,method=af3_no_template,697,0.6456241032998565,0.6542324246771879,0.008608321377331363,14,8,6,0.14313936233520508
nested_pair_rank_structure_low_similarity_low_success,official_ranking,method=boltz,670,0.6059701492537314,0.608955223880597,0.0029850746268655914,5,3,2,0.36328125
nested_pair_rank_structure_low_similarity_low_success,official_ranking,method=boltz1x,666,0.6201201201201201,0.6156156156156156,-0.0045045045045044585,4,7,-3,0.88671875
nested_pair_rank_structure_low_similarity_low_success,official_ranking,method=boltz2,630,0.6936507936507936,0.6984126984126984,0.004761904761904745,4,1,3,0.1875
nested_pair_rank_structure_low_similarity_low_success,official_ranking,method=chai,680,0.5926470588235294,0.5897058823529412,-0.002941176470588225,4,6,-2,0.828125
nested_pair_rank_structure_low_similarity_low_success,official_ranking,method=protenix,687,0.5836972343522562,0.5909752547307132,0.00727802037845704,8,3,5,0.11328125
fusion_rank_confidence,official_ranking,all,4727,0.6244975671673366,0.7000211550666384,0.0755235878993018,377,20,357,7.815871879086535e-87
fusion_rank_confidence,official_ranking,memory=high,2100,0.8885714285714286,0.9304761904761905,0.04190476190476189,96,8,88,1.382641414881546e-20
fusion_rank_confidence,official_ranking,memory=low,528,0.13825757575757575,0.2159090909090909,0.07765151515151517,41,0,41,4.547473508864641e-13
fusion_rank_confidence,official_ranking,memory=mid,2099,0.48261076703191996,0.5912339209147213,0.1086231538828013,240,12,228,1.5257197912868146e-56
fusion_rank_confidence,official_ranking,method=af3,697,0.6341463414634146,0.7345767575322812,0.1004304160688666,74,4,70,4.9815562727577e-18
fusion_rank_confidence,official_ranking,method=af3_no_template,697,0.6456241032998565,0.7560975609756098,0.11047345767575323,80,3,77,9.860820082244643e-21
fusion_rank_confidence,official_ranking,method=boltz,670,0.6059701492537314,0.655223880597015,0.04925373134328359,38,5,33,1.2497548596002162e-07
fusion_rank_confidence,official_ranking,method=boltz1x,666,0.6201201201201201,0.6591591591591591,0.03903903903903905,31,5,26,6.456742994487286e-06
fusion_rank_confidence,official_ranking,method=boltz2,630,0.6936507936507936,0.7603174603174603,0.06666666666666665,43,1,42,2.5579538487363607e-12
fusion_rank_confidence,official_ranking,method=chai,680,0.5926470588235294,0.6691176470588235,0.07647058823529407,54,2,52,2.2162827129079687e-14
fusion_rank_confidence,official_ranking,method=protenix,687,0.5836972343522562,0.6666666666666666,0.08296943231441045,57,0,57,6.938893903907228e-18
fusion_rank_confidence_structure,official_ranking,all,4727,0.6244975671673366,0.7006558070657922,0.0761582398984556,376,16,360,1.1278288902924839e-90
fusion_rank_confidence_structure,official_ranking,memory=high,2100,0.8885714285714286,0.9319047619047619,0.043333333333333335,96,5,91,3.2920535037404286e-23
fusion_rank_confidence_structure,official_ranking,memory=low,528,0.13825757575757575,0.2178030303030303,0.07954545454545456,42,0,42,2.2737367544323206e-13
fusion_rank_confidence_structure,official_ranking,memory=mid,2099,0.48261076703191996,0.5907575035731301,0.1081467365412101,238,11,227,5.292129454320318e-57
fusion_rank_confidence_structure,official_ranking,method=af3,697,0.6341463414634146,0.7388809182209469,0.10473457675753228,74,1,73,2.0117032497289633e-21
fusion_rank_confidence_structure,official_ranking,method=af3_no_template,697,0.6456241032998565,0.7546628407460545,0.10903873744619796,79,3,76,1.901770946320666e-20
fusion_rank_confidence_structure,official_ranking,method=boltz,670,0.6059701492537314,0.6626865671641791,0.05671641791044768,42,4,38,2.550095246078854e-09
fusion_rank_confidence_structure,official_ranking,method=boltz1x,666,0.6201201201201201,0.6561561561561562,0.03603603603603611,29,5,24,1.9279075786471367e-05
fusion_rank_confidence_structure,official_ranking,method=boltz2,630,0.6936507936507936,0.7634920634920634,0.06984126984126982,45,1,44,6.679101716144942e-13
fusion_rank_confidence_structure,official_ranking,method=chai,680,0.5926470588235294,0.6676470588235294,0.07499999999999996,53,2,51,4.2771342023684156e-14
fusion_rank_confidence_structure,official_ranking,method=protenix,687,0.5836972343522562,0.6622998544395924,0.0786026200873362,54,0,54,5.551115123125783e-17
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,all,4727,0.6244975671673366,0.7010789083985615,0.07658134123122484,377,15,362,4.772841533101099e-92
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,memory=high,2100,0.8885714285714286,0.9323809523809524,0.043809523809523854,97,5,92,1.7299364466874213e-23
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,memory=low,528,0.13825757575757575,0.2178030303030303,0.07954545454545456,42,0,42,2.2737367544323206e-13
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,memory=mid,2099,0.48261076703191996,0.5912339209147213,0.1086231538828013,238,10,228,4.655462710483137e-58
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,method=af3,697,0.6341463414634146,0.7388809182209469,0.10473457675753228,75,2,73,1.987880448087436e-20
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,method=af3_no_template,697,0.6456241032998565,0.7589670014347202,0.11334289813486365,81,2,79,3.6054734949655094e-22
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,method=boltz,670,0.6059701492537314,0.6611940298507463,0.055223880597014885,42,5,37,1.2289888218219858e-08
