selector,method,memory_bin,n,success,median_rmsd,pb_valid_all,mean_memory_score,official_success,delta_vs_official
official_ranking,all_methods,all,4727,0.6244975671673366,1.109410047531128,0.7125026443833298,0.6742088057849303,0.6244975671673366,0.0
oracle_min_rmsd,all_methods,all,4727,0.7141950497144066,0.7500402331352234,0.9900571186799239,0.6742088057849303,0.6244975671673366,0.08969748254707
nested_pair_rank_structure_antimemory_low_success,all_methods,all,4727,0.6299978844933362,1.093890905380249,0.7389464776814046,0.6742088057849303,0.6244975671673366,0.0055003173259995375
fusion_rank_confidence,all_methods,all,4727,0.7000211550666384,0.8468109369277954,0.9964036386714619,0.6742088057849303,0.6244975671673366,0.0755235878993018
fusion_rank_confidence_structure,all_methods,all,4727,0.7006558070657922,0.8566944599151611,0.9972498413370002,0.6742088057849303,0.6244975671673366,0.0761582398984556
fusion_rank_confidence_structure_memory,all_methods,all,4727,0.7010789083985615,0.8676759004592896,0.9972498413370002,0.6742088057849303,0.6244975671673366,0.07658134123122484
fusion_rank_confidence_structure_physics,all_methods,all,4727,0.7006558070657922,0.8566944599151611,0.9972498413370002,0.6742088057849303,0.6244975671673366,0.0761582398984556
fusion_rank_confidence_structure_memory_physics,all_methods,all,4727,0.7010789083985615,0.8676759004592896,0.9972498413370002,0.6742088057849303,0.6244975671673366,0.07658134123122484
fusion_rank_confidence_structure_memory_physics_antimemory,all_methods,all,4727,0.701290459064946,0.8607560396194458,0.9972498413370002,0.6742088057849303,0.6244975671673366,0.0767928918976094
official_ranking,all_methods,high,2100,0.8885714285714286,0.4438283741474151,0.7914285714285715,0.9392622346509137,0.8885714285714286,0.0
official_ranking,all_methods,low,528,0.13825757575757575,8.14870548248291,0.44696969696969696,0.2680201538600677,0.13825757575757575,0.0
official_ranking,all_methods,mid,2099,0.48261076703191996,2.0988357067108154,0.7003334921391139,0.5112051886328396,0.48261076703191996,0.0
oracle_min_rmsd,all_methods,high,2100,0.9395238095238095,0.3342788368463516,0.9966666666666667,0.9392622346509137,0.8885714285714286,0.05095238095238097
oracle_min_rmsd,all_methods,low,528,0.23106060606060605,5.001321315765381,0.9848484848484849,0.2680201538600677,0.13825757575757575,0.0928030303030303
oracle_min_rmsd,all_methods,mid,2099,0.6102906145783706,1.3267371654510498,0.9847546450690805,0.5112051886328396,0.48261076703191996,0.12767984754645068
