fold,feature_group,n_features,base_auroc,mean_auroc_drop,mean_auprc_drop
0,rank,2,0.9049279299675496,0.009682288129197691,0.017923933558093963
0,confidence,12,0.9049279299675496,0.05290418333207547,0.10353954769354556
0,structure,14,0.9049279299675496,0.07380071944255773,0.10160511017658008
0,ligand,2,0.9049279299675496,0.007843433200010075,0.009930652104225668
0,memory,5,0.9049279299675496,0.1640731517118204,0.2533895595062324
1,rank,2,0.898790824926106,0.0030901140777291336,0.008329301037875159
1,confidence,12,0.898790824926106,0.05447883332926201,0.09462941625187099
1,structure,14,0.898790824926106,0.041002027505679384,0.049144813502132734
1,ligand,2,0.898790824926106,0.00714756821457363,0.018959389856029185
1,memory,5,0.898790824926106,0.1699367320516892,0.24057399986638128
2,rank,2,0.9022579115248341,0.0020226349120733844,0.0043295197548440245
2,confidence,12,0.9022579115248341,0.05378581458714987,0.09381619588780565
2,structure,14,0.9022579115248341,0.05608045902188158,0.0699520786246991
2,ligand,2,0.9022579115248341,0.008441594673262887,0.009336987197846758
2,memory,5,0.9022579115248341,0.17770126379808981,0.23461451348371515
3,rank,2,0.8981325228190234,0.011237028818631867,0.01788504651377132
3,confidence,12,0.8981325228190234,0.05127637357002335,0.08910712568496659
3,structure,14,0.8981325228190234,0.049162292437789634,0.06423600519071682
3,ligand,2,0.8981325228190234,0.006605629469405239,0.009063639885267705
3,memory,5,0.8981325228190234,0.16048602888389563,0.19906381286870417
4,rank,2,0.895538196743016,0.004293469009475859,0.006654443854469672
4,confidence,12,0.895538196743016,0.03585850466229129,0.06442930540810221
4,structure,14,0.895538196743016,0.05041043294055342,0.05810380334898213
4,ligand,2,0.895538196743016,0.008582209528853246,0.012855217731854274
4,memory,5,0.895538196743016,0.129870344801498,0.15541976719494138
