split,detector,train_n,test_n,test_failure_rate,auroc,auprc,brier
low_similarity_holdout,rank,4199,528,0.8617424242424242,0.5684780972452205,0.8827642614263354,0.23113023408357797
low_similarity_holdout,rank_confidence,4199,528,0.8617424242424242,0.7169953334336896,0.9373285899112304,0.17655762651302406
low_similarity_holdout,reference_neighborhood_only,4199,528,0.8617424242424242,0.6074363992172211,0.9045329327718528,0.14775815047452479
low_similarity_holdout,rank_confidence_structure,4199,528,0.8617424242424242,0.6876712328767124,0.9358503579807255,0.19429613734521514
low_similarity_holdout,rank_confidence_structure_reference_neighborhood,4199,528,0.8617424242424242,0.6890862562095439,0.9258569820225013,0.11595505575775275
temporal_2024_holdout,rank,3975,752,0.46808510638297873,0.6338955965909092,0.58989523939934,0.2413075146213463
temporal_2024_holdout,rank_confidence,3975,752,0.46808510638297873,0.8107031250000001,0.8116697444333929,0.1780068681147904
temporal_2024_holdout,reference_neighborhood_only,3975,752,0.46808510638297873,0.84203125,0.7783178413844847,0.16491421959115132
temporal_2024_holdout,rank_confidence_structure,3975,752,0.46808510638297873,0.8633380681818181,0.8443386789367582,0.15468841080171575
temporal_2024_holdout,rank_confidence_structure_reference_neighborhood,3975,752,0.46808510638297873,0.9119318181818182,0.9008516477085997,0.12290505534063899
joint_low_ligand_protein_ood,rank,4230,497,0.8651911468812877,0.5875216938562999,0.8882426945139524,0.22304600937591285
joint_low_ligand_protein_ood,rank_confidence,4230,497,0.8651911468812877,0.7233946546338077,0.9424090043861526,0.16737876152932593
joint_low_ligand_protein_ood,reference_neighborhood_only,4230,497,0.8651911468812877,0.6621138493578619,0.9270984868331726,0.12035809458117756
joint_low_ligand_protein_ood,rank_confidence_structure,4230,497,0.8651911468812877,0.7068031933356473,0.9383818473303193,0.17426651702749096
joint_low_ligand_protein_ood,rank_confidence_structure_reference_neighborhood,4230,497,0.8651911468812877,0.6417216244359597,0.9172944812833346,0.1156597989341845
joint_low_ligand_protein_temporal_ood,rank,4377,350,0.8828571428571429,0.559791617333649,0.9040433219010751,0.23150288775759484
joint_low_ligand_protein_temporal_ood,rank_confidence,4377,350,0.8828571428571429,0.7195516615360329,0.9529743800682384,0.15802506834415855
joint_low_ligand_protein_temporal_ood,reference_neighborhood_only,4377,350,0.8828571428571429,0.6782303259925804,0.9401630753684584,0.106814041632512
joint_low_ligand_protein_temporal_ood,rank_confidence_structure,4377,350,0.8828571428571429,0.7326545110111296,0.9519305679388614,0.14878836254530833
joint_low_ligand_protein_temporal_ood,rank_confidence_structure_reference_neighborhood,4377,350,0.8828571428571429,0.7309179887915385,0.952462094659382,0.09548489016228696
