_group_id,memory_bin,ligand_novel,protein_novel,temporal_recent,temporal_2024,joint_low_ligand_protein_ood,joint_low_ligand_protein_temporal_ood,failure_label
af3|5s9l__1__1.A__1.H_1.I|1.H,high,True,False,False,False,False,False,0
af3|5s9y__1__1.A__1.K|1.K,low,True,True,False,False,True,False,1
af3|5s9z__1__1.A_1.B__1.R|1.R,mid,True,False,False,False,False,False,1
af3|5sb2__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5scm__1__1.A__1.F_1.G_1.H_1.I|1.I,high,False,False,False,False,False,False,0
af3|5scn__1__1.A__1.B_1.C|1.C,high,False,False,False,False,False,False,0
af3|5se0__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,1
af3|5sea__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,1
af3|5see__1__1.A__1.E|1.E,mid,True,True,False,False,False,False,1
af3|5sf4__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,1
af3|5sf7__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5sfg__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5sg5__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5sgz__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5shc__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5shg__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5shw__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,1
af3|5si5__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5si8__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,1
af3|5si9__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5sig__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5siq__1__1.A__1.H|1.H,mid,True,True,False,False,False,False,0
af3|5sk9__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5sko__1__1.A__1.G|1.G,mid,True,True,False,False,False,False,0
af3|5skr__1__1.A__1.G|1.G,mid,True,False,False,False,False,False,0
af3|5umb__1__1.A__1.E_1.F_1.G|1.G,high,False,False,False,False,False,False,0
af3|6x4j__1__1.A_2.A__2.B_2.C_2.D_2.E|2.C,high,False,False,False,False,False,False,0
af3|6x4k__1__1.A_2.A__1.B_1.C_1.D_1.E|1.C,high,False,False,False,False,False,False,0
af3|6x4l__1__1.A_2.A__2.B_2.C_2.D_2.E|2.C,high,False,False,False,False,False,False,0
af3|6zfz__1__1.A__1.B|1.B,mid,True,True,False,False,False,False,0
af3|6zg9__1__1.A__1.B|1.B,mid,True,True,False,False,False,False,0
af3|7afz__1__2.A__2.B_2.C_2.D|2.D,mid,True,True,False,False,False,False,0
af3|7an8__1__1.B__1.E|1.E,mid,True,True,False,False,False,False,0
af3|7aya__1__1.A__1.H_1.N_1.U|1.U,high,True,False,False,False,False,False,0
af3|7b3p__1__1.A__1.G|1.G,mid,True,False,False,False,False,False,0
af3|7bbn__1__1.B__1.E_1.F|1.E,high,False,False,False,False,False,False,0
af3|7bia__1__1.A_1.B__1.D_1.E|1.D,high,False,False,False,False,False,False,0
af3|7bk9__1__1.A_2.A__2.F|2.F,mid,True,False,False,False,False,False,1
af3|7bm3__1__1.A__1.M_1.P|1.P,mid,True,False,False,False,False,False,1
af3|7bn6__1__1.A__1.C_1.D|1.D,high,False,False,False,False,False,False,0
af3|7bn7__1__1.A__1.E_1.F|1.E,high,False,False,False,False,False,False,0
af3|7bo0__1__1.A__1.C_1.D|1.D,high,False,False,False,False,False,False,0
af3|7dbj__1__1.A__1.E_1.F|1.E,high,False,False,False,False,False,False,0
af3|7dbj__1__1.A__1.E_1.F|1.F,high,False,False,False,False,False,False,0
af3|7di7__1__1.A__1.D|1.D,low,True,True,False,False,True,False,1
af3|7dia__1__1.A__1.D_1.E_1.G|1.E,low,True,True,False,False,True,False,1
af3|7dij__1__1.A__1.F_1.J|1.J,low,True,True,False,False,True,False,0
af3|7dji__1__1.D_1.E__1.L|1.L,mid,True,True,False,False,False,False,0
af3|7dpk__1__1.A_1.B__1.C_1.D|1.C,high,True,False,False,False,False,False,0
af3|7du9__1__1.A_1.B__1.D|1.D,high,True,False,False,False,False,False,0
af3|7dw7__1__1.A__1.B_1.JB_1.KB_1.LB|1.B,high,False,False,False,False,False,False,0
af3|7dxl__1__1.A__1.C|1.C,mid,True,False,False,False,False,False,0
af3|7dyw__1__1.A__1.B_1.C|1.B,mid,True,False,False,False,False,False,0
af3|7e1n__1__1.A_1.B__1.D|1.D,low,True,True,False,False,True,False,0
af3|7e48__1__1.C__1.J_1.K|1.J,high,False,False,False,False,False,False,0
af3|7eba__1__1.A__1.C|1.C,mid,True,True,False,False,False,False,1
af3|7edz__1__1.A_2.A__1.E_1.G_1.I|1.E,mid,False,True,False,False,False,False,0
af3|7eer__1__2.A__2.E_2.F|2.E,high,False,False,False,False,False,False,0
af3|7ef7__1__1.A__1.B_1.C|1.C,mid,True,True,False,False,False,False,0
af3|7ei4__1__1.A_1.B_1.C__1.F|1.F,mid,True,False,False,False,False,False,1
