selector,scope,n,official_success,selected_success,delta,rescued,harmed,binomial_p_greater
nested_pair_rank_structure_antimemory_low_success,all,325,0.36,0.44,0.08000000000000002,61,35,0.0051729565413643885
nested_pair_rank_structure_antimemory_low_success,high,90,0.6111111111111112,0.6888888888888889,0.07777777777777772,17,10,0.12389428168535233
nested_pair_rank_structure_antimemory_low_success,low,35,0.08571428571428572,0.2857142857142857,0.19999999999999998,7,0,0.0078125
nested_pair_rank_structure_antimemory_low_success,mid,200,0.295,0.355,0.06,37,25,0.08094070276279881
nested_pair_rank_structure_memory_antimemory_low_success,all,1031,0.42289039767216297,0.4364694471387003,0.013579049466537318,108,94,0.1801975209968875
nested_pair_rank_structure_memory_antimemory_low_success,high,292,0.6164383561643836,0.6232876712328768,0.006849315068493178,29,27,0.4469265474175108
nested_pair_rank_structure_memory_antimemory_low_success,low,46,0.1956521739130435,0.3695652173913043,0.17391304347826084,10,2,0.019287109375
nested_pair_rank_structure_memory_antimemory_low_success,mid,693,0.3564213564213564,0.3621933621933622,0.005772005772005762,69,65,0.39781435748519417
nested_pair_rank_structure_memory_ordinary_all_success,all,276,0.3007246376811594,0.4166666666666667,0.11594202898550726,59,27,0.00036585503265620435
nested_pair_rank_structure_memory_ordinary_all_success,high,59,0.3389830508474576,0.4576271186440678,0.11864406779661019,13,6,0.08353424072265625
nested_pair_rank_structure_memory_ordinary_all_success,low,14,0.0,0.5,0.5,7,0,0.0078125
nested_pair_rank_structure_memory_ordinary_all_success,mid,203,0.3103448275862069,0.39901477832512317,0.08866995073891626,39,21,0.013670066934038968
