selector,scope,n,official_success,selected_success,delta,rescued,harmed,binomial_p_greater
oracle_min_rmsd,all,4727,0.6244975671673366,0.7141950497144066,0.08969748254707,424,0,2.308244654446434e-128
oracle_min_rmsd,high,2100,0.8885714285714286,0.9395238095238095,0.05095238095238097,107,0,6.162975822039155e-33
oracle_min_rmsd,low,528,0.13825757575757575,0.23106060606060605,0.0928030303030303,49,0,1.7763568394002505e-15
oracle_min_rmsd,mid,2099,0.48261076703191996,0.6102906145783706,0.12767984754645068,268,0,2.1084395886461046e-81
pair_rank_structure_memory_ordinary_thr0.5,all,4727,0.6244975671673366,0.633805796488259,0.009308229320922345,102,58,0.00031467353737534416
pair_rank_structure_memory_ordinary_thr0.5,high,2100,0.8885714285714286,0.8914285714285715,0.0028571428571428914,22,16,0.2088460954182665
pair_rank_structure_memory_ordinary_thr0.5,low,528,0.13825757575757575,0.15151515151515152,0.013257575757575774,9,2,0.03271484375
pair_rank_structure_memory_ordinary_thr0.5,mid,2099,0.48261076703191996,0.4973797046212482,0.014768937589328235,71,40,0.0020977670926974304
pair_rank_structure_antimemory_thr0.5,all,4727,0.6244975671673366,0.6329595938227205,0.00846202665538387,90,50,0.000456556437000789
pair_rank_structure_antimemory_thr0.5,high,2100,0.8885714285714286,0.8923809523809524,0.003809523809523818,23,15,0.1279375397716649
pair_rank_structure_antimemory_thr0.5,low,528,0.13825757575757575,0.1571969696969697,0.01893939393939395,11,1,0.003173828125
pair_rank_structure_antimemory_thr0.5,mid,2099,0.48261076703191996,0.4930919485469271,0.010481181515007154,56,34,0.013150832565561134
pair_rank_structure_memory_antimemory_thr0.5,all,4727,0.6244975671673366,0.63063253649249,0.006134969325153339,102,73,0.016997288298970254
pair_rank_structure_memory_antimemory_thr0.5,high,2100,0.8885714285714286,0.8885714285714286,0.0,25,25,0.5561375863296085
pair_rank_structure_memory_antimemory_thr0.5,low,528,0.13825757575757575,0.1553030303030303,0.017045454545454558,9,0,0.001953125
pair_rank_structure_memory_antimemory_thr0.5,mid,2099,0.48261076703191996,0.49213911386374465,0.009528346831824686,68,48,0.038631132305353394
