selector,scope,n,official_success,selected_success,delta,rescued,harmed,binomial_p_greater
geometry_filter_clash_only,all,4617,0.6211825860948668,0.6213991769547325,0.00021659085986569515,21,20,0.5
geometry_filter_clash_only,high,2032,0.8863188976377953,0.8892716535433071,0.0029527559055118058,9,3,0.072998046875
geometry_filter_clash_only,low,522,0.13793103448275862,0.14559386973180077,0.007662835249042155,4,0,0.0625
geometry_filter_clash_only,mid,2063,0.48230731943771205,0.4779447406689287,-0.004362578768783321,8,17,0.9783573746681213
geometry_filter_contact_only,all,4724,0.6246824724809483,0.6251058425063506,0.00042337002540226987,2,0,0.25
geometry_filter_contact_only,high,2097,0.8893657606103959,0.8898426323319027,0.0004768717215068996,1,0,0.5
geometry_filter_contact_only,low,528,0.13825757575757575,0.13825757575757575,0.0,0,0,
geometry_filter_contact_only,mid,2099,0.48261076703191996,0.48308718437351117,0.0004764173415912065,1,0,0.5
geometry_filter_relaxed,all,4702,0.6237771161207997,0.6252658443215653,0.001488728200765621,18,11,0.132465448230505
geometry_filter_relaxed,high,2086,0.887823585810163,0.8916586768935763,0.003835091083413289,8,0,0.00390625
geometry_filter_relaxed,low,523,0.13766730401529637,0.14531548757170173,0.007648183556405369,4,0,0.0625
geometry_filter_relaxed,mid,2093,0.4820831342570473,0.47969421882465363,-0.002388915432393668,6,11,0.9282684326171875
geometry_filter_strict,all,4611,0.621123400563869,0.6217740186510519,0.0006506180871828082,23,20,0.38039582128067195
geometry_filter_strict,high,2026,0.8869693978282329,0.8904244817374136,0.0034550839091807006,10,3,0.046142578125
geometry_filter_strict,low,522,0.13793103448275862,0.14559386973180077,0.007662835249042155,4,0,0.0625
geometry_filter_strict,mid,2063,0.48230731943771205,0.478429471643238,-0.003877847794474032,9,17,0.9622406512498856
physics_score_balanced,all,4727,0.6244975671673366,0.6244975671673366,0.0,19,19,0.564292660317733
physics_score_balanced,high,2100,0.8885714285714286,0.8909523809523809,0.0023809523809523725,7,2,0.08984375
physics_score_balanced,low,528,0.13825757575757575,0.14015151515151514,0.0018939393939393923,3,2,0.5
physics_score_balanced,mid,2099,0.48261076703191996,0.47975226298237256,-0.0028585040495474057,9,15,0.9242051839828491
physics_score_physics_heavy,all,4727,0.6244975671673366,0.6247091178337212,0.00021155066638456343,25,24,0.5
physics_score_physics_heavy,high,2100,0.8885714285714286,0.8919047619047619,0.0033333333333332993,9,2,0.03271484375
physics_score_physics_heavy,low,528,0.13825757575757575,0.14015151515151514,0.0018939393939393923,3,2,0.5
physics_score_physics_heavy,mid,2099,0.48261076703191996,0.47927584564078135,-0.003334921391138612,13,20,0.918622171273455
posebusters_or_geometry_filter,all,4678,0.6244121419410005,0.6263360410431809,0.001923899102180382,22,13,0.087732624495402
posebusters_or_geometry_filter,high,2076,0.8882466281310212,0.8921001926782274,0.003853564547206201,9,1,0.0107421875
posebusters_or_geometry_filter,low,522,0.13793103448275862,0.14559386973180077,0.007662835249042155,4,0,0.0625
posebusters_or_geometry_filter,mid,2080,0.4831730769230769,0.48173076923076924,-0.0014423076923076872,9,12,0.808344841003418
posebusters_valid_filter,all,2738,0.6950328707085464,0.6950328707085464,0.0,0,0,
posebusters_valid_filter,high,1362,0.9148311306901615,0.9148311306901615,0.0,0,0,
posebusters_valid_filter,low,205,0.17073170731707318,0.17073170731707318,0.0,0,0,
posebusters_valid_filter,mid,1171,0.5311699402220325,0.5311699402220325,0.0,0,0,
