detector,flagged_fraction,retained_coverage_estimate,flagged_n_estimate,flagged_failure_rate_estimate,flagged_failure_rate_mean,flagged_failure_rate_ci_low,flagged_failure_rate_ci_high,failure_capture_rate_estimate,failure_capture_rate_mean,failure_capture_rate_ci_low,failure_capture_rate_ci_high,retained_coverage_mean,retained_coverage_ci_low,retained_coverage_ci_high,retained_success_estimate,retained_success_mean,retained_success_ci_low,retained_success_ci_high,retained_success_delta_estimate,retained_success_delta_mean,retained_success_delta_ci_low,retained_success_delta_ci_high,flagged_failure_rescueable_rate_estimate,flagged_failure_rescueable_rate_mean,flagged_failure_rescueable_rate_ci_low,flagged_failure_rescueable_rate_ci_high,actionable_flag_rate_estimate,actionable_flag_rate_mean,actionable_flag_rate_ci_low,actionable_flag_rate_ci_high
rank,0.05,0.94986249206685,237.0,0.6244725738396625,0.6142751064911706,0.5343280282935455,0.6918311036789297,0.08338028169014085,0.08187764322659462,0.07158770321052524,0.0920685524879405,0.9499003526181374,0.9498021245573839,0.95,0.6376391982182628,0.6364783940481022,0.6105718717166158,0.6647352938730676,0.01314163105092625,0.01256268621212368,0.008546686797253894,0.01635288900702652,0.19594594594594594,0.19140983229045452,0.11944757345348728,0.26419019742883376,0.12236286919831224,0.1175018776106836,0.07337134410305142,0.1649036873968079
rank,0.1,0.8999365348000846,473.0,0.5602536997885835,0.5652729833296012,0.5062488064028889,0.6258073843107683,0.14929577464788732,0.15051690294091358,0.1358621362601454,0.16518744390519413,0.8999044833973482,0.8998081432530377,0.9,0.6450399623883404,0.6449590581257453,0.6190302169660618,0.6737906741706631,0.020542395221003873,0.0210433502897667,0.014970457919177891,0.02732174698598212,0.2188679245283019,0.21933043722839546,0.16947616683217476,0.27615384615384614,0.1226215644820296,0.12377825098228692,0.09567307692307693,0.15537168776922072
rank,0.2,0.7998730696001692,946.0,0.5539112050739958,0.5541475514332512,0.5068987636116152,0.6039891395154552,0.2952112676056338,0.2949481207409347,0.27357310585213723,0.3158638347468135,0.7999136982780876,0.7998271531082053,0.8,0.6691351494313673,0.6684554277662975,0.6403932035416862,0.6968164889954225,0.044637582264030806,0.04453971993031889,0.0351561184675674,0.054269905132626854,0.22519083969465647,0.22566663901445488,0.1839090909090909,0.26954912435489914,0.12473572938689217,0.12490272203505726,0.10315269964324918,0.1484147179814334
rank,0.3,0.6998096044002539,1419.0,0.5221987315010571,0.5204112788035107,0.47657263389581805,0.5618086185603387,0.41746478873239434,0.41538769813170945,0.39205313851395623,0.438410539970332,0.6999039568033059,0.699806524203345,0.7,0.6874244256348246,0.685798327357956,0.65843477127083,0.7131360538348718,0.06292685846748813,0.06188261952197733,0.0495952754997636,0.07395516033195612,0.23076923076923078,0.2309353590908366,0.19451386034359464,0.2684605667685277,0.12050739957716702,0.12007385526955366,0.10096847421655675,0.1399671386133351
rank,0.4,0.599957689866723,1891.0,0.5018508725542041,0.5034590950689467,0.46558631278392737,0.5399243553926067,0.5346478873239436,0.5357241771311991,0.5128883385138588,0.5610464377600609,0.5999174872151753,0.5998266662548278,0.6,0.7087447108603667,0.7088613562815432,0.6812232125229676,0.7382535024575506,0.08424714369303021,0.0849456484455647,0.07025766453440686,0.09945510004971218,0.23076923076923078,0.23095679111805584,0.19851765612436345,0.2632768313884407,0.11581173982020095,0.11618976157695257,0.10109564539811462,0.133023098055078
rank,0.5,0.4998942246668077,2364.0,0.477580372250423,0.4780365775490593,0.4448829417744623,0.5121686767381367,0.636056338028169,0.6357578214592923,0.6107999179362534,0.6604925301621214,0.4999483238692657,0.4998909713311932,0.5,0.7266187050359711,0.7258892470114338,0.696269769974139,0.7543631432355576,0.10212113786863464,0.10197353917545528,0.08484624172248291,0.118642078336869,0.2267493356953056,0.22853786437617873,0.19680265565685973,0.2580201028517999,0.10829103214890017,0.10918319788366766,0.09513742071881606,0.12561880612893064
rank_confidence,0.05,0.94986249206685,237.0,0.8860759493670886,0.8848176690772472,0.8350963126031921,0.9346664470286539,0.11830985915492957,0.11799518530314924,0.10912016223652744,0.1270969266566484,0.9498969959103922,0.9497961810770221,0.95,0.6514476614699332,0.6507370427538615,0.6236387493863988,0.6799278682356565,0.02695009430259665,0.02683292261056701,0.024261315697618458,0.029235324648299088,0.14761904761904762,0.14418018940166444,0.09321205007824726,0.1966673951048951,0.1308016877637131,0.1274632068235012,0.08264462809917356,0.17420444033302496
rank_confidence,0.1,0.8999365348000846,473.0,0.828752642706131,0.8280572981384523,0.7843970588235294,0.8670198557856785,0.2208450704225352,0.22061179124959454,0.207214432174846,0.23716340804323638,0.8999018609781836,0.8998052369616966,0.9,0.6748942172073342,0.6741769532180769,0.6472028012501447,0.7045261212626833,0.050396650039997715,0.050272833074782315,0.04608124820639088,0.05450262994979046,0.14540816326530612,0.14446307808484954,0.10251796370722202,0.18781678994799572,0.12050739957716702,0.11955658371199167,0.08525044223070477,0.1560875419470864
rank_confidence,0.2,0.7998730696001692,946.0,0.7748414376321353,0.7754513363166113,0.7378678646934461,0.8129283343218973,0.41295774647887323,0.412876507605805,0.38988649993709196,0.43894843054816063,0.7999138147941394,0.7998268772992859,0.8,0.7244115313409152,0.7237967014552539,0.6961950095360269,0.7554834188676542,0.09991396417357867,0.09989258131195944,0.09193629219983522,0.10758518575994792,0.17462482946793997,0.1764837287593483,0.14174763443997712,0.21534198733337903,0.13530655391120508,0.13674077832524836,0.11200126253197974,0.16471336236060144
rank_confidence,0.3,0.6998096044002539,1419.0,0.7209302325581395,0.7213191074477013,0.6822309871181563,0.7582863837577739,0.5763380281690141,0.5759201938917321,0.5488127255998301,0.6041868011013207,0.6999002321954313,0.6998079795178153,0.7,0.7726723095525998,0.7719273504399686,0.7448361455979718,0.8017718046920612,0.1481747423852633,0.14802323029667405,0.13782013106148527,0.15887303456937518,0.20821114369501467,0.20577701903773113,0.172282751709545,0.24385444411657362,0.15010570824524314,0.14831852002200085,0.12526645488514446,0.17310842314952546
