benchmark,dataset,method,method_family,denominator_cases,attempted_cases,ok_cases,attempt_coverage,ok_rate_vs_attempted,success_2a_full_or_declared_denominator,oracle_2a_full_or_declared_denominator,median_top_rmsd,median_oracle_rmsd,public_pool_coverage,pb_valid_all,source_table,manuscript_role
PoseBench-702,all,Vina/Meeko full,classical docking,702.0,702.0,693.0,1.0,0.9871794871794872,0.0202020202020202,0.036075036075036,5.744706519919012,4.510863476951205,,,posebench_vina_full_702_summary_full_exh8,classical full-denominator anchor
PoseBench-702,all,DiffDock-L default s10/t20,neural docking,702.0,702.0,692.0,1.0,0.9857549857549858,0.3817663817663818,0.3404558404558404,3.4532441501892936,4.060801580784267,,,posebench_diffdock_l_gpu_default_s10_t20_summary,neural full-denominator anchor with failure attribution
PoseBench-702,all,Boltz-1 full receptor r1/s20,cofolding foundation model,702.0,702.0,653.0,1.0,0.9301994301994302,0.0,,10.83523730778451,,,,posebench_boltz1_gpu_full_r1_s20_summary,completed full-receptor cofolding stress baseline; not a docking-tuned SOTA baseline
PoseBench-702,all,Chai-1 full receptor s5/t200,cofolding foundation model,702.0,702.0,635.0,1.0,0.9045584045584045,0.3817663817663818,0.4586894586894587,2.868123584547368,1.851134237223228,,,posebench_chai1_gpu_default_s5_t200_failure_summary;posebench_chai1_gpu_default_s5_t200_symmetry_metric_summary,cofolding full-receptor external baseline with strict failure accounting and symmetry-aware pocket RMSD
PoseBench-702,all,Chai-1 oracle rescue waterfall,oracle sensitivity,702.0,702.0,702.0,1.0,1.0,,,,,1.0,,posebench_chai1_gpu_rescue_waterfall,oracle failure-attribution only; not a fair baseline row
PoseBench-702,all,MGD hybrid full-coverage selector,reliability selector,702.0,702.0,702.0,1.0,1.0,0.3532763532763532,,4.760998124643313,,0.6965811965811965,,posebench_full_coverage_hybrid_702_summary,full-coverage external reliability-selection evidence with fallback caveat
PoseBench-702,all,MGD controlled LODO candidate-stack selector,reliability selector,702.0,702.0,702.0,1.0,1.0,0.4487179487179487,,2.7367842735992745,,1.0,,posebench_full_controlled_selector_summary,full-denominator proposed candidate-stack selector audit with LODO boundary
PoseBench-public-pool,all,MGD LODO low-similarity selector,reliability selector,702.0,489.0,489.0,0.6965811965811965,1.0,0.4314928425357873,,2.9325211932007296,,0.6965811965811965,0.3742331288343558,posebench_external_selection_summary,public-prediction-pool external selector claim
PoseX-CD-1312,posex_cross_dock,Vina/Meeko full,classical docking,1312.0,1312.0,1311.0,1.0,0.9992378048780488,0.0068649885583524,0.0129672006102212,6.188917188847873,5.28937043688296,,,posex_cd_vina_summary_full_vina_exh4,cross-docking classical stress anchor
PoseX-CD-1312,posex_cross_dock,DiffDock-L default s10/t20,neural docking,1312.0,1312.0,1312.0,1.0,1.0,0.455030487804878,0.4428353658536585,2.2658894464401955,2.5001467410840164,,,posex_cd_diffdock_l_gpu_default_s10_t20_summary,cross-docking neural stress anchor
