dataset,confidence_quartile,n,median_confidence,median_top_pocket_rmsd_approx,median_pocket_ca_rmsd_after_fit,pocket_top2a_approx
astex_diverse,Q1_low,19,0.3212501406669616,12.939214068594486,12.318177569937308,0.0
astex_diverse,Q2,23,0.3755972683429718,11.713055582422644,12.830076968595623,0.0
astex_diverse,Q3,15,0.4413506984710693,9.201177759192277,11.482569909556608,0.0
astex_diverse,Q4_high,19,0.5967842936515808,6.9982923358788085,7.137847555802713,0.0
dockgen,Q1_low,41,0.3373086154460907,13.744801489282835,13.723294955677408,0.0
dockgen,Q2,55,0.3820919990539551,9.575773895865707,12.890950600070786,0.0
dockgen,Q3,44,0.42826138436794275,11.125272587877197,11.858290410468395,0.0
dockgen,Q4_high,42,0.5416408479213715,13.981071306021096,8.886566943077305,0.0
posebusters_benchmark,Q1_low,104,0.33103466033935547,11.626829335055314,13.159114525355875,0.0
posebusters_benchmark,Q2,85,0.37886843085289,11.478433020216483,12.760343707704106,0.0
posebusters_benchmark,Q3,104,0.43376588821411133,9.889338364995737,11.649065047092693,0.0
posebusters_benchmark,Q4_high,102,0.5616569221019745,9.392795181190344,7.640800210486781,0.0
all,Q1_low,164,0.33103466033935547,12.609416559789182,13.029073641782247,0.0
all,Q2,163,0.3798093497753143,10.797330106562272,12.839175354815232,0.0
all,Q3,163,0.4328969419002533,10.032931490396358,11.684091265949597,0.0
all,Q4_high,163,0.5572913289070129,10.057513408742212,7.712431797358313,0.0
