dataset,x,y,n,spearman,pearson
astex_diverse,boltz_confidence_score,top_pocket_rmsd_approx,76,-0.4494053315105947,-0.3872795185288036
astex_diverse,boltz_confidence_score,pocket_ca_rmsd_after_fit,76,-0.5190704032809297,-0.7533779021357774
astex_diverse,boltz_confidence_score,receptor_ca_rmsd_after_fit,76,-0.6948735475051264,-0.7870137731853588
astex_diverse,boltz_ligand_iptm,top_pocket_rmsd_approx,76,-0.34127136021872867,-0.2708112975610907
astex_diverse,boltz_complex_plddt,pocket_ca_rmsd_after_fit,76,-0.5617771701982228,-0.7805365670407127
dockgen,boltz_confidence_score,top_pocket_rmsd_approx,180,0.034624525448316304,0.19733409652569026
dockgen,boltz_confidence_score,pocket_ca_rmsd_after_fit,180,-0.4185602436289186,-0.5273381365330085
dockgen,boltz_confidence_score,receptor_ca_rmsd_after_fit,182,-0.4431703610220049,-0.586754093715457
dockgen,boltz_ligand_iptm,top_pocket_rmsd_approx,180,-0.01402512423222939,0.03928806126656864
dockgen,boltz_complex_plddt,pocket_ca_rmsd_after_fit,180,-0.45778779180427376,-0.5433585459695929
posebusters_benchmark,boltz_confidence_score,top_pocket_rmsd_approx,394,-0.2220065893220022,-0.10580299385773019
posebusters_benchmark,boltz_confidence_score,pocket_ca_rmsd_after_fit,394,-0.5708333476394639,-0.7060594502495666
posebusters_benchmark,boltz_confidence_score,receptor_ca_rmsd_after_fit,394,-0.5584112445205476,-0.6139942471001074
posebusters_benchmark,boltz_ligand_iptm,top_pocket_rmsd_approx,394,-0.22597489740051885,-0.15724771528689666
posebusters_benchmark,boltz_complex_plddt,pocket_ca_rmsd_after_fit,394,-0.5463136534930911,-0.7115312447478618
all,boltz_confidence_score,top_pocket_rmsd_approx,650,-0.1821057236912896,-0.06715243449736702
all,boltz_confidence_score,pocket_ca_rmsd_after_fit,650,-0.518399981647658,-0.6632584331468614
all,boltz_confidence_score,receptor_ca_rmsd_after_fit,652,-0.5421213760262417,-0.630153576677484
all,boltz_ligand_iptm,top_pocket_rmsd_approx,650,-0.18006319541584714,-0.11855542036240498
all,boltz_complex_plddt,pocket_ca_rmsd_after_fit,650,-0.5236345939462397,-0.6740541062962216
