dataset,drift_taxonomy,n,fraction,ok,median_top_pocket_rmsd_approx,median_pocket_ca_rmsd_after_fit,median_receptor_ca_rmsd_after_fit,median_boltz_confidence_score
all,severe_pocket_and_global_drift,565,0.8048433048433048,565,10.91866827272471,12.294188371289438,20.74172347799652,0.3917797207832336
all,execution_failed,49,0.0698005698005698,0,,,,
all,moderate_pocket_drift,32,0.045584045584045586,32,15.40189474879434,3.859673585993547,7.8961555968312185,0.5502019822597504
all,severe_pocket_drift,29,0.04131054131054131,29,10.667881832020491,7.052157310456853,8.427611803676394,0.599609911441803
all,ligand_pose_wrong_given_good_pocket,24,0.03418803418803419,24,6.872904003119775,0.8078510581443212,3.3896308919156297,0.8091205358505249
all,ok_missing_geometry_metric,3,0.004273504273504274,3,,,22.183698786274995,0.4475590884685516
astex_diverse,severe_pocket_and_global_drift,66,0.7764705882352941,66,10.31386866412945,12.069085082903324,21.029654335312337,0.3829265981912613
astex_diverse,execution_failed,9,0.10588235294117647,0,,,,
astex_diverse,ligand_pose_wrong_given_good_pocket,4,0.047058823529411764,4,5.271817644626609,0.7079755978369691,2.4724305635540493,0.825532466173172
astex_diverse,moderate_pocket_drift,3,0.03529411764705882,3,5.594844768110525,3.863096776274776,6.180525248025294,0.6709592938423157
astex_diverse,severe_pocket_drift,3,0.03529411764705882,3,10.707687235021838,5.983592059071639,7.738301912381739,0.5225404500961304
dockgen,severe_pocket_and_global_drift,154,0.8148148148148148,154,11.539814205965133,12.773634242550854,21.774159006228324,0.3933034241199493
dockgen,moderate_pocket_drift,14,0.07407407407407407,14,17.73422943778262,3.608239196045535,7.887489088381896,0.5348832905292511
dockgen,execution_failed,7,0.037037037037037035,0,,,,
dockgen,severe_pocket_drift,7,0.037037037037037035,7,11.65498682309243,7.233906889297452,8.432539494625352,0.5897106528282166
dockgen,ligand_pose_wrong_given_good_pocket,5,0.026455026455026454,5,26.07334982632088,1.5291777624902758,19.155727725679995,0.6769498586654663
dockgen,ok_missing_geometry_metric,2,0.010582010582010581,2,,,22.183698786274995,0.41507314145565033
posebusters_benchmark,severe_pocket_and_global_drift,345,0.8060747663551402,345,10.824343576419286,12.2182896082989,19.958894673703018,0.392374187707901
posebusters_benchmark,execution_failed,33,0.07710280373831775,0,,,,
posebusters_benchmark,severe_pocket_drift,19,0.04439252336448598,19,10.088611211065423,6.936982116612803,8.427611803676394,0.6024479866027832
posebusters_benchmark,ligand_pose_wrong_given_good_pocket,15,0.035046728971962614,15,6.794787402253244,0.8020885211915293,1.8736739214870348,0.8201797604560852
posebusters_benchmark,moderate_pocket_drift,15,0.035046728971962614,15,15.290231652760886,4.10685383418654,8.083592323507748,0.5452608466148376
posebusters_benchmark,ok_missing_geometry_metric,1,0.002336448598130841,1,,,,0.8304885029792786
