dataset,mol_id,gpu,pid,log_path,tag,command,start_time
posebusters_benchmark,7F5D_EUO,1,1965941,logs/boltz_full_r1_s20_posebusters_benchmark_7F5D_EUO.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7F5D_EUO --gpu 1 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256274.988912
dockgen,4osx_1_GLY_2,2,1965942,logs/boltz_full_r1_s20_dockgen_4osx_1_GLY_2.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4osx_1_GLY_2 --gpu 2 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256274.9909263
posebusters_benchmark,7F8T_FAD,3,1965943,logs/boltz_full_r1_s20_posebusters_benchmark_7F8T_FAD.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7F8T_FAD --gpu 3 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256274.9925563
dockgen,4osy_1_GLY_3,4,1965944,logs/boltz_full_r1_s20_dockgen_4osy_1_GLY_3.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4osy_1_GLY_3 --gpu 4 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256274.9938946
posebusters_benchmark,7FB7_8NF,5,1965945,logs/boltz_full_r1_s20_posebusters_benchmark_7FB7_8NF.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7FB7_8NF --gpu 5 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256274.9954517
dockgen,4pfx_1_UDP_0,7,1965946,logs/boltz_full_r1_s20_dockgen_4pfx_1_UDP_0.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4pfx_1_UDP_0 --gpu 7 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256274.9970253
posebusters_benchmark,7FHA_ADX,1,1968675,logs/boltz_full_r1_s20_posebusters_benchmark_7FHA_ADX.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7FHA_ADX --gpu 1 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256376.386509
dockgen,4phr_1_UDP_0,7,1968676,logs/boltz_full_r1_s20_dockgen_4phr_1_UDP_0.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4phr_1_UDP_0 --gpu 7 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256376.3879633
posebusters_benchmark,7FRX_O88,3,1969063,logs/boltz_full_r1_s20_posebusters_benchmark_7FRX_O88.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7FRX_O88 --gpu 3 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256386.5161483
dockgen,4phs_1_UDP_0,5,1969064,logs/boltz_full_r1_s20_dockgen_4phs_1_UDP_0.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4phs_1_UDP_0 --gpu 5 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256386.5178118
posebusters_benchmark,7FT9_4MB,2,1969882,logs/boltz_full_r1_s20_posebusters_benchmark_7FT9_4MB.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7FT9_4MB --gpu 2 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256396.6552966
dockgen,4pya_1_2X3_0,4,1969883,logs/boltz_full_r1_s20_dockgen_4pya_1_2X3_0.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4pya_1_2X3_0 --gpu 4 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256396.6562748
posebusters_benchmark,7JG0_GAR,7,1971296,logs/boltz_full_r1_s20_posebusters_benchmark_7JG0_GAR.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7JG0_GAR --gpu 7 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256457.526425
dockgen,4qa8_1_PJZ_0,3,1971766,logs/boltz_full_r1_s20_dockgen_4qa8_1_PJZ_0.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4qa8_1_PJZ_0 --gpu 3 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256477.785224
posebusters_benchmark,7JGW_V9S,4,1971767,logs/boltz_full_r1_s20_posebusters_benchmark_7JGW_V9S.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7JGW_V9S --gpu 4 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256477.7869432
dockgen,4qo5_1_NAG_2,5,1971768,logs/boltz_full_r1_s20_dockgen_4qo5_1_NAG_2.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4qo5_1_NAG_2 --gpu 5 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256477.7884681
posebusters_benchmark,7JHQ_VAJ,1,1973045,logs/boltz_full_r1_s20_posebusters_benchmark_7JHQ_VAJ.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7JHQ_VAJ --gpu 1 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256508.1773775
dockgen,4rhe_1_FMN_6,7,1973046,logs/boltz_full_r1_s20_dockgen_4rhe_1_FMN_6.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4rhe_1_FMN_6 --gpu 7 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256508.178485
posebusters_benchmark,7JMV_4NC,2,1973512,logs/boltz_full_r1_s20_posebusters_benchmark_7JMV_4NC.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7JMV_4NC --gpu 2 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256518.3252144
dockgen,4rpj_1_UDP_0,3,1974374,logs/boltz_full_r1_s20_dockgen_4rpj_1_UDP_0.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4rpj_1_UDP_0 --gpu 3 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256548.7556143
posebusters_benchmark,7JNB_A2G,4,1974613,logs/boltz_full_r1_s20_posebusters_benchmark_7JNB_A2G.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7JNB_A2G --gpu 4 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256558.908251
dockgen,4rpm_1_HXC_0,5,1975060,logs/boltz_full_r1_s20_dockgen_4rpm_1_HXC_0.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4rpm_1_HXC_0 --gpu 5 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256569.0384643
posebusters_benchmark,7JR8_VH7,2,1976166,logs/boltz_full_r1_s20_posebusters_benchmark_7JR8_VH7.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7JR8_VH7 --gpu 2 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256579.1659138
dockgen,4tvd_1_BGC_4,7,1976167,logs/boltz_full_r1_s20_dockgen_4tvd_1_BGC_4.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4tvd_1_BGC_4 --gpu 7 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256579.1671183
posebusters_benchmark,7JUD_MMA,3,1977418,logs/boltz_full_r1_s20_posebusters_benchmark_7JUD_MMA.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 7JUD_MMA --gpu 3 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256609.616133
dockgen,4tvd_1_GLC_0,4,1977657,logs/boltz_full_r1_s20_dockgen_4tvd_1_GLC_0.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 4tvd_1_GLC_0 --gpu 4 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779256619.7463033
