dataset,mol_id,gpu,pid,log_path,tag,command,start_time
astex_diverse,1G9V_RQ3,0,3318651,logs/boltz_full_r1_s20_astex_diverse_1G9V_RQ3.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset astex_diverse --case-id 1G9V_RQ3 --gpu 0 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779066953.571799
posebusters_benchmark,5S8I_2LY,1,3318652,logs/boltz_full_r1_s20_posebusters_benchmark_5S8I_2LY.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 5S8I_2LY --gpu 1 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779066953.5730164
dockgen,3gvl_1_SLB_2,2,3318653,logs/boltz_full_r1_s20_dockgen_3gvl_1_SLB_2.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 3gvl_1_SLB_2 --gpu 2 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779066953.574502
astex_diverse,1GKC_NFH,3,3318654,logs/boltz_full_r1_s20_astex_diverse_1GKC_NFH.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset astex_diverse --case-id 1GKC_NFH --gpu 3 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779066953.575831
posebusters_benchmark,5SAK_ZRY,4,3318655,logs/boltz_full_r1_s20_posebusters_benchmark_5SAK_ZRY.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 5SAK_ZRY --gpu 4 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779066953.5767741
dockgen,3inr_1_GDU_0,6,3318656,logs/boltz_full_r1_s20_dockgen_3inr_1_GDU_0.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 3inr_1_GDU_0 --gpu 6 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779066953.5777547
astex_diverse,1GM8_SOX,7,3318657,logs/boltz_full_r1_s20_astex_diverse_1GM8_SOX.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset astex_diverse --case-id 1GM8_SOX --gpu 7 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779066953.5793195
posebusters_benchmark,5SB2_1K2,0,3322128,logs/boltz_full_r1_s20_posebusters_benchmark_5SB2_1K2.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 5SB2_1K2 --gpu 0 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779067063.6908526
dockgen,3jqm_1_GTP_5,1,3322129,logs/boltz_full_r1_s20_dockgen_3jqm_1_GTP_5.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset dockgen --case-id 3jqm_1_GTP_5 --gpu 1 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779067063.6925113
astex_diverse,1GPK_HUP,2,3322130,logs/boltz_full_r1_s20_astex_diverse_1GPK_HUP.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset astex_diverse --case-id 1GPK_HUP --gpu 2 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779067063.694278
posebusters_benchmark,5SD5_HWI,3,3322769,logs/boltz_full_r1_s20_posebusters_benchmark_5SD5_HWI.log,full_r1_s20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/69_run_posebench_boltz_case.py --dataset posebusters_benchmark --case-id 5SD5_HWI --gpu 3 --model boltz1 --tag full_r1_s20 --recycling-steps 1 --sampling-steps 20 --diffusion-samples 1 --timeout 7200,1779067073.7060788
