pid,ppid,stat,elapsed_sec,wchan,cmd
3644677,1,Dl,2926,os_acq,<REMOTE_PROJECT_ROOT>/envs/boltz/bin/python <REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz predict <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7ECR_SIN/full_r1_s20/inputs/7ECR_SIN_boltz1.yaml --out_dir <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7ECR_SIN/full_r1_s20 --cache <REMOTE_PROJECT_ROOT>/external/boltz_cache --devices 1 --accelerator gpu --recycling_steps 1 --sampling_steps 20 --diffusion_samples 1 --max_parallel_samples 1 --num_workers 0 --preprocessing-threads 1 --model boltz1 --no_kernels --override --output_format mmcif
3649435,1,Dl,2826,os_acq,<REMOTE_PROJECT_ROOT>/envs/boltz/bin/python <REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz predict <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7EPV_FDA/full_r1_s20/inputs/7EPV_FDA_boltz1.yaml --out_dir <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7EPV_FDA/full_r1_s20 --cache <REMOTE_PROJECT_ROOT>/external/boltz_cache --devices 1 --accelerator gpu --recycling_steps 1 --sampling_steps 20 --diffusion_samples 1 --max_parallel_samples 1 --num_workers 0 --preprocessing-threads 1 --model boltz1 --no_kernels --override --output_format mmcif
3651684,1,D,2816,os_acq,<REMOTE_PROJECT_ROOT>/envs/boltz/bin/python <REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz predict <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7ES1_UDP/full_r1_s20/inputs/7ES1_UDP_boltz1.yaml --out_dir <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7ES1_UDP/full_r1_s20 --cache <REMOTE_PROJECT_ROOT>/external/boltz_cache --devices 1 --accelerator gpu --recycling_steps 1 --sampling_steps 20 --diffusion_samples 1 --max_parallel_samples 1 --num_workers 0 --preprocessing-threads 1 --model boltz1 --no_kernels --override --output_format mmcif
3651685,1,D,2816,os_acq,<REMOTE_PROJECT_ROOT>/envs/boltz/bin/python <REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz predict <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/dockgen/4o95_1_245_0/full_r1_s20/inputs/4o95_1_245_0_boltz1.yaml --out_dir <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/dockgen/4o95_1_245_0/full_r1_s20 --cache <REMOTE_PROJECT_ROOT>/external/boltz_cache --devices 1 --accelerator gpu --recycling_steps 1 --sampling_steps 20 --diffusion_samples 1 --max_parallel_samples 1 --num_workers 0 --preprocessing-threads 1 --model boltz1 --no_kernels --override --output_format mmcif
3661161,1,D,2776,os_acq,<REMOTE_PROJECT_ROOT>/envs/boltz/bin/python <REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz predict <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/dockgen/4oal_2_245_0/full_r1_s20/inputs/4oal_2_245_0_boltz1.yaml --out_dir <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/dockgen/4oal_2_245_0/full_r1_s20 --cache <REMOTE_PROJECT_ROOT>/external/boltz_cache --devices 1 --accelerator gpu --recycling_steps 1 --sampling_steps 20 --diffusion_samples 1 --max_parallel_samples 1 --num_workers 0 --preprocessing-threads 1 --model boltz1 --no_kernels --override --output_format mmcif
3663790,1,D,2766,os_acq,<REMOTE_PROJECT_ROOT>/envs/boltz/bin/python <REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz predict <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7F51_BA7/full_r1_s20/inputs/7F51_BA7_boltz1.yaml --out_dir <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7F51_BA7/full_r1_s20 --cache <REMOTE_PROJECT_ROOT>/external/boltz_cache --devices 1 --accelerator gpu --recycling_steps 1 --sampling_steps 20 --diffusion_samples 1 --max_parallel_samples 1 --num_workers 0 --preprocessing-threads 1 --model boltz1 --no_kernels --override --output_format mmcif
3722364,1,D,1353,os_acq,<REMOTE_PROJECT_ROOT>/envs/boltz/bin/python <REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz predict <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7EPV_FDA/full_r1_s20/inputs/7EPV_FDA_boltz1.yaml --out_dir <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7EPV_FDA/full_r1_s20 --cache <REMOTE_PROJECT_ROOT>/external/boltz_cache --devices 1 --accelerator gpu --recycling_steps 1 --sampling_steps 20 --diffusion_samples 1 --max_parallel_samples 1 --num_workers 0 --preprocessing-threads 1 --model boltz1 --no_kernels --override --output_format mmcif
3722365,1,D,1353,os_acq,<REMOTE_PROJECT_ROOT>/envs/boltz/bin/python <REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz predict <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7ES1_UDP/full_r1_s20/inputs/7ES1_UDP_boltz1.yaml --out_dir <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/posebusters_benchmark/7ES1_UDP/full_r1_s20 --cache <REMOTE_PROJECT_ROOT>/external/boltz_cache --devices 1 --accelerator gpu --recycling_steps 1 --sampling_steps 20 --diffusion_samples 1 --max_parallel_samples 1 --num_workers 0 --preprocessing-threads 1 --model boltz1 --no_kernels --override --output_format mmcif
3722366,1,D,1353,os_acq,<REMOTE_PROJECT_ROOT>/envs/boltz/bin/python <REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz predict <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/dockgen/4o0f_1_GLY_3/full_r1_s20/inputs/4o0f_1_GLY_3_boltz1.yaml --out_dir <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/dockgen/4o0f_1_GLY_3/full_r1_s20 --cache <REMOTE_PROJECT_ROOT>/external/boltz_cache --devices 1 --accelerator gpu --recycling_steps 1 --sampling_steps 20 --diffusion_samples 1 --max_parallel_samples 1 --num_workers 0 --preprocessing-threads 1 --model boltz1 --no_kernels --override --output_format mmcif
3722367,1,D,1353,os_acq,<REMOTE_PROJECT_ROOT>/envs/boltz/bin/python <REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz predict <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/dockgen/4oal_2_245_0/full_r1_s20/inputs/4oal_2_245_0_boltz1.yaml --out_dir <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/boltz1_gpu/dockgen/4oal_2_245_0/full_r1_s20 --cache <REMOTE_PROJECT_ROOT>/external/boltz_cache --devices 1 --accelerator gpu --recycling_steps 1 --sampling_steps 20 --diffusion_samples 1 --max_parallel_samples 1 --num_workers 0 --preprocessing-threads 1 --model boltz1 --no_kernels --override --output_format mmcif
