chai1_import_ok,chai_lab_import_ok,chai_lab_source_tree,chai_lab_version,dataset,device,gpu,gpu_blocker_d_state_boltz_predict_count,gpu_blocker_preview,input_fasta,ligand_file,ligand_heavy_atoms,ligand_smiles,method,mol_id,n_prediction_cif,n_protein_chains,n_score_npz,output_dir,prediction_cifs,protein_lengths,protein_pdb,runtime_sec,score_npz,status,tag,status_json,exception,exception_type,failure_class,rescue_recommendation
True,True,True,0.6.1,astex_diverse,cuda:0,0,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/inputs/1G9V_RQ3_chai.fasta,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,25.0,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,chai1_gpu,1G9V_RQ3,5.0,4.0,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_4.cif,A:141;B:146;C:141;D:146,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,180.807,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/scores.model_idx_4.npz,ok,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,astex_diverse,cuda:0,3,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/inputs/1GKC_NFH_chai.fasta,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,22.0,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)CN(O)C=O)C(C)(C)C,chai1_gpu,1GKC_NFH,5.0,2.0,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_4.cif,A:159;B:156,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,88.185,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/scores.model_idx_4.npz,ok,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,astex_diverse,cuda:0,1,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/inputs/1GM8_SOX_chai.fasta,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand.sdf,24.0,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2[S@H]1O,chai1_gpu,1GM8_SOX,5.0,2.0,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_4.cif,A:207;B:557,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_protein.pdb,276.855,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/scores.model_idx_4.npz,ok,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,astex_diverse,cuda:0,0,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/inputs/1GPK_HUP_chai.fasta,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligand.sdf,18.0,C/C=C1\[C@@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,chai1_gpu,1GPK_HUP,5.0,1.0,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_4.cif,A:529,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_protein.pdb,182.522,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/scores.model_idx_4.npz,ok,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,astex_diverse,cuda:0,3,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/inputs/1HNN_SKF_chai.fasta,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligand.sdf,14.0,NS(=O)(=O)c1ccc2c(c1)CNCC2,chai1_gpu,1HNN_SKF,5.0,2.0,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_4.cif,A:261;B:267,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_protein.pdb,189.651,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/scores.model_idx_4.npz,ok,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,astex_diverse,cuda:0,6,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/inputs/1HP0_AD3_chai.fasta,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand.sdf,19.0,Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,chai1_gpu,1HP0_AD3,5.0,2.0,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_4.cif,A:319;B:322,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_protein.pdb,188.008,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/scores.model_idx_4.npz,ok,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,astex_diverse,cuda:0,4,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/inputs/1HQ2_PH2_chai.fasta,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligand.sdf,14.0,Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2,chai1_gpu,1HQ2_PH2,5.0,1.0,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_4.cif,A:158,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_protein.pdb,61.459,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/scores.model_idx_4.npz,ok,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,astex_diverse,,0,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/default_s5_t200/inputs/1HVY_D16_chai.fasta,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf,32.0,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,chai1_gpu,1HVY_D16,,4.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/default_s5_t200,,A:287;B:287;C:287;D:287,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_protein.pdb,47.714,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.21 GiB is free. Including non-PyTorch memory, this process has 22.28 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 111.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,astex_diverse,,1,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/default_s5_t200/inputs/1HWI_115_chai.fasta,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,30.0,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,chai1_gpu,1HWI_115,,4.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/default_s5_t200,,A:393;B:399;C:374;D:374,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb,65.308,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 164503, in forward_2048
    _67287 = [torch.to(_67284, 15), torch.to(_67282, 15)]
    _67288 = torch.einsum(""abc,defc->abdef"", _67287)
    x8372 = torch.einsum(""abcde,afcdg->cegabf"", [_67286, _67288])
            ~~~~~~~~~~~~ <--- HERE
    element13961 = ops.prim.NumToTensor(torch.size(x8372, 0))
    element13962 = ops.prim.NumToTensor(torch.size(x8372, 1))
RuntimeError: CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.52 GiB of which 2.37 GiB is free. Including non-PyTorch memory, this process has 21.13 GiB memory in use. Of the allocated memory 20.70 GiB is allocated by PyTorch, and 13.04 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,astex_diverse,,2,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/default_s5_t200/inputs/1HWW_SWA_chai.fasta,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,12.0,O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O,chai1_gpu,1HWW_SWA,,1.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/default_s5_t200,,A:1014,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,47.731,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
