chai1_import_ok,chai_lab_import_ok,chai_lab_source_tree,chai_lab_version,dataset,device,gpu,gpu_blocker_d_state_boltz_predict_count,gpu_blocker_preview,input_fasta,ligand_file,ligand_heavy_atoms,ligand_smiles,method,mol_id,n_prediction_cif,n_protein_chains,n_score_npz,output_dir,prediction_cifs,protein_lengths,protein_pdb,runtime_sec,score_npz,status,tag,status_json,exception,exception_type,failure_class,rescue_recommendation
True,True,True,0.6.1,astex_diverse,,0,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/default_s5_t200/inputs/1HVY_D16_chai.fasta,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf,32.0,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,chai1_gpu,1HVY_D16,,4.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/default_s5_t200,,A:287;B:287;C:287;D:287,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_protein.pdb,47.714,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.21 GiB is free. Including non-PyTorch memory, this process has 22.28 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 111.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,astex_diverse,,1,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/default_s5_t200/inputs/1HWI_115_chai.fasta,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,30.0,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,chai1_gpu,1HWI_115,,4.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/default_s5_t200,,A:393;B:399;C:374;D:374,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb,65.308,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 164503, in forward_2048
    _67287 = [torch.to(_67284, 15), torch.to(_67282, 15)]
    _67288 = torch.einsum(""abc,defc->abdef"", _67287)
    x8372 = torch.einsum(""abcde,afcdg->cegabf"", [_67286, _67288])
            ~~~~~~~~~~~~ <--- HERE
    element13961 = ops.prim.NumToTensor(torch.size(x8372, 0))
    element13962 = ops.prim.NumToTensor(torch.size(x8372, 1))
RuntimeError: CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.52 GiB of which 2.37 GiB is free. Including non-PyTorch memory, this process has 21.13 GiB memory in use. Of the allocated memory 20.70 GiB is allocated by PyTorch, and 13.04 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,astex_diverse,,2,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/default_s5_t200/inputs/1HWW_SWA_chai.fasta,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,12.0,O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O,chai1_gpu,1HWW_SWA,,1.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/default_s5_t200,,A:1014,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,47.731,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,astex_diverse,,3,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/default_s5_t200/inputs/1J3J_CP6_chai.fasta,external/PoseBench/data/astex_diverse_set/1J3J_CP6/1J3J_CP6_ligand.sdf,17.0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,chai1_gpu,1J3J_CP6,,4.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/default_s5_t200,,A:221;B:216;C:326;D:326,external/PoseBench/data/astex_diverse_set/1J3J_CP6/1J3J_CP6_protein.pdb,57.475,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,astex_diverse,,0,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/default_s5_t200/inputs/1N1M_A3M_chai.fasta,external/PoseBench/data/astex_diverse_set/1N1M_A3M/1N1M_A3M_ligand.sdf,12.0,CC(C)[C@H](N)C(=O)N1CCCC1,chai1_gpu,1N1M_A3M,,2.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/default_s5_t200,,A:726;B:728,external/PoseBench/data/astex_diverse_set/1N1M_A3M/1N1M_A3M_protein.pdb,49.928,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,astex_diverse,,7,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/default_s5_t200/inputs/1OF6_DTY_chai.fasta,external/PoseBench/data/astex_diverse_set/1OF6_DTY/1OF6_DTY_ligand.sdf,13.0,N[C@@H](Cc1ccc(O)cc1)C(=O)O,chai1_gpu,1OF6_DTY,,8.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/default_s5_t200,,A:350;B:346;C:350;D:349;E:339;F:347;G:342;H:347,external/PoseBench/data/astex_diverse_set/1OF6_DTY/1OF6_DTY_protein.pdb,10.313,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/default_s5_t200/run_status.json,Too many tokens in input: 2783 > 2048. Please limit the length of the input sequence.,UnsupportedInputError,too_many_tokens,document_chai_token_limit_or_run_separate_pocket_crop_sensitivity
True,True,True,0.6.1,astex_diverse,,2,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/default_s5_t200/inputs/1Q1G_MTI_chai.fasta,external/PoseBench/data/astex_diverse_set/1Q1G_MTI/1Q1G_MTI_ligand.sdf,20.0,CSC[C@H]1[NH2+][C@@H](c2c[nH]c3c(=O)[nH]cnc23)[C@H](O)[C@@H]1O,chai1_gpu,1Q1G_MTI,,6.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/default_s5_t200,,A:243;B:243;C:243;D:243;E:243;F:243,external/PoseBench/data/astex_diverse_set/1Q1G_MTI/1Q1G_MTI_protein.pdb,45.84,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,astex_diverse,,1,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/default_s5_t200/inputs/1Q4G_BFL_chai.fasta,external/PoseBench/data/astex_diverse_set/1Q4G_BFL/1Q4G_BFL_ligand.sdf,17.0,C[C@H](C(=O)O)c1ccc(-c2ccccc2)cc1,chai1_gpu,1Q4G_BFL,,2.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/default_s5_t200,,A:553;B:553,external/PoseBench/data/astex_diverse_set/1Q4G_BFL/1Q4G_BFL_protein.pdb,45.155,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,astex_diverse,,3,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/default_s5_t200/inputs/1SQ5_PAU_chai.fasta,external/PoseBench/data/astex_diverse_set/1SQ5_PAU/1SQ5_PAU_ligand.sdf,15.0,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,chai1_gpu,1SQ5_PAU,,4.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/default_s5_t200,,A:302;B:302;C:298;D:304,external/PoseBench/data/astex_diverse_set/1SQ5_PAU/1SQ5_PAU_protein.pdb,54.213,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.21 GiB is free. Including non-PyTorch memory, this process has 22.28 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 111.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,astex_diverse,,2,0.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/default_s5_t200/inputs/1T9B_1CS_chai.fasta,external/PoseBench/data/astex_diverse_set/1T9B_1CS/1T9B_1CS_ligand.sdf,23.0,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,chai1_gpu,1T9B_1CS,,2.0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/default_s5_t200,,A:583;B:595,external/PoseBench/data/astex_diverse_set/1T9B_1CS/1T9B_1CS_protein.pdb,50.44,,exception,default_s5_t200,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/default_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
