dataset,mol_id,gpu,pid,log_path,tag,command,start_time,status,exit_code,elapsed_sec
astex_diverse,1GPK_HUP,0,112394,logs/chai_default_s5_t200_astex_diverse_1GPK_HUP.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1GPK_HUP --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103289.7486298,finished,0,190.214
posebusters_benchmark,5SD5_HWI,1,112395,logs/chai_default_s5_t200_posebusters_benchmark_5SD5_HWI.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 5SD5_HWI --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103289.7499666,finished,0,70.079
dockgen,3jqm_1_GTP_5,2,112396,logs/chai_default_s5_t200_dockgen_3jqm_1_GTP_5.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 3jqm_1_GTP_5 --gpu 2 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103289.7514365,finished,0,100.112
astex_diverse,1HNN_SKF,3,112397,logs/chai_default_s5_t200_astex_diverse_1HNN_SKF.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HNN_SKF --gpu 3 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103289.7530258,finished,0,200.224
posebusters_benchmark,5SIS_JSM,4,112398,logs/chai_default_s5_t200_posebusters_benchmark_5SIS_JSM.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 5SIS_JSM --gpu 4 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103289.7545187,finished,0,90.097
dockgen,3ju4_1_SLB_2,5,112399,logs/chai_default_s5_t200_dockgen_3ju4_1_SLB_2.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 3ju4_1_SLB_2 --gpu 5 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103289.7559063,finished,0,190.206
astex_diverse,1HP0_AD3,6,112400,logs/chai_default_s5_t200_astex_diverse_1HP0_AD3.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HP0_AD3 --gpu 6 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103289.7575662,finished,0,200.219
posebusters_benchmark,6M2B_EZO,7,112401,logs/chai_default_s5_t200_posebusters_benchmark_6M2B_EZO.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6M2B_EZO --gpu 7 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103289.7589328,finished,0,120.126
dockgen,4cnl_1_CHT_1,1,118308,logs/chai_default_s5_t200_dockgen_4cnl_1_CHT_1.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 4cnl_1_CHT_1 --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103359.83097,finished,0,70.076
astex_diverse,1HQ2_PH2,4,119163,logs/chai_default_s5_t200_astex_diverse_1HQ2_PH2.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HQ2_PH2 --gpu 4 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103379.8529336,finished,0,70.077
posebusters_benchmark,6M73_FNR,2,119885,logs/chai_default_s5_t200_posebusters_benchmark_6M73_FNR.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6M73_FNR --gpu 2 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103389.8649573,finished,0,120.134
dockgen,1hg0_1_SIN_1,7,120713,logs/chai_default_s5_t200_dockgen_1hg0_1_SIN_1.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1hg0_1_SIN_1 --gpu 7 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103409.8871295,finished,0,180.202
