dataset,mol_id,failure_class,gpu,pid,source_tag,target_tag,runner_extra_args,log_path,command,start_time,status,exit_code,elapsed_sec
astex_diverse,1HWW_SWA,cuda_oom,1,806638,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_astex_diverse_1HWW_SWA.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HWW_SWA --gpu 1 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121845.4899566,finished,0,60.083
astex_diverse,1OF6_DTY,cuda_oom,2,806639,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_astex_diverse_1OF6_DTY.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1OF6_DTY --gpu 2 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121845.4911718,finished,0,60.082
astex_diverse,1T9B_1CS,cuda_oom,3,806640,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_astex_diverse_1T9B_1CS.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1T9B_1CS --gpu 3 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121845.4926584,finished,0,60.08
dockgen,1pj2_1_FUM_0,cuda_oom,4,806641,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_dockgen_1pj2_1_FUM_0.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1pj2_1_FUM_0 --gpu 4 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121845.4938369,finished,0,60.079
dockgen,1pj4_1_FUM_1,cuda_oom,5,806642,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_dockgen_1pj4_1_FUM_1.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1pj4_1_FUM_1 --gpu 5 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121845.4950264,finished,0,50.065
dockgen,1v97_1_MTE_1,cuda_oom,6,806643,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_dockgen_1v97_1_MTE_1.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1v97_1_MTE_1 --gpu 6 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121845.4964802,finished,0,60.077
dockgen,3uni_1_SAL_0,cuda_oom,7,806644,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_dockgen_3uni_1_SAL_0.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 3uni_1_SAL_0 --gpu 7 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121845.4977088,finished,0,60.075
dockgen,4bc9_1_CNV-FAD_0,cuda_oom,5,811465,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_dockgen_4bc9_1_CNV-FAD_0.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 4bc9_1_CNV-FAD_0 --gpu 5 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121895.562632,finished,0,50.062
dockgen,4tvd_1_BGC_4,cuda_oom,1,812184,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_dockgen_4tvd_1_BGC_4.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 4tvd_1_BGC_4 --gpu 1 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121905.5757418,finished,0,60.072
dockgen,4tvd_1_GLC_0,cuda_oom,2,812185,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_dockgen_4tvd_1_GLC_0.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 4tvd_1_GLC_0 --gpu 2 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121905.5769439,finished,0,60.071
