dataset,mol_id,failure_class,gpu,pid,source_tag,target_tag,runner_extra_args,log_path,command,start_time,status,exit_code,elapsed_sec
astex_diverse,1HVY_D16,cuda_oom,1,752499,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_astex_diverse_1HVY_D16.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HVY_D16 --gpu 1 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120344.3990166,finished,0,190.202
astex_diverse,1HWI_115,cuda_oom,2,752500,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_astex_diverse_1HWI_115.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HWI_115 --gpu 2 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120344.4005206,finished,0,290.323
astex_diverse,1HWW_SWA,cuda_oom,3,752501,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_astex_diverse_1HWW_SWA.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HWW_SWA --gpu 3 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120344.4016387,finished,0,60.065
astex_diverse,1J3J_CP6,cuda_oom,4,752502,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_astex_diverse_1J3J_CP6.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1J3J_CP6 --gpu 4 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120344.4028285,finished,0,190.199
astex_diverse,1N1M_A3M,cuda_oom,5,752503,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_astex_diverse_1N1M_A3M.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1N1M_A3M --gpu 5 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120344.4039388,finished,0,190.197
astex_diverse,1Q1G_MTI,cuda_oom,6,752504,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_astex_diverse_1Q1G_MTI.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1Q1G_MTI --gpu 6 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120344.4050226,finished,0,130.134
astex_diverse,1Q4G_BFL,cuda_oom,7,752505,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_astex_diverse_1Q4G_BFL.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1Q4G_BFL --gpu 7 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120344.4061735,finished,0,190.195
astex_diverse,1SQ5_PAU,cuda_oom,3,757392,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_astex_diverse_1SQ5_PAU.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1SQ5_PAU --gpu 3 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120404.4689705,finished,0,190.202
astex_diverse,1T9B_1CS,cuda_oom,6,758658,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_astex_diverse_1T9B_1CS.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1T9B_1CS --gpu 6 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120474.541827,finished,0,60.06
astex_diverse,1U1C_BAU,cuda_oom,1,759745,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_astex_diverse_1U1C_BAU.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1U1C_BAU --gpu 1 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120534.6039214,finished,0,190.214
dockgen,1pj2_1_FUM_0,cuda_oom,4,759746,default_s5_t200,oracle_pocket_crop_s5_t200,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,logs/chai_retry_oracle_pocket_crop_s5_t200_cuda_oom_dockgen_1pj2_1_FUM_0.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1pj2_1_FUM_0 --gpu 4 --tag oracle_pocket_crop_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback,1779120534.6059215,finished,0,60.066
