chai1_import_ok,chai_lab_import_ok,chai_lab_source_tree,chai_lab_version,chain_ligand_cutoff,crop_candidate_chains,dataset,device,gpu,gpu_blocker_d_state_boltz_predict_count,gpu_blocker_preview,input_fasta,ligand_file,ligand_heavy_atoms,ligand_sanitize_mode,ligand_smiles,max_total_aa,method,min_window_aa,mol_id,n_prediction_cif,n_protein_chains,n_score_npz,output_dir,pocket_chain_crop,pocket_residue_window_crop,prediction_cifs,protein_lengths,protein_pdb,residue_ligand_cutoff,residue_window_aa,residue_windows,runtime_sec,score_npz,selected_chain_ids,selected_total_aa,status,tag,use_esm_embeddings,status_json,exception,exception_type,failure_class,rescue_recommendation
True,True,True,0.6.1,12.0,A:1014:2.426,astex_diverse,cuda:0,1,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_window_s1_t100_noesm_aa768/inputs/1HWW_SWA_chai.fasta,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,12,sanitized,O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O,768,chai1_gpu,96,1HWW_SWA,1.0,1,1.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_window_s1_t100_noesm_aa768,True,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_window_s1_t100_noesm_aa768/predictions/pred.model_idx_0.cif,A:512,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,8.0,512,A:197-709:512:2.426,93.24,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_window_s1_t100_noesm_aa768/predictions/scores.model_idx_0.npz,A,512,ok,oracle_pocket_window_s1_t100_noesm_aa768,False,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_window_s1_t100_noesm_aa768/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,A:350:2.515;B:346:2.742;D:349:11.226;C:350:14.915;H:347:33.939;F:347:45.318;G:342:55.037;E:339:57.471,astex_diverse,cuda:0,2,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_window_s1_t100_noesm_aa768/inputs/1OF6_DTY_chai.fasta,external/PoseBench/data/astex_diverse_set/1OF6_DTY/1OF6_DTY_ligand.sdf,13,sanitized,N[C@@H](Cc1ccc(O)cc1)C(=O)O,768,chai1_gpu,96,1OF6_DTY,1.0,2,1.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_window_s1_t100_noesm_aa768,True,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_window_s1_t100_noesm_aa768/predictions/pred.model_idx_0.cif,A:350;B:346,external/PoseBench/data/astex_diverse_set/1OF6_DTY/1OF6_DTY_protein.pdb,8.0,512,A:0-350:350:2.515;B:0-346:346:2.742,94.681,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_window_s1_t100_noesm_aa768/predictions/scores.model_idx_0.npz,A;B,696,ok,oracle_pocket_window_s1_t100_noesm_aa768,False,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_window_s1_t100_noesm_aa768/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,B:595:2.864;A:583:3.317,astex_diverse,cuda:0,3,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_window_s1_t100_noesm_aa768/inputs/1T9B_1CS_chai.fasta,external/PoseBench/data/astex_diverse_set/1T9B_1CS/1T9B_1CS_ligand.sdf,23,sanitized,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,768,chai1_gpu,96,1T9B_1CS,1.0,1,1.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_window_s1_t100_noesm_aa768,True,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_window_s1_t100_noesm_aa768/predictions/pred.model_idx_0.cif,B:512,external/PoseBench/data/astex_diverse_set/1T9B_1CS/1T9B_1CS_protein.pdb,8.0,512,B:83-595:512:2.864,93.675,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_window_s1_t100_noesm_aa768/predictions/scores.model_idx_0.npz,B,512,ok,oracle_pocket_window_s1_t100_noesm_aa768,False,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_window_s1_t100_noesm_aa768/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,A:539:2.578;B:539:3.515,dockgen,cuda:0,4,0,,results/posebench_702_predictions/chai1_gpu/dockgen/1pj2_1_FUM_0/oracle_pocket_window_s1_t100_noesm_aa768/inputs/1pj2_1_FUM_0_chai.fasta,external/PoseBench/data/dockgen_set/1pj2_1_FUM_0/1pj2_1_FUM_0_ligand.pdb,8,sanitized,OC(O)CCC(O)O,768,chai1_gpu,96,1pj2_1_FUM_0,1.0,1,1.0,results/posebench_702_predictions/chai1_gpu/dockgen/1pj2_1_FUM_0/oracle_pocket_window_s1_t100_noesm_aa768,True,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/1pj2_1_FUM_0/oracle_pocket_window_s1_t100_noesm_aa768/predictions/pred.model_idx_0.cif,A:512,external/PoseBench/data/dockgen_set/1pj2_1_FUM_0/1pj2_1_FUM_0_protein_processed.pdb,8.0,512,A:14-526:512:2.578,96.086,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/1pj2_1_FUM_0/oracle_pocket_window_s1_t100_noesm_aa768/predictions/scores.model_idx_0.npz,A,512,ok,oracle_pocket_window_s1_t100_noesm_aa768,False,results/posebench_702_predictions/chai1_gpu/dockgen/1pj2_1_FUM_0/oracle_pocket_window_s1_t100_noesm_aa768/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,B:538:2.539;A:538:3.620,dockgen,cuda:0,5,0,,results/posebench_702_predictions/chai1_gpu/dockgen/1pj4_1_FUM_1/oracle_pocket_window_s1_t100_noesm_aa768/inputs/1pj4_1_FUM_1_chai.fasta,external/PoseBench/data/dockgen_set/1pj4_1_FUM_1/1pj4_1_FUM_1_ligand.pdb,8,sanitized,OC(O)CCC(O)O,768,chai1_gpu,96,1pj4_1_FUM_1,1.0,1,1.0,results/posebench_702_predictions/chai1_gpu/dockgen/1pj4_1_FUM_1/oracle_pocket_window_s1_t100_noesm_aa768,True,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/1pj4_1_FUM_1/oracle_pocket_window_s1_t100_noesm_aa768/predictions/pred.model_idx_0.cif,B:512,external/PoseBench/data/dockgen_set/1pj4_1_FUM_1/1pj4_1_FUM_1_protein_processed.pdb,8.0,512,B:13-525:512:2.539,94.034,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/1pj4_1_FUM_1/oracle_pocket_window_s1_t100_noesm_aa768/predictions/scores.model_idx_0.npz,B,512,ok,oracle_pocket_window_s1_t100_noesm_aa768,False,results/posebench_702_predictions/chai1_gpu/dockgen/1pj4_1_FUM_1/oracle_pocket_window_s1_t100_noesm_aa768/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,B:1296:2.643,dockgen,cuda:0,6,0,,results/posebench_702_predictions/chai1_gpu/dockgen/1v97_1_MTE_1/oracle_pocket_window_s1_t100_noesm_aa768/inputs/1v97_1_MTE_1_chai.fasta,external/PoseBench/data/dockgen_set/1v97_1_MTE_1/1v97_1_MTE_1_ligand.pdb,24,sanitized,NC1NC(O)[C@@H]2N[C@H]3C(S)C(S)[C@@H](CO[PH](O)(O)O)O[C@H]3NC2N1,768,chai1_gpu,96,1v97_1_MTE_1,1.0,1,1.0,results/posebench_702_predictions/chai1_gpu/dockgen/1v97_1_MTE_1/oracle_pocket_window_s1_t100_noesm_aa768,True,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/1v97_1_MTE_1/oracle_pocket_window_s1_t100_noesm_aa768/predictions/pred.model_idx_0.cif,B:512,external/PoseBench/data/dockgen_set/1v97_1_MTE_1/1v97_1_MTE_1_protein_processed.pdb,8.0,512,B:412-924:512:2.643,92.108,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/1v97_1_MTE_1/oracle_pocket_window_s1_t100_noesm_aa768/predictions/scores.model_idx_0.npz,B,512,ok,oracle_pocket_window_s1_t100_noesm_aa768,False,results/posebench_702_predictions/chai1_gpu/dockgen/1v97_1_MTE_1/oracle_pocket_window_s1_t100_noesm_aa768/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,A:1289:2.731,dockgen,cuda:0,7,0,,results/posebench_702_predictions/chai1_gpu/dockgen/3uni_1_SAL_0/oracle_pocket_window_s1_t100_noesm_aa768/inputs/3uni_1_SAL_0_chai.fasta,external/PoseBench/data/dockgen_set/3uni_1_SAL_0/3uni_1_SAL_0_ligand.pdb,10,sanitized,OC(O)C1CCCCC1O,768,chai1_gpu,96,3uni_1_SAL_0,1.0,1,1.0,results/posebench_702_predictions/chai1_gpu/dockgen/3uni_1_SAL_0/oracle_pocket_window_s1_t100_noesm_aa768,True,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/3uni_1_SAL_0/oracle_pocket_window_s1_t100_noesm_aa768/predictions/pred.model_idx_0.cif,A:512,external/PoseBench/data/dockgen_set/3uni_1_SAL_0/3uni_1_SAL_0_protein_processed.pdb,8.0,512,A:659-1171:512:2.731,86.674,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/3uni_1_SAL_0/oracle_pocket_window_s1_t100_noesm_aa768/predictions/scores.model_idx_0.npz,A,512,ok,oracle_pocket_window_s1_t100_noesm_aa768,False,results/posebench_702_predictions/chai1_gpu/dockgen/3uni_1_SAL_0/oracle_pocket_window_s1_t100_noesm_aa768/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,C:552:2.324;D:550:6.024,dockgen,cuda:0,7,0,,results/posebench_702_predictions/chai1_gpu/dockgen/4bc9_1_CNV-FAD_0/oracle_pocket_window_s1_t100_noesm_aa768/inputs/4bc9_1_CNV-FAD_0_chai.fasta,external/PoseBench/data/dockgen_set/4bc9_1_CNV-FAD_0/4bc9_1_CNV-FAD_0_ligand.pdb,57,sanitized,CC1CC2[C@H](CC1C)N(C(C)CN)C1C(O)NC(O)NC1N2C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]1O[C@@H](N2CNC3C(N)NCN[C@H]32)[C@H](O)[C@@H]1O,768,chai1_gpu,96,4bc9_1_CNV-FAD_0,1.0,1,1.0,results/posebench_702_predictions/chai1_gpu/dockgen/4bc9_1_CNV-FAD_0/oracle_pocket_window_s1_t100_noesm_aa768,True,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/4bc9_1_CNV-FAD_0/oracle_pocket_window_s1_t100_noesm_aa768/predictions/pred.model_idx_0.cif,C:512,external/PoseBench/data/dockgen_set/4bc9_1_CNV-FAD_0/4bc9_1_CNV-FAD_0_protein_processed.pdb,8.0,512,C:20-532:512:2.324,87.356,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/4bc9_1_CNV-FAD_0/oracle_pocket_window_s1_t100_noesm_aa768/predictions/scores.model_idx_0.npz,C,512,ok,oracle_pocket_window_s1_t100_noesm_aa768,False,results/posebench_702_predictions/chai1_gpu/dockgen/4bc9_1_CNV-FAD_0/oracle_pocket_window_s1_t100_noesm_aa768/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,A:1028:2.570,dockgen,cuda:0,1,0,,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_BGC_4/oracle_pocket_window_s1_t100_noesm_aa768/inputs/4tvd_1_BGC_4_chai.fasta,external/PoseBench/data/dockgen_set/4tvd_1_BGC_4/4tvd_1_BGC_4_ligand.pdb,12,sanitized,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,768,chai1_gpu,96,4tvd_1_BGC_4,1.0,1,1.0,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_BGC_4/oracle_pocket_window_s1_t100_noesm_aa768,True,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_BGC_4/oracle_pocket_window_s1_t100_noesm_aa768/predictions/pred.model_idx_0.cif,A:512,external/PoseBench/data/dockgen_set/4tvd_1_BGC_4/4tvd_1_BGC_4_protein_processed.pdb,8.0,512,A:294-806:512:2.570,92.908,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_BGC_4/oracle_pocket_window_s1_t100_noesm_aa768/predictions/scores.model_idx_0.npz,A,512,ok,oracle_pocket_window_s1_t100_noesm_aa768,False,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_BGC_4/oracle_pocket_window_s1_t100_noesm_aa768/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,A:1028:2.688,dockgen,cuda:0,2,0,,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_GLC_0/oracle_pocket_window_s1_t100_noesm_aa768/inputs/4tvd_1_GLC_0_chai.fasta,external/PoseBench/data/dockgen_set/4tvd_1_GLC_0/4tvd_1_GLC_0_ligand.pdb,12,sanitized,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,768,chai1_gpu,96,4tvd_1_GLC_0,1.0,1,1.0,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_GLC_0/oracle_pocket_window_s1_t100_noesm_aa768,True,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_GLC_0/oracle_pocket_window_s1_t100_noesm_aa768/predictions/pred.model_idx_0.cif,A:512,external/PoseBench/data/dockgen_set/4tvd_1_GLC_0/4tvd_1_GLC_0_protein_processed.pdb,8.0,512,A:0-512:512:2.688,93.781,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_GLC_0/oracle_pocket_window_s1_t100_noesm_aa768/predictions/scores.model_idx_0.npz,A,512,ok,oracle_pocket_window_s1_t100_noesm_aa768,False,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_GLC_0/oracle_pocket_window_s1_t100_noesm_aa768/run_status.json,,,ok,manual_inspection
