dataset,mol_id,gpu,pid,log_path,tag,command,start_time,status,exit_code,elapsed_sec
astex_diverse,1G9V_RQ3,0,77671,logs/chai_smoke_s1_t50_astex_diverse_1G9V_RQ3.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1G9V_RQ3 --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779101797.3088212,finished,0,70.074
posebusters_benchmark,5S8I_2LY,1,77672,logs/chai_smoke_s1_t50_posebusters_benchmark_5S8I_2LY.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 5S8I_2LY --gpu 1 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779101797.3103995,finished,0,50.05
dockgen,3gvl_1_SLB_2,1,79445,logs/chai_smoke_s1_t50_dockgen_3gvl_1_SLB_2.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 3gvl_1_SLB_2 --gpu 1 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779101847.3627,finished,0,70.072
astex_diverse,1GKC_NFH,0,80287,logs/chai_smoke_s1_t50_astex_diverse_1GKC_NFH.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1GKC_NFH --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779101867.384417,finished,0,50.05
posebusters_benchmark,5SAK_ZRY,1,81373,logs/chai_smoke_s1_t50_posebusters_benchmark_5SAK_ZRY.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 5SAK_ZRY --gpu 1 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779101917.4369206,finished,0,50.052
dockgen,3inr_1_GDU_0,0,81374,logs/chai_smoke_s1_t50_dockgen_3inr_1_GDU_0.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 3inr_1_GDU_0 --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779101917.4385364,finished,0,50.05
astex_diverse,1GM8_SOX,1,83095,logs/chai_smoke_s1_t50_astex_diverse_1GM8_SOX.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1GM8_SOX --gpu 1 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779101967.4908485,finished,0,90.094
posebusters_benchmark,5SB2_1K2,0,83096,logs/chai_smoke_s1_t50_posebusters_benchmark_5SB2_1K2.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 5SB2_1K2 --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779101967.4925349,finished,0,50.05
dockgen,3jqm_1_GTP_5,0,84787,logs/chai_smoke_s1_t50_dockgen_3jqm_1_GTP_5.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 3jqm_1_GTP_5 --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102017.5445209,finished,0,50.052
astex_diverse,1GPK_HUP,1,85864,logs/chai_smoke_s1_t50_astex_diverse_1GPK_HUP.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1GPK_HUP --gpu 1 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102057.586698,finished,0,70.075
posebusters_benchmark,5SD5_HWI,0,86592,logs/chai_smoke_s1_t50_posebusters_benchmark_5SD5_HWI.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 5SD5_HWI --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102067.5990045,finished,0,50.05
