dataset,mol_id,gpu,pid,log_path,tag,command,start_time
astex_diverse,1JD0_AZM,0,3021686,logs/diffdock_default_s10_t20_astex_diverse_1JD0_AZM.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset astex_diverse --case-id 1JD0_AZM --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043188.2642066
posebusters_benchmark,6W59_SZD,2,3021687,logs/diffdock_default_s10_t20_posebusters_benchmark_6W59_SZD.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset posebusters_benchmark --case-id 6W59_SZD --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043188.265711
dockgen,1rqp_1_SAM_0,3,3021688,logs/diffdock_default_s10_t20_dockgen_1rqp_1_SAM_0.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset dockgen --case-id 1rqp_1_SAM_0 --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043188.2667274
astex_diverse,1JJE_BYS,4,3021689,logs/diffdock_default_s10_t20_astex_diverse_1JJE_BYS.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset astex_diverse --case-id 1JJE_BYS --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043188.267768
posebusters_benchmark,6WTN_RXT,6,3022329,logs/diffdock_default_s10_t20_posebusters_benchmark_6WTN_RXT.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset posebusters_benchmark --case-id 6WTN_RXT --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043233.3099885
dockgen,1sbz_1_FMN_3,7,3022330,logs/diffdock_default_s10_t20_dockgen_1sbz_1_FMN_3.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset dockgen --case-id 1sbz_1_FMN_3 --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043233.311332
astex_diverse,1JLA_TNK,0,3022527,logs/diffdock_default_s10_t20_astex_diverse_1JLA_TNK.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset astex_diverse --case-id 1JLA_TNK --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043238.3178062
posebusters_benchmark,6X8D_ARA,2,3022647,logs/diffdock_default_s10_t20_posebusters_benchmark_6X8D_ARA.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset posebusters_benchmark --case-id 6X8D_ARA --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043243.3246443
dockgen,1sij_1_PCD_0,3,3022941,logs/diffdock_default_s10_t20_dockgen_1sij_1_PCD_0.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset dockgen --case-id 1sij_1_PCD_0 --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043273.3556998
astex_diverse,1K3U_IAD,4,3023044,logs/diffdock_default_s10_t20_astex_diverse_1K3U_IAD.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset astex_diverse --case-id 1K3U_IAD --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043278.3622112
posebusters_benchmark,6XAF_GDP,6,3023158,logs/diffdock_default_s10_t20_posebusters_benchmark_6XAF_GDP.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset posebusters_benchmark --case-id 6XAF_GDP --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043283.3691146
dockgen,1tke_1_SER_0,7,3023283,logs/diffdock_default_s10_t20_dockgen_1tke_1_SER_0.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset dockgen --case-id 1tke_1_SER_0 --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043288.3757741
astex_diverse,1KE5_LS1,0,3023654,logs/diffdock_default_s10_t20_astex_diverse_1KE5_LS1.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset astex_diverse --case-id 1KE5_LS1 --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043323.4126143
posebusters_benchmark,6XBO_5MC,2,3023655,logs/diffdock_default_s10_t20_posebusters_benchmark_6XBO_5MC.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset posebusters_benchmark --case-id 6XBO_5MC --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043323.4141974
dockgen,1tkg_1_SSA_0,3,3023837,logs/diffdock_default_s10_t20_dockgen_1tkg_1_SSA_0.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset dockgen --case-id 1tkg_1_SSA_0 --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043328.4204965
astex_diverse,1KZK_JE2,4,3024054,logs/diffdock_default_s10_t20_astex_diverse_1KZK_JE2.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/68_run_posebench_diffdock_case.py --dataset astex_diverse --case-id 1KZK_JE2 --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779043348.442165
