dataset,mol_id,status,failure_class,failure_scope,recommended_reporting_action,runtime_sec,returncode,status_json,protein_pdb,ligand_file,log_excerpt,expected_size,got_size,bad_atom_index,bad_atom_symbol,bad_atom_valence,reported_receptor_size
astex_diverse,1G9V_RQ3,ok,ok,prediction_available,include in metric computation,43.858,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,nan nan,,,,,,
astex_diverse,1GKC_NFH,ok,ok,prediction_available,include in metric computation,43.333,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,nan nan,,,,,,
astex_diverse,1GM8_SOX,ok,ok,prediction_available,include in metric computation,54.101,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GM8_SOX/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_protein.pdb,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand.sdf,nan nan,,,,,,
astex_diverse,1GPK_HUP,ok,ok,prediction_available,include in metric computation,46.159,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GPK_HUP/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_protein.pdb,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligand.sdf,nan nan,,,,,,
astex_diverse,1HNN_SKF,ok,ok,prediction_available,include in metric computation,46.726,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HNN_SKF/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_protein.pdb,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligand.sdf,nan nan,,,,,,
astex_diverse,1HP0_AD3,ok,ok,prediction_available,include in metric computation,51.315,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HP0_AD3/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_protein.pdb,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand.sdf,nan nan,,,,,,
astex_diverse,1HQ2_PH2,ok,ok,prediction_available,include in metric computation,34.3,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HQ2_PH2/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_protein.pdb,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligand.sdf,nan nan,,,,,,
astex_diverse,1HVY_D16,ok,ok,prediction_available,include in metric computation,51.072,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HVY_D16/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_protein.pdb,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf,nan nan,,,,,,
astex_diverse,1HWI_115,ok,ok,prediction_available,include in metric computation,62.921,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWI_115/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,nan nan,,,,,,
astex_diverse,1HWW_SWA,ok,ok,prediction_available,include in metric computation,43.613,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWW_SWA/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,nan nan,,,,,,
astex_diverse,1IA1_TQ3,ok,ok,prediction_available,include in metric computation,39.927,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1IA1_TQ3/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1IA1_TQ3/1IA1_TQ3_protein.pdb,external/PoseBench/data/astex_diverse_set/1IA1_TQ3/1IA1_TQ3_ligand.sdf,nan nan,,,,,,
astex_diverse,1IG3_VIB,ok,ok,prediction_available,include in metric computation,44.459,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1IG3_VIB/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1IG3_VIB/1IG3_VIB_protein.pdb,external/PoseBench/data/astex_diverse_set/1IG3_VIB/1IG3_VIB_ligand.sdf,nan nan,,,,,,
astex_diverse,1J3J_CP6,ok,ok,prediction_available,include in metric computation,44.392,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1J3J_CP6/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1J3J_CP6/1J3J_CP6_protein.pdb,external/PoseBench/data/astex_diverse_set/1J3J_CP6/1J3J_CP6_ligand.sdf,nan nan,,,,,,
astex_diverse,1JD0_AZM,ok,ok,prediction_available,include in metric computation,39.772,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1JD0_AZM/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1JD0_AZM/1JD0_AZM_protein.pdb,external/PoseBench/data/astex_diverse_set/1JD0_AZM/1JD0_AZM_ligand.sdf,nan nan,,,,,,
astex_diverse,1JJE_BYS,ok,ok,prediction_available,include in metric computation,41.445,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1JJE_BYS/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1JJE_BYS/1JJE_BYS_protein.pdb,external/PoseBench/data/astex_diverse_set/1JJE_BYS/1JJE_BYS_ligand.sdf,nan nan,,,,,,
astex_diverse,1JLA_TNK,ok,ok,prediction_available,include in metric computation,46.371,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1JLA_TNK/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1JLA_TNK/1JLA_TNK_protein.pdb,external/PoseBench/data/astex_diverse_set/1JLA_TNK/1JLA_TNK_ligand.sdf,nan nan,,,,,,
astex_diverse,1K3U_IAD,ok,ok,prediction_available,include in metric computation,46.051,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1K3U_IAD/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1K3U_IAD/1K3U_IAD_protein.pdb,external/PoseBench/data/astex_diverse_set/1K3U_IAD/1K3U_IAD_ligand.sdf,nan nan,,,,,,
astex_diverse,1KE5_LS1,ok,ok,prediction_available,include in metric computation,40.151,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1KE5_LS1/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1KE5_LS1/1KE5_LS1_protein.pdb,external/PoseBench/data/astex_diverse_set/1KE5_LS1/1KE5_LS1_ligand.sdf,nan nan,,,,,,
astex_diverse,1KZK_JE2,ok,ok,prediction_available,include in metric computation,41.37,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1KZK_JE2/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1KZK_JE2/1KZK_JE2_protein.pdb,external/PoseBench/data/astex_diverse_set/1KZK_JE2/1KZK_JE2_ligand.sdf,nan nan,,,,,,
astex_diverse,1L2S_STC,ok,ok,prediction_available,include in metric computation,42.266,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1L2S_STC/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1L2S_STC/1L2S_STC_protein.pdb,external/PoseBench/data/astex_diverse_set/1L2S_STC/1L2S_STC_ligand.sdf,nan nan,,,,,,
astex_diverse,1L7F_BCZ,ok,ok,prediction_available,include in metric computation,41.419,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1L7F_BCZ/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1L7F_BCZ/1L7F_BCZ_protein.pdb,external/PoseBench/data/astex_diverse_set/1L7F_BCZ/1L7F_BCZ_ligand.sdf,nan nan,,,,,,
astex_diverse,1LPZ_CMB,ok,ok,prediction_available,include in metric computation,39.662,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1LPZ_CMB/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1LPZ_CMB/1LPZ_CMB_protein.pdb,external/PoseBench/data/astex_diverse_set/1LPZ_CMB/1LPZ_CMB_ligand.sdf,nan nan,,,,,,
astex_diverse,1LRH_NLA,ok,ok,prediction_available,include in metric computation,38.183,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1LRH_NLA/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1LRH_NLA/1LRH_NLA_protein.pdb,external/PoseBench/data/astex_diverse_set/1LRH_NLA/1LRH_NLA_ligand.sdf,nan nan,,,,,,
astex_diverse,1M2Z_DEX,ok,ok,prediction_available,include in metric computation,47.748,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1M2Z_DEX/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1M2Z_DEX/1M2Z_DEX_protein.pdb,external/PoseBench/data/astex_diverse_set/1M2Z_DEX/1M2Z_DEX_ligand.sdf,nan nan,,,,,,
astex_diverse,1MEH_MOA,ok,ok,prediction_available,include in metric computation,40.923,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1MEH_MOA/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1MEH_MOA/1MEH_MOA_protein.pdb,external/PoseBench/data/astex_diverse_set/1MEH_MOA/1MEH_MOA_ligand.sdf,nan nan,,,,,,
astex_diverse,1MMV_3AR,ok,ok,prediction_available,include in metric computation,49.64,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1MMV_3AR/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1MMV_3AR/1MMV_3AR_protein.pdb,external/PoseBench/data/astex_diverse_set/1MMV_3AR/1MMV_3AR_ligand.sdf,nan nan,,,,,,
astex_diverse,1MZC_BNE,ok,ok,prediction_available,include in metric computation,57.119,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1MZC_BNE/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1MZC_BNE/1MZC_BNE_protein.pdb,external/PoseBench/data/astex_diverse_set/1MZC_BNE/1MZC_BNE_ligand.sdf,nan nan,,,,,,
astex_diverse,1N1M_A3M,ok,ok,prediction_available,include in metric computation,53.961,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1N1M_A3M/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1N1M_A3M/1N1M_A3M_protein.pdb,external/PoseBench/data/astex_diverse_set/1N1M_A3M/1N1M_A3M_ligand.sdf,nan nan,,,,,,
astex_diverse,1N2J_PAF,ok,ok,prediction_available,include in metric computation,41.16,0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1N2J_PAF/default_s10_t20/run_status.json,external/PoseBench/data/astex_diverse_set/1N2J_PAF/1N2J_PAF_protein.pdb,external/PoseBench/data/astex_diverse_set/1N2J_PAF/1N2J_PAF_ligand.sdf,nan nan,,,,,,
