split,case_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap
posebusters_benchmark,5SB2_1K2,5sb2,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/5SB2_1K2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/5SB2_1K2/5SB2_1K2_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/5SB2_1K2/5SB2_1K2_ligand.sdf,True,True,True,True,True,sdf,O=C(N[C@@H]1C[C@H]1c1ccccc1)c1cc(Cl)cc(COc2cnc3[nH]ccc3c2)c1,O=C(NC1CC1c1ccccc1)c1cccc(COc2cnc3[nH]ccc3c2)c1,30.0,6.0,67.00999999999999,417.8960000000001,5.0,2.0,,1,286,,1.0,True,True
posebusters_benchmark,7A9H_TPP,7a9h,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7A9H_TPP_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7A9H_TPP/7A9H_TPP_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7A9H_TPP/7A9H_TPP_ligand.sdf,True,True,True,True,True,sdf,Cc1ncc(C[n+]2csc(CCO[P@](=O)(O)OP(=O)(O)O)c2C)c(N)n1,c1ncc(C[n+]2ccsc2)cn1,26.0,8.0,168.96999999999997,425.32000000000005,2.0,1.0,,2,1091,,1.0,True,True
posebusters_benchmark,7DUA_HJ0,7dua,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7DUA_HJ0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7DUA_HJ0/7DUA_HJ0_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7DUA_HJ0/7DUA_HJ0_ligand.sdf,True,True,True,True,True,sdf,Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,O=C(Nc1cc[nH]n1)c1cn(C2CC2)c2ncncc12,23.0,3.0,114.50999999999999,311.34900000000005,4.0,0.0,,2,561,,1.0,True,True
posebusters_benchmark,7ED2_A3P,7ed2,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ED2_A3P_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7ED2_A3P/7ED2_A3P_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ED2_A3P/7ED2_A3P_ligand.sdf,True,True,True,True,True,sdf,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,c1ncc2ncn(C3CCCO3)c2n1,27.0,6.0,232.60000000000002,427.20300000000015,3.0,4.0,,2,442,,1.0,True,True
posebusters_benchmark,7ELT_TYM,7elt,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ELT_TYM_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7ELT_TYM/7ELT_TYM_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ELT_TYM/7ELT_TYM_ligand.sdf,True,True,True,True,True,sdf,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)[C@@H](O)[C@H]1O,O=C(CCc1c[nH]c2ccccc12)O[PH](=O)OCC1CCC(n2cnc3cncnc32)O1,37.0,8.0,233.95,533.4380000000002,5.0,6.0,,1,330,,1.0,True,True
posebusters_benchmark,7EN7_J79,7en7,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7EN7_J79_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7EN7_J79/7EN7_J79_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7EN7_J79/7EN7_J79_ligand.sdf,True,True,True,True,True,sdf,CC(=O)N[C@@H]1[C@@H](O[C@H](C)C(=O)O)[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]1O,C1CCOCC1,24.0,7.0,192.07999999999996,373.25100000000003,1.0,6.0,,1,191,,1.0,True,True
posebusters_benchmark,7ES1_UDP,7es1,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ES1_UDP_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7ES1_UDP/7ES1_UDP_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ES1_UDP/7ES1_UDP_ligand.sdf,True,True,True,True,True,sdf,O=c1ccn([C@@H]2O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,25.0,6.0,217.83999999999997,404.16100000000006,2.0,5.0,,1,408,,1.0,True,True
posebusters_benchmark,7F51_BA7,7f51,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7F51_BA7_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7F51_BA7/7F51_BA7_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7F51_BA7/7F51_BA7_ligand.sdf,True,True,True,True,True,sdf,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](O)[C@H](OC(=O)c3ccccc3)[C@@H]2O)[C@@H](O)[C@H]1O,O=C(OC1COC(CO[PH](=O)O[PH](=O)OCC2CCC(n3cnc4cncnc43)O2)C1)c1ccccc1,44.0,11.0,297.59,663.4260000000004,5.0,10.0,,1,287,,1.0,True,True
posebusters_benchmark,7F8T_FAD,7f8t,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7F8T_FAD_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7F8T_FAD/7F8T_FAD_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7F8T_FAD/7F8T_FAD_ligand.sdf,True,True,True,True,True,sdf,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1,53.0,13.0,362.93000000000006,785.5570000000005,6.0,9.0,,1,458,,1.0,True,True
posebusters_benchmark,7FHA_ADX,7fha,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7FHA_ADX_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7FHA_ADX/7FHA_ADX_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7FHA_ADX/7FHA_ADX_ligand.sdf,True,True,True,True,True,sdf,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O,c1ncc2ncn(C3CCCO3)c2n1,27.0,6.0,229.44,427.2880000000001,3.0,5.0,,2,781,,1.0,True,True
