selector,baseline,scope,n_paired,success_delta,success_delta_ci_low,success_delta_ci_high,median_rmsd_delta,median_rmsd_delta_ci_low,median_rmsd_delta_ci_high,n_bootstrap
blind_physics,lodo_run_prior,all,489,-0.3149284253578732,-0.35787321063394684,-0.2658486707566462,1.5828241122335918,0.7138544207994564,2.2026208263116374,2000
blind_physics,lodo_run_prior,dataset=astex_diverse,85,-0.4588235294117647,-0.5764705882352941,-0.32941176470588235,3.8657238802723857,2.0140170335619465,5.414763045073652,2000
blind_physics,lodo_run_prior,dataset=dockgen,99,-0.13131313131313133,-0.23232323232323232,-0.030303030303030304,0.4097719483654174,0.12328825297449741,0.6104211126111483,2000
blind_physics,lodo_run_prior,dataset=posebusters_benchmark,305,-0.3344262295081967,-0.3901639344262295,-0.2786885245901639,1.678239183982086,0.7270235168637662,2.4153946812913905,2000
blind_physics,lodo_run_prior,risk=high_ligand_or_scaffold,164,-0.2926829268292683,-0.3719512195121951,-0.21951219512195122,0.8186114563707818,0.31055671728912126,2.3907419594171095,2000
blind_physics,lodo_run_prior,risk=low_similarity,189,-0.30687830687830686,-0.3862433862433862,-0.2275132275132275,1.051227793061627,0.4317703741448589,2.6128048052200508,2000
blind_physics,lodo_run_prior,risk=mid_or_unknown,51,-0.3333333333333333,-0.47058823529411764,-0.19607843137254902,2.1213023263734683,0.20558399547537198,3.2651484557127404,2000
blind_physics,lodo_run_prior,risk=pdb_overlap,85,-0.36470588235294116,-0.47058823529411764,-0.27058823529411763,2.5234525198086444,1.2579842543867024,4.307658700757102,2000
lodo_hgb_low_similarity_penalized,lodo_run_prior,all,489,-0.06134969325153374,-0.09815950920245399,-0.026584867075664622,0.0,0.0,0.02290002633000876,2000
lodo_hgb_low_similarity_penalized,lodo_run_prior,dataset=astex_diverse,85,-0.1411764705882353,-0.23529411764705882,-0.058823529411764705,0.0,0.0,0.05707965209280941,2000
lodo_hgb_low_similarity_penalized,lodo_run_prior,dataset=dockgen,99,-0.030303030303030304,-0.09090909090909091,0.030303030303030304,0.059146325411216005,0.0,0.20539276361302294,2000
lodo_hgb_low_similarity_penalized,lodo_run_prior,dataset=posebusters_benchmark,305,-0.04918032786885246,-0.09180327868852459,-0.003278688524590164,0.0,0.0,0.009040943628185694,2000
lodo_hgb_low_similarity_penalized,lodo_run_prior,risk=high_ligand_or_scaffold,164,-0.036585365853658534,-0.0975609756097561,0.024390243902439025,0.0,0.0,0.005840445044733411,2000
lodo_hgb_low_similarity_penalized,lodo_run_prior,risk=low_similarity,189,-0.047619047619047616,-0.10052910052910052,0.005291005291005291,0.01480178230825091,0.0,0.05295104355503133,2000
lodo_hgb_low_similarity_penalized,lodo_run_prior,risk=mid_or_unknown,51,-0.058823529411764705,-0.1568627450980392,0.0392156862745098,0.03246139034594042,0.0,0.25305898430048046,2000
lodo_hgb_low_similarity_penalized,lodo_run_prior,risk=pdb_overlap,85,-0.1411764705882353,-0.23529411764705882,-0.047058823529411764,0.0,0.0,0.07522794018395906,2000
lodo_hgb_low_similarity_weighted,lodo_run_prior,all,489,-0.06134969325153374,-0.09406952965235174,-0.026584867075664622,0.0,0.0,0.02290002633000876,2000
lodo_hgb_low_similarity_weighted,lodo_run_prior,dataset=astex_diverse,85,-0.1411764705882353,-0.2235294117647059,-0.058823529411764705,0.0,0.0,0.0540466470796892,2000
lodo_hgb_low_similarity_weighted,lodo_run_prior,dataset=dockgen,99,-0.030303030303030304,-0.09090909090909091,0.030303030303030304,0.059146325411216005,0.0,0.2102056820115905,2000
lodo_hgb_low_similarity_weighted,lodo_run_prior,dataset=posebusters_benchmark,305,-0.04918032786885246,-0.09836065573770492,-0.006557377049180328,0.0,0.0,0.010551553418794796,2000
lodo_hgb_low_similarity_weighted,lodo_run_prior,risk=high_ligand_or_scaffold,164,-0.036585365853658534,-0.09146341463414634,0.024390243902439025,0.0,0.0,0.02720957679817948,2000
lodo_hgb_low_similarity_weighted,lodo_run_prior,risk=low_similarity,189,-0.047619047619047616,-0.10052910052910052,0.005291005291005291,0.01480178230825091,0.0,0.05295104355503133,2000
