selector,baseline,scope,n_paired,rescued,harmed,net_rescue,binomial_p_greater
blind_physics,lodo_run_prior,all,489,15,169,-154,1.0
blind_physics,lodo_run_prior,dataset=astex_diverse,85,3,42,-39,0.9999999999705551
blind_physics,lodo_run_prior,dataset=dockgen,99,7,20,-13,0.9970376938581467
blind_physics,lodo_run_prior,dataset=posebusters_benchmark,305,5,107,-102,1.0
blind_physics,lodo_run_prior,risk=high_ligand_or_scaffold,164,5,53,-48,0.999999999998415
blind_physics,lodo_run_prior,risk=low_similarity,189,9,67,-58,0.9999999999997183
blind_physics,lodo_run_prior,risk=mid_or_unknown,51,1,18,-17,0.9999980926513672
blind_physics,lodo_run_prior,risk=pdb_overlap,85,0,31,-31,1.0
lodo_hgb_antimemory_penalized,lodo_run_prior,all,489,24,54,-30,0.9998111039928966
lodo_hgb_antimemory_penalized,lodo_run_prior,dataset=astex_diverse,85,2,14,-12,0.9997406005859375
lodo_hgb_antimemory_penalized,lodo_run_prior,dataset=dockgen,99,3,6,-3,0.91015625
lodo_hgb_antimemory_penalized,lodo_run_prior,dataset=posebusters_benchmark,305,19,34,-15,0.9864958411731388
lodo_hgb_antimemory_penalized,lodo_run_prior,risk=high_ligand_or_scaffold,164,10,16,-6,0.9156812280416489
lodo_hgb_antimemory_penalized,lodo_run_prior,risk=low_similarity,189,9,18,-9,0.9738805070519447
lodo_hgb_antimemory_penalized,lodo_run_prior,risk=mid_or_unknown,51,2,5,-3,0.9375
lodo_hgb_antimemory_penalized,lodo_run_prior,risk=pdb_overlap,85,3,15,-12,0.9993438720703125
lodo_hgb_antimemory_weighted,lodo_run_prior,all,489,24,54,-30,0.9998111039928966
lodo_hgb_antimemory_weighted,lodo_run_prior,dataset=astex_diverse,85,2,14,-12,0.9997406005859375
lodo_hgb_antimemory_weighted,lodo_run_prior,dataset=dockgen,99,3,6,-3,0.91015625
lodo_hgb_antimemory_weighted,lodo_run_prior,dataset=posebusters_benchmark,305,19,34,-15,0.9864958411731388
lodo_hgb_antimemory_weighted,lodo_run_prior,risk=high_ligand_or_scaffold,164,10,16,-6,0.9156812280416489
lodo_hgb_antimemory_weighted,lodo_run_prior,risk=low_similarity,189,9,18,-9,0.9738805070519447
lodo_hgb_antimemory_weighted,lodo_run_prior,risk=mid_or_unknown,51,2,5,-3,0.9375
lodo_hgb_antimemory_weighted,lodo_run_prior,risk=pdb_overlap,85,3,15,-12,0.9993438720703125
lodo_hgb_ordinary,lodo_run_prior,all,489,24,57,-33,0.9999366944240178
lodo_hgb_ordinary,lodo_run_prior,dataset=astex_diverse,85,5,13,-8,0.98455810546875
lodo_hgb_ordinary,lodo_run_prior,dataset=dockgen,99,6,6,0,0.61279296875
lodo_hgb_ordinary,lodo_run_prior,dataset=posebusters_benchmark,305,13,38,-25,0.9999009802743313
lodo_hgb_ordinary,lodo_run_prior,risk=high_ligand_or_scaffold,164,8,18,-10,0.9855203628540039
lodo_hgb_ordinary,lodo_run_prior,risk=low_similarity,189,10,19,-9,0.9692858271300793
lodo_hgb_ordinary,lodo_run_prior,risk=mid_or_unknown,51,4,4,0,0.63671875
lodo_hgb_ordinary,lodo_run_prior,risk=pdb_overlap,85,2,16,-14,0.9999275207519531
lodo_logreg_antimemory_weighted,lodo_run_prior,all,489,16,37,-21,0.998904906558054
lodo_logreg_antimemory_weighted,lodo_run_prior,dataset=astex_diverse,85,2,8,-6,0.9892578125
lodo_logreg_antimemory_weighted,lodo_run_prior,dataset=dockgen,99,4,9,-5,0.953857421875
lodo_logreg_antimemory_weighted,lodo_run_prior,dataset=posebusters_benchmark,305,10,20,-10,0.9786130273714662
lodo_logreg_antimemory_weighted,lodo_run_prior,risk=high_ligand_or_scaffold,164,6,14,-8,0.9793052673339844
lodo_logreg_antimemory_weighted,lodo_run_prior,risk=low_similarity,189,7,14,-7,0.9608230590820312
lodo_logreg_antimemory_weighted,lodo_run_prior,risk=mid_or_unknown,51,0,2,-2,1.0
lodo_logreg_antimemory_weighted,lodo_run_prior,risk=pdb_overlap,85,3,7,-4,0.9453125
lodo_logreg_ordinary,lodo_run_prior,all,489,13,40,-27,0.9999591433250037
lodo_logreg_ordinary,lodo_run_prior,dataset=astex_diverse,85,2,6,-4,0.96484375
lodo_logreg_ordinary,lodo_run_prior,dataset=dockgen,99,3,9,-6,0.980712890625
lodo_logreg_ordinary,lodo_run_prior,dataset=posebusters_benchmark,305,8,25,-17,0.9993406364228576
lodo_logreg_ordinary,lodo_run_prior,risk=high_ligand_or_scaffold,164,6,14,-8,0.9793052673339844
lodo_logreg_ordinary,lodo_run_prior,risk=low_similarity,189,5,14,-9,0.9903945922851562
lodo_logreg_ordinary,lodo_run_prior,risk=mid_or_unknown,51,0,3,-3,1.0
lodo_logreg_ordinary,lodo_run_prior,risk=pdb_overlap,85,2,9,-7,0.994140625
lodo_prior_physics_calibrated,lodo_run_prior,all,489,4,1,3,0.1875
lodo_prior_physics_calibrated,lodo_run_prior,dataset=astex_diverse,85,1,0,1,0.5
lodo_prior_physics_calibrated,lodo_run_prior,dataset=dockgen,99,3,1,2,0.3125
lodo_prior_physics_calibrated,lodo_run_prior,dataset=posebusters_benchmark,305,0,0,0,
lodo_prior_physics_calibrated,lodo_run_prior,risk=high_ligand_or_scaffold,164,1,0,1,0.5
lodo_prior_physics_calibrated,lodo_run_prior,risk=low_similarity,189,2,1,1,0.5
lodo_prior_physics_calibrated,lodo_run_prior,risk=mid_or_unknown,51,1,0,1,0.5
lodo_prior_physics_calibrated,lodo_run_prior,risk=pdb_overlap,85,0,0,0,
oracle_pool_upper_bound,lodo_run_prior,all,489,120,0,120,7.52316384526264e-37
oracle_pool_upper_bound,lodo_run_prior,dataset=astex_diverse,85,21,0,21,4.76837158203125e-07
oracle_pool_upper_bound,lodo_run_prior,dataset=dockgen,99,28,0,28,3.725290298461914e-09
oracle_pool_upper_bound,lodo_run_prior,dataset=posebusters_benchmark,305,71,0,71,4.235164736271502e-22
oracle_pool_upper_bound,lodo_run_prior,risk=high_ligand_or_scaffold,164,40,0,40,9.094947017729282e-13
oracle_pool_upper_bound,lodo_run_prior,risk=low_similarity,189,47,0,47,7.105427357601002e-15
oracle_pool_upper_bound,lodo_run_prior,risk=mid_or_unknown,51,10,0,10,0.0009765625
