dataset,mol_id,pdb_id,native_ligand_file,start_conf_file,has_start_conf_file,has_native_ligand_file,start_conf_rmsd_no_align,start_conf_success_2a,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,ligand_heavy_atoms,ligand_chiral_centers,method,run_key,candidate_key,selection_score,case_success_all_ligands,case_success_any_ligand,case_pb_valid_all_ligands,median_rmsd,max_rmsd,median_centroid_distance,similarity_risk,max_train_ligand_tanimoto_public,vina_status,vina_top_rmsd,vina_oracle_rmsd,vina_top_success_2a,vina_oracle_success_2a,vina_poses_pdbqt,top_score,best_score,source,full_coverage_success_2a,full_coverage_rmsd,full_coverage_pb_valid,has_public_pool_selection,has_vina_top_pose,hybrid_policy
astex_diverse,1G9V_RQ3,1g9v,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand_start_conf.sdf,True,True,48.442956482101714,False,0.4285714285714285,False,False,25.0,0.0,chai,chai|relaxed=False|rep=1,chai|relaxed=False|rep=1|1G9V_RQ3,0.3777597402597402,False,False,False,17.33672202823295,24.28013119141657,13.759689381053024,mid_or_unknown,0.4285714285714285,ok,5.6613191642937775,3.9313601513979854,False,False,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1G9V_RQ3/vina_poses.pdbqt,-8.002,-8.002,public_pool_calibrated_selector,False,17.33672202823295,False,True,True,lodo_prior_physics_calibrated_if_public_else_vina_top_pose_else_start_conf
astex_diverse,1GKC_NFH,1gkc,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand_start_conf.sdf,True,True,138.7532582184092,False,0.2777777777777778,False,False,22.0,2.0,chai,chai|relaxed=False|rep=1,chai|relaxed=False|rep=1|1GKC_NFH,0.4482597402597403,False,False,True,23.676848111522368,38.05018011609502,22.767613295081134,low_similarity,0.2777777777777778,ok,5.585912141677978,4.518005075654116,False,False,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GKC_NFH/vina_poses.pdbqt,-6.939,-6.939,public_pool_calibrated_selector,False,23.676848111522368,True,True,True,lodo_prior_physics_calibrated_if_public_else_vina_top_pose_else_start_conf
astex_diverse,1GM8_SOX,1gm8,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand_start_conf.sdf,True,True,16.68783990658817,False,0.3384615384615385,False,False,24.0,4.0,chai,chai|relaxed=False|rep=3,chai|relaxed=False|rep=3|1GM8_SOX,0.3433431516936672,False,False,False,2.647530225039933,2.647530225039933,1.986454093968992,low_similarity,0.3384615384615385,ok,5.238780507745417,5.238780507745417,False,False,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GM8_SOX/vina_poses.pdbqt,-7.974,-7.974,public_pool_calibrated_selector,False,2.647530225039933,False,True,True,lodo_prior_physics_calibrated_if_public_else_vina_top_pose_else_start_conf
astex_diverse,1GPK_HUP,1gpk,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligand_start_conf.sdf,True,True,92.341624467385,False,0.1969696969696969,False,False,18.0,2.0,boltz_ss,boltz_ss|relaxed=False|rep=1,boltz_ss|relaxed=False|rep=1|1GPK_HUP,0.523367816091954,False,False,False,4.189439138145132,4.189439138145132,1.7307323751293748,low_similarity,0.1969696969696969,ok,3.509007892394786,2.1363195115795666,False,False,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GPK_HUP/vina_poses.pdbqt,-10.66,-10.66,public_pool_calibrated_selector,False,4.189439138145132,False,True,True,lodo_prior_physics_calibrated_if_public_else_vina_top_pose_else_start_conf
astex_diverse,1HNN_SKF,1hnn,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligand_start_conf.sdf,True,True,55.01027622167516,False,0.4186046511627907,False,False,14.0,0.0,boltz,boltz|relaxed=False|rep=1,boltz|relaxed=False|rep=1|1HNN_SKF,0.6100559006211179,False,False,True,45.71918603772537,45.71918603772537,45.43965832062285,mid_or_unknown,0.4186046511627907,ok,3.888645283753345,3.86874339140908,False,False,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HNN_SKF/vina_poses.pdbqt,-8.476,-8.476,public_pool_calibrated_selector,False,45.71918603772537,True,True,True,lodo_prior_physics_calibrated_if_public_else_vina_top_pose_else_start_conf
astex_diverse,1HP0_AD3,1hp0,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand_start_conf.sdf,True,True,34.10407782206048,False,0.6458333333333334,False,False,19.0,4.0,boltz,boltz|relaxed=False|rep=1,boltz|relaxed=False|rep=1|1HP0_AD3,0.6300559006211179,False,False,True,27.37737272756848,27.37737272756848,26.83425719435096,mid_or_unknown,0.6458333333333334,ok,2.8297886846900773,2.5381793827362498,False,False,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HP0_AD3/vina_poses.pdbqt,-8.471,-8.471,public_pool_calibrated_selector,False,27.37737272756848,True,True,True,lodo_prior_physics_calibrated_if_public_else_vina_top_pose_else_start_conf
astex_diverse,1HQ2_PH2,1hq2,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligand_start_conf.sdf,True,True,21.448099867937017,False,0.5686274509803921,False,False,14.0,0.0,boltz,boltz|relaxed=False|rep=1,boltz|relaxed=False|rep=1|1HQ2_PH2,0.6451735476799415,True,True,True,0.2671864624457719,0.2671864624457719,0.156544346914925,mid_or_unknown,0.5686274509803921,ok,2.784330170795123,2.784330170795123,False,False,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HQ2_PH2/vina_poses.pdbqt,-8.117,-8.117,public_pool_calibrated_selector,True,0.2671864624457719,True,True,True,lodo_prior_physics_calibrated_if_public_else_vina_top_pose_else_start_conf
astex_diverse,1HVY_D16,1hvy,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand_start_conf.sdf,True,True,87.41528019175195,False,1.0,True,False,32.0,1.0,diffdock,diffdock|relaxed=False|rep=2,diffdock|relaxed=False|rep=2|1HVY_D16,0.4369174041297935,False,False,True,61.23288861110506,61.23288861110506,60.9168293978564,high_ligand_or_scaffold,1.0,ok,9.213708080558554,6.4624853602348695,False,False,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HVY_D16/vina_poses.pdbqt,-9.815,-9.815,public_pool_calibrated_selector,False,61.23288861110506,True,True,True,lodo_prior_physics_calibrated_if_public_else_vina_top_pose_else_start_conf
astex_diverse,1HWI_115,1hwi,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand_start_conf.sdf,True,True,36.328354186723075,False,0.2898550724637681,True,False,30.0,2.0,chai,chai|relaxed=False|rep=1,chai|relaxed=False|rep=1|1HWI_115,0.4402597402597403,False,False,True,43.1290263810503,43.1290263810503,42.71490635714241,high_ligand_or_scaffold,0.2898550724637681,ok,5.813570543707771,5.813570543707771,False,False,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HWI_115/vina_poses.pdbqt,-9.116,-9.116,public_pool_calibrated_selector,False,43.1290263810503,True,True,True,lodo_prior_physics_calibrated_if_public_else_vina_top_pose_else_start_conf
astex_diverse,1HWW_SWA,1hww,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand_start_conf.sdf,True,True,73.97648361358944,False,0.1818181818181818,False,False,12.0,4.0,boltz,boltz|relaxed=False|rep=3,boltz|relaxed=False|rep=3|1HWW_SWA,0.60925,False,False,True,12.064557581783372,12.064557581783372,11.602170568418671,low_similarity,0.1818181818181818,ok,3.522495020105303,3.522495020105303,False,False,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HWW_SWA/vina_poses.pdbqt,-6.323,-6.323,public_pool_calibrated_selector,False,12.064557581783372,True,True,True,lodo_prior_physics_calibrated_if_public_else_vina_top_pose_else_start_conf
