dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,public_prediction_runs,public_prediction_rows,any_public_success,best_public_median_rmsd,has_public_prediction,vina_cpu_full_status,vina_cpu_full_output_path,vina_cpu_full_attempted,vina_cpu_full_done,diffdock_l_gpu_status,diffdock_l_gpu_output_path,diffdock_l_gpu_attempted,diffdock_l_gpu_done,boltz1_gpu_status,boltz1_gpu_output_path,boltz1_gpu_attempted,boltz1_gpu_done,chai1_gpu_status,chai1_gpu_output_path,chai1_gpu_attempted,chai1_gpu_done,full_external_done,full_external_all_ok,external_denominator
astex_diverse,1G9V_RQ3,1g9v,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1G9V_RQ3_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,True,True,True,True,True,sdf,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,O=C(Cc1ccccc1)Nc1ccccc1,25.0,6.0,75.63,341.4070000000001,2.0,0.0,,4,574,,0.4285714285714285,False,False,4,16,False,12.50946347436212,True,ok,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1G9V_RQ3/vina_poses.pdbqt,True,True,ok,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3/default_s10_t20/predictions/1G9V_RQ3/rank1_confidence-1.40.sdf,True,True,ok,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1G9V_RQ3/full_r1_s20/boltz_results_1G9V_RQ3_boltz1/predictions/1G9V_RQ3_boltz1/1G9V_RQ3_boltz1_model_0.cif,True,True,ok,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_4.cif,True,True,True,True,PoseBench_702_frozen_manifest
astex_diverse,1GKC_NFH,1gkc,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1GKC_NFH_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,True,True,True,True,True,sdf,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)CN(O)C=O)C(C)(C)C,,22.0,8.0,98.74,315.4140000000001,0.0,2.0,,2,315,,0.2777777777777778,False,False,5,20,True,0.8689579213580533,True,ok,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GKC_NFH/vina_poses.pdbqt,True,True,ok,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH/default_s10_t20/predictions/1GKC_NFH/rank1_confidence-0.04.sdf,True,True,ok,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1GKC_NFH/full_r1_s20/boltz_results_1GKC_NFH_boltz1/predictions/1GKC_NFH_boltz1/1GKC_NFH_boltz1_model_0.cif,True,True,ok,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_4.cif,True,True,True,True,PoseBench_702_frozen_manifest
astex_diverse,1GM8_SOX,1gm8,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1GM8_SOX_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_protein.pdb,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand.sdf,True,True,True,True,True,sdf,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2[S@H]1O,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,24.0,4.0,106.94,352.4120000000001,3.0,4.0,,2,764,,0.3384615384615385,False,False,6,28,False,2.647530225039933,True,ok,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GM8_SOX/vina_poses.pdbqt,True,True,ok,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GM8_SOX/default_s10_t20/predictions/1GM8_SOX/rank1_confidence0.03.sdf,True,True,ok,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1GM8_SOX/full_r1_s20/boltz_results_1GM8_SOX_boltz1/predictions/1GM8_SOX_boltz1/1GM8_SOX_boltz1_model_0.cif,True,True,ok,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_4.cif,True,True,True,True,PoseBench_702_frozen_manifest
astex_diverse,1GPK_HUP,1gpk,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1GPK_HUP_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_protein.pdb,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligand.sdf,True,True,True,True,True,sdf,C/C=C1\[C@@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,C=C1C2C=CCC1c1ccc(=O)[nH]c1C2,18.0,0.0,58.88,242.322,3.0,2.0,,1,529,,0.1969696969696969,False,False,8,40,True,0.4048937048439032,True,ok,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GPK_HUP/vina_poses.pdbqt,True,True,ok,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GPK_HUP/default_s10_t20/predictions/1GPK_HUP/rank1_confidence0.63.sdf,True,True,ok,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1GPK_HUP/full_r1_s20/boltz_results_1GPK_HUP_boltz1/predictions/1GPK_HUP_boltz1/1GPK_HUP_boltz1_model_0.cif,True,True,ok,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_4.cif,True,True,True,True,PoseBench_702_frozen_manifest
astex_diverse,1HNN_SKF,1hnn,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HNN_SKF_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_protein.pdb,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligand.sdf,True,True,True,True,True,sdf,NS(=O)(=O)c1ccc2c(c1)CNCC2,c1ccc2c(c1)CCNC2,14.0,1.0,72.19,212.27399999999997,2.0,0.0,,2,528,,0.4186046511627907,False,False,8,40,True,1.0693473784109109,True,ok,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HNN_SKF/vina_poses.pdbqt,True,True,ok,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HNN_SKF/default_s10_t20/predictions/1HNN_SKF/rank1_confidence0.37.sdf,True,True,ok,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1HNN_SKF/full_r1_s20/boltz_results_1HNN_SKF_boltz1/predictions/1HNN_SKF_boltz1/1HNN_SKF_boltz1_model_0.cif,True,True,ok,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_4.cif,True,True,True,True,PoseBench_702_frozen_manifest
astex_diverse,1HP0_AD3,1hp0,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HP0_AD3_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_protein.pdb,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand.sdf,True,True,True,True,True,sdf,Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,c1cc2c(cn1)ncn2C1CCCO1,19.0,2.0,126.65,266.257,3.0,4.0,,2,641,,0.6458333333333334,False,False,8,40,True,0.4142212414182848,True,ok,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HP0_AD3/vina_poses.pdbqt,True,True,ok,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HP0_AD3/default_s10_t20/predictions/1HP0_AD3/rank1_confidence0.06.sdf,True,True,ok,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1HP0_AD3/full_r1_s20/boltz_results_1HP0_AD3_boltz1/predictions/1HP0_AD3_boltz1/1HP0_AD3_boltz1_model_0.cif,True,True,ok,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_4.cif,True,True,True,True,PoseBench_702_frozen_manifest
astex_diverse,1HQ2_PH2,1hq2,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HQ2_PH2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_protein.pdb,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligand.sdf,True,True,True,True,True,sdf,Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2,O=c1[nH]cnc2c1N=CCN2,14.0,1.0,116.39,195.182,2.0,0.0,,1,158,,0.5686274509803921,False,False,7,34,True,0.2525540720038274,True,ok,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HQ2_PH2/vina_poses.pdbqt,True,True,ok,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HQ2_PH2/default_s10_t20/predictions/1HQ2_PH2/rank1_confidence0.33.sdf,True,True,ok,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1HQ2_PH2/full_r1_s20/boltz_results_1HQ2_PH2_boltz1/predictions/1HQ2_PH2_boltz1/1HQ2_PH2_boltz1_model_0.cif,True,True,ok,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_4.cif,True,True,True,True,PoseBench_702_frozen_manifest
astex_diverse,1HVY_D16,1hvy,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HVY_D16_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_protein.pdb,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf,True,True,True,True,True,sdf,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,O=c1nc[nH]c2ccc(CNc3cccs3)cc12,32.0,9.0,152.69,458.4960000000002,3.0,1.0,,4,1148,,1.0,True,False,6,24,False,5.103887958489342,True,ok,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HVY_D16/vina_poses.pdbqt,True,True,ok,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HVY_D16/default_s10_t20/predictions/1HVY_D16/rank1_confidence-0.73.sdf,True,True,ok,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1HVY_D16/full_r1_s20/boltz_results_1HVY_D16_boltz1/predictions/1HVY_D16_boltz1/1HVY_D16_boltz1_model_0.cif,True,True,exception,,True,False,True,False,PoseBench_702_frozen_manifest
astex_diverse,1HWI_115,1hwi,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HWI_115_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,True,True,True,True,True,sdf,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,c1ccc(-c2c[nH]c3ccccc23)cc1,30.0,8.0,82.69000000000001,411.4730000000002,3.0,2.0,,4,1540,,0.2898550724637681,True,False,5,26,False,12.460558199775804,True,ok,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HWI_115/vina_poses.pdbqt,True,True,ok,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWI_115/default_s10_t20/predictions/1HWI_115/rank1_confidence-0.02.sdf,True,True,failed_no_prediction_cif,,True,False,exception,,True,False,True,False,PoseBench_702_frozen_manifest
astex_diverse,1HWW_SWA,1hww,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HWW_SWA_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,True,True,True,True,True,sdf,O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O,C1CCN2CCCC2C1,12.0,0.0,63.93000000000001,173.21200000000002,2.0,4.0,,1,1014,,0.1818181818181818,False,False,8,40,False,11.506111827162409,True,ok,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HWW_SWA/vina_poses.pdbqt,True,True,ok,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWW_SWA/default_s10_t20/predictions/1HWW_SWA/rank1_confidence-0.05.sdf,True,True,ok,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1HWW_SWA/full_r1_s20/boltz_results_1HWW_SWA_boltz1/predictions/1HWW_SWA_boltz1/1HWW_SWA_boltz1_model_0.cif,True,True,exception,,True,False,True,False,PoseBench_702_frozen_manifest
