dataset,mol_id,pdb_id,method,priority,role,state,gpu_required,protein_pdb,ligand_file,case_dir,output_dir,command_template
astex_diverse,1G9V_RQ3,1g9v,vina_cpu_full,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,external/PoseBench/data/astex_diverse_set/1G9V_RQ3,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1G9V_RQ3,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1G9V_RQ3
astex_diverse,1G9V_RQ3,1g9v,diffdock_l_gpu,2,diffusion_docking_external_ai_baseline,ok,True,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,external/PoseBench/data/astex_diverse_set/1G9V_RQ3,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3,python scripts/68_run_posebench_diffdock_case.py --dataset astex_diverse --case-id 1G9V_RQ3
astex_diverse,1G9V_RQ3,1g9v,boltz1_gpu,3,cofolding_foundation_baseline,ok,True,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,external/PoseBench/data/astex_diverse_set/1G9V_RQ3,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1G9V_RQ3,python scripts/69_run_posebench_boltz_case.py --dataset astex_diverse --case-id 1G9V_RQ3
astex_diverse,1G9V_RQ3,1g9v,chai1_gpu,4,cofolding_foundation_baseline,ok,True,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,external/PoseBench/data/astex_diverse_set/1G9V_RQ3,results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3,python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1G9V_RQ3
astex_diverse,1GKC_NFH,1gkc,vina_cpu_full,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GKC_NFH,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GKC_NFH,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1GKC_NFH
astex_diverse,1GKC_NFH,1gkc,diffdock_l_gpu,2,diffusion_docking_external_ai_baseline,ok,True,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GKC_NFH,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH,python scripts/68_run_posebench_diffdock_case.py --dataset astex_diverse --case-id 1GKC_NFH
astex_diverse,1GKC_NFH,1gkc,boltz1_gpu,3,cofolding_foundation_baseline,ok,True,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GKC_NFH,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1GKC_NFH,python scripts/69_run_posebench_boltz_case.py --dataset astex_diverse --case-id 1GKC_NFH
astex_diverse,1GKC_NFH,1gkc,chai1_gpu,4,cofolding_foundation_baseline,ok,True,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GKC_NFH,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH,python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1GKC_NFH
astex_diverse,1GM8_SOX,1gm8,vina_cpu_full,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_protein.pdb,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GM8_SOX,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GM8_SOX,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1GM8_SOX
astex_diverse,1GM8_SOX,1gm8,diffdock_l_gpu,2,diffusion_docking_external_ai_baseline,ok,True,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_protein.pdb,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GM8_SOX,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GM8_SOX,python scripts/68_run_posebench_diffdock_case.py --dataset astex_diverse --case-id 1GM8_SOX
