dataset,category,n,mean_wm,coverage_wm,mean_emd,coverage_emd,mean_structured_emd,coverage_structured_emd,mean_unstructured_emd,coverage_unstructured_emd
posebusters_benchmark,AF3,308,0.586137766897589,1.0,0.3810982135627062,0.6915584415584416,,,,
posebusters_benchmark,AF3-Single-Seq,308,0.5533748505474899,1.0,0.49953692525085835,0.6915584415584416,,,,
posebusters_benchmark,Boltz-1,308,0.5557827289592577,1.0,0.3602364935068578,0.6493506493506493,,,,
posebusters_benchmark,Boltz-1-Single-Seq,308,0.5557434769702716,1.0,0.34963579262759237,0.6461038961038961,,,,
posebusters_benchmark,Chai-1,308,0.5890566150585149,1.0,0.40012225187473843,0.7012987012987013,,,,
posebusters_benchmark,Chai-1-Single-Seq,308,0.5700945202162615,1.0,0.409653425873708,0.6818181818181818,,,,
posebusters_benchmark,DiffDock-L,308,0.5579782042614803,1.0,0.4041794278959032,0.6655844155844156,,,,
posebusters_benchmark,DynamicBind,308,0.5097984836347722,1.0,0.4765730288722958,0.6298701298701299,,,,
posebusters_benchmark,NeuralPLexer,308,0.5316036886478134,1.0,0.578240186578327,0.6915584415584416,,,,
posebusters_benchmark,P2Rank-Vina,308,0.28803013168642716,1.0,0.5545333210653604,0.37012987012987014,,,,
posebusters_benchmark,RFAA,308,0.49073774493390787,1.0,0.4574699264913022,0.6006493506493507,,,,
posebusters_benchmark,AF3,72,,,,,0.20375330687830684,1.0,0.41824469335006587,1.0
posebusters_benchmark,AF3-Single-Seq,52,,,,,0.4168116605616605,1.0,0.47846629081074776,1.0
posebusters_benchmark,Boltz-1,67,,,,,0.20578654347311062,1.0,0.42263224823337175,1.0
posebusters_benchmark,Boltz-1-Single-Seq,66,,,,,0.21984728234728235,1.0,0.4273647856630139,1.0
posebusters_benchmark,Chai-1,73,,,,,0.22285823005001085,1.0,0.443868021178312,1.0
posebusters_benchmark,Chai-1-Single-Seq,64,,,,,0.2897851280663781,1.0,0.44935314878619836,1.0
posebusters_benchmark,DiffDock-L,68,,,,,0.36233660130718953,1.0,0.42171400483879135,1.0
posebusters_benchmark,DynamicBind,48,,,,,0.43080357142857145,1.0,0.4132929672630717,1.0
posebusters_benchmark,NeuralPLexer,47,,,,,0.4930781983973474,1.0,0.53528466931906,1.0
posebusters_benchmark,P2Rank-Vina,32,,,,,0.41277281746031746,1.0,0.5292217488048437,1.0
posebusters_benchmark,RFAA,49,,,,,0.33027358129398937,1.0,0.4831818716941003,1.0
dockgen,AF3,119,0.47972280910603365,1.0,0.4898938632528873,0.5966386554621849,,,,
dockgen,AF3-Single-Seq,119,0.46933796177775877,1.0,0.4764051647987935,0.5798319327731093,,,,
dockgen,Boltz-1,119,0.3921598635497551,1.0,0.5225837388804723,0.4957983193277311,,,,
dockgen,Boltz-1-Single-Seq,119,0.5282856972068715,1.0,0.48506416770456084,0.6554621848739496,,,,
dockgen,Chai-1,119,0.5186734019385425,1.0,0.4696666174116265,0.6386554621848739,,,,
dockgen,Chai-1-Single-Seq,119,0.4612330118708088,1.0,0.4821055730652115,0.5714285714285714,,,,
dockgen,DiffDock-L,119,0.3874705007089343,1.0,0.47767589542266736,0.4789915966386555,,,,
dockgen,DynamicBind,119,0.35030378206314283,1.0,0.4565612712983332,0.42857142857142855,,,,
dockgen,NeuralPLexer,119,0.4344746990966835,1.0,0.48037151591775995,0.5378151260504201,,,,
dockgen,P2Rank-Vina,119,0.18524323317699493,1.0,0.531790647494429,0.23529411764705882,,,,
dockgen,RFAA,119,0.16832207965998322,1.0,0.413507554214791,0.20168067226890757,,,,
dockgen,AF3,48,,,,,0.4401041666666667,1.0,0.3536858396233396,1.0
dockgen,AF3-Single-Seq,43,,,,,0.38558508674787734,1.0,0.45464222470036425,1.0
dockgen,Boltz-1,39,,,,,0.44379324379324375,1.0,0.4307818250125942,1.0
dockgen,Boltz-1-Single-Seq,56,,,,,0.4582238198309628,1.0,0.3995219066647638,1.0
dockgen,Chai-1,56,,,,,0.423405612244898,1.0,0.40639755887019263,1.0
dockgen,Chai-1-Single-Seq,48,,,,,0.39065552503052503,1.0,0.40955739861989865,1.0
dockgen,DiffDock-L,38,,,,,0.357114376851219,1.0,0.46470279161842637,1.0
dockgen,DynamicBind,35,,,,,0.3840702947845805,1.0,0.45497779997779997,1.0
dockgen,NeuralPLexer,41,,,,,0.29277003484320563,1.0,0.43453040861577447,1.0
dockgen,P2Rank-Vina,19,,,,,0.35958646616541357,1.0,0.5732283798073272,1.0
dockgen,RFAA,15,,,,,0.3621957671957672,1.0,0.3610041810041809,1.0
astex_diverse,AF3,85,0.797775728089752,1.0,0.40706984914725597,0.9529411764705882,,,,
astex_diverse,AF3-Single-Seq,85,0.7436967938568073,1.0,0.5489435963633141,0.9529411764705882,,,,
astex_diverse,Boltz-1,85,0.6181483308274263,1.0,0.3466144212979003,0.7176470588235294,,,,
astex_diverse,Boltz-1-Single-Seq,85,0.6192368907841025,1.0,0.34282230669472513,0.7176470588235294,,,,
astex_diverse,Chai-1,85,0.8138504167311795,1.0,0.390936420056394,0.9647058823529412,,,,
astex_diverse,Chai-1-Single-Seq,85,0.7795767686239683,1.0,0.37615303419752194,0.9176470588235294,,,,
astex_diverse,DiffDock-L,85,0.6732939770234221,1.0,0.39595632180180607,0.8,,,,
astex_diverse,DynamicBind,85,0.4598887288769784,1.0,0.4207158534817465,0.5529411764705883,,,,
astex_diverse,NeuralPLexer,85,0.7354315709946118,1.0,0.44369462057427617,0.8941176470588236,,,,
astex_diverse,P2Rank-Vina,85,0.4961281836072283,1.0,0.5108068110087542,0.6235294117647059,,,,
astex_diverse,RFAA,85,0.4433463590585901,1.0,0.4519325804358607,0.5411764705882353,,,,
astex_diverse,AF3,71,,,,,0.23021462105969148,1.0,0.42387613815468866,1.0
astex_diverse,AF3-Single-Seq,42,,,,,0.4007653061224489,1.0,0.4543502328503194,1.0
astex_diverse,Boltz-1,57,,,,,0.21658312447786132,1.0,0.38530028524936455,1.0
astex_diverse,Boltz-1-Single-Seq,59,,,,,0.2547619047619047,1.0,0.4022512440449419,1.0
astex_diverse,Chai-1,73,,,,,0.2668949771689498,1.0,0.43820743838418,1.0
astex_diverse,Chai-1-Single-Seq,65,,,,,0.2402930402930403,1.0,0.38220682515336,1.0
astex_diverse,DiffDock-L,58,,,,,0.25057471264367814,1.0,0.4020414144504963,1.0
astex_diverse,DynamicBind,34,,,,,0.40710784313725484,1.0,0.3809568861708034,1.0
astex_diverse,NeuralPLexer,45,,,,,0.4049206349206349,1.0,0.4323446158527146,1.0
