_group_id,case_type,method,target,ligand_instance_chain,rmsd_official,rmsd_selected,success_rmsd_2_selected,true_sdf_exists,pred_cif_exists,pred_ligand_atoms,mapping_status,mapping_cost,pred_sdf,receptor_atoms,receptor_pdb,pb_file,pb_molecule,pb_position,pb_mol_pred_loaded,pb_mol_true_loaded,pb_mol_cond_loaded,pb_sanitization,pb_inchi_convertible,pb_all_atoms_connected,pb_no_radicals,pb_molecular_formula,pb_molecular_bonds,pb_double_bond_stereochemistry,pb_tetrahedral_chirality,pb_bond_lengths,pb_bond_angles,pb_internal_steric_clash,pb_aromatic_ring_flatness,pb_non-aromatic_ring_non-flatness,pb_double_bond_flatness,pb_internal_energy,pb_protein-ligand_maximum_distance,pb_minimum_distance_to_protein,pb_minimum_distance_to_organic_cofactors,pb_minimum_distance_to_inorganic_cofactors,pb_minimum_distance_to_waters,pb_volume_overlap_with_protein,pb_volume_overlap_with_organic_cofactors,pb_volume_overlap_with_inorganic_cofactors,pb_volume_overlap_with_waters,pb_rmsd_≤_2å,pb_passes_valence_checks,pb_passes_kekulization,pb_no_radicals_before_sanitization,pb_inchi_crystal_valid,pb_inchi_docked_valid,pb_inchi_crystal,pb_inchi_docked,pb_inchi_overall,pb_inchi_version,pb_stereochemistry_preserved,pb_hydrogens,pb_net_charge,pb_protons,pb_stereo_sp3,pb_stereo_sp3_inverted,pb_stereo_type,pb_number_bonds,pb_shortest_bond_relative_length,pb_longest_bond_relative_length,pb_number_short_outlier_bonds,pb_number_long_outlier_bonds,pb_number_angles,pb_most_extreme_relative_angle,pb_number_outlier_angles,pb_number_noncov_pairs,pb_shortest_noncovalent_relative_distance,pb_number_clashes,pb_number_valid_bonds,pb_number_valid_angles,pb_number_valid_noncov_pairs,pb_number_aromatic_rings_checked,pb_number_aromatic_rings_pass,pb_aromatic_ring_maximum_distance_from_plane,pb_number_non-aromatic_rings_checked,pb_number_non-aromatic_rings_pass,pb_non-aromatic_ring_maximum_distance_from_plane,pb_number_double_bonds_checked,pb_number_double_bonds_pass,pb_double_bond_maximum_distance_from_plane,pb_num_h_added,pb_mol_pred_energy,pb_ensemble_avg_energy,pb_energy_ratio,pb_smallest_distance_protein,pb_num_pairwise_clashes_protein,pb_most_extreme_ligand_atom_id_protein,pb_most_extreme_protein_atom_id_protein,pb_most_extreme_ligand_element_protein,pb_most_extreme_protein_element_protein,pb_most_extreme_ligand_vdw_protein,pb_most_extreme_protein_vdw_protein,pb_most_extreme_sum_radii_protein,pb_most_extreme_distance_protein,pb_most_extreme_sum_radii_scaled_protein,pb_most_extreme_relative_distance_protein,pb_most_extreme_clash_protein,pb_smallest_distance_organic_cofactors,pb_not_too_far_away_organic_cofactors,pb_num_pairwise_clashes_organic_cofactors,pb_most_extreme_ligand_atom_id_organic_cofactors,pb_most_extreme_protein_atom_id_organic_cofactors,pb_most_extreme_ligand_element_organic_cofactors,pb_most_extreme_protein_element_organic_cofactors,pb_most_extreme_ligand_vdw_organic_cofactors,pb_most_extreme_protein_vdw_organic_cofactors,pb_most_extreme_sum_radii_organic_cofactors,pb_most_extreme_distance_organic_cofactors,pb_most_extreme_sum_radii_scaled_organic_cofactors,pb_most_extreme_relative_distance_organic_cofactors,pb_most_extreme_clash_organic_cofactors,pb_smallest_distance_inorganic_cofactors,pb_not_too_far_away_inorganic_cofactors,pb_num_pairwise_clashes_inorganic_cofactors,pb_most_extreme_ligand_atom_id_inorganic_cofactors,pb_most_extreme_protein_atom_id_inorganic_cofactors,pb_most_extreme_ligand_element_inorganic_cofactors,pb_most_extreme_protein_element_inorganic_cofactors,pb_most_extreme_ligand_vdw_inorganic_cofactors,pb_most_extreme_protein_vdw_inorganic_cofactors,pb_most_extreme_sum_radii_inorganic_cofactors,pb_most_extreme_distance_inorganic_cofactors,pb_most_extreme_sum_radii_scaled_inorganic_cofactors,pb_most_extreme_relative_distance_inorganic_cofactors,pb_most_extreme_clash_inorganic_cofactors,pb_smallest_distance_waters,pb_not_too_far_away_waters,pb_num_pairwise_clashes_waters,pb_most_extreme_ligand_atom_id_waters,pb_most_extreme_protein_atom_id_waters,pb_most_extreme_ligand_element_waters,pb_most_extreme_protein_element_waters,pb_most_extreme_ligand_vdw_waters,pb_most_extreme_protein_vdw_waters,pb_most_extreme_sum_radii_waters,pb_most_extreme_distance_waters,pb_most_extreme_sum_radii_scaled_waters,pb_most_extreme_relative_distance_waters,pb_most_extreme_clash_waters,pb_volume_overlap_protein,pb_volume_overlap_organic_cofactors,pb_volume_overlap_inorganic_cofactors,pb_volume_overlap_waters,pb_rmsd,pb_kabsch_rmsd,pb_centroid_distance,status
chai|8ivt__1__1.A_1.B__1.F|1.F,harmed,chai,8ivt__1__1.A_1.B__1.F,1.F,1.6857473850250244,4.8481059074401855,False,True,True,27,ok,16.020721589935615,results/posebusters_recheck/generated_inputs/0_chai__8ivt__1__1.A_1.B__1.F__1.F_pred.sdf,5818,results/posebusters_recheck/generated_inputs/0_chai__8ivt__1__1.A_1.B__1.F__1.F_receptor.pdb,<REMOTE_PROJECT_ROOT>/results/posebusters_recheck/generated_inputs/0_chai__8ivt__1__1.A_1.B__1.F__1.F_pred.sdf,1.F,0.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C15H17N5O6S/c1-9-16-13(18-14(17-9)26-4)20(2)15(22)19-27(23,24)11-8-6-5-7-10(11)12(21)25-3/h5-8H,1-4H3,(H,19,22)","InChI=1S/C15H17N5O6S/c1-9-16-13(18-14(17-9)26-4)20(2)15(22)19-27(23,24)11-8-6-5-7-10(11)12(21)25-3/h5-8H,1-4H3,(H,19,22)",True,True,True,True,True,True,True,True,True,28.0,0.9159065650426151,4.561563217814291,0.0,8.0,40.0,2.0182653792776253,5.0,283.0,0.2977992945739746,8.0,20.0,35.0,275.0,2.0,1.0,0.34792350923609267,0.0,0.0,,0.0,0.0,,17.0,98876938034584.45,50.427005357504804,1960793375168.551,2.9035044343000416,0.0,15.0,342.0,O,C,1.55,1.7,3.25,2.9035044343000416,3.25,0.8933859797846282,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.00607950116913484,,,,70.7647518173969,2.750202027815883,70.45124383725765,posebusters_attempted
boltz2|8j7j__1__1.A_1.B__1.C|1.C,rescued,boltz2,8j7j__1__1.A_1.B__1.C,1.C,8.269673347473145,1.7803895473480225,True,True,True,25,ok,9.307321220147886,results/posebusters_recheck/generated_inputs/464_boltz2__8j7j__1__1.A_1.B__1.C__1.C_pred.sdf,5818,results/posebusters_recheck/generated_inputs/464_boltz2__8j7j__1__1.A_1.B__1.C__1.C_receptor.pdb,<REMOTE_PROJECT_ROOT>/results/posebusters_recheck/generated_inputs/464_boltz2__8j7j__1__1.A_1.B__1.C__1.C_pred.sdf,1.C,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C12H13N5O6S2/c1-6-13-10(16-12(14-6)23-3)15-11(19)17-25(20,21)7-4-5-24-8(7)9(18)22-2/h4-5H,1-3H3,(H2,13,14,15,16,17,19)","InChI=1S/C12H13N5O6S2/c1-6-13-10(16-12(14-6)23-3)15-11(19)17-25(20,21)7-4-5-24-8(7)9(18)22-2/h4-5H,1-3H3,(H2,13,14,15,16,17,19)",True,True,True,True,True,True,True,True,True,26.0,0.9443370315781596,1.006967140669176,0.0,0.0,37.0,1.0891094312864662,0.0,237.0,0.9187436262811387,0.0,26.0,37.0,237.0,2.0,2.0,0.00974134194713598,0.0,0.0,,0.0,0.0,,13.0,116.48531530719274,65.73717465410375,1.771985424078778,2.8105331504894226,0.0,21.0,1635.0,O,C,1.55,1.7,3.25,2.8105331504894226,3.25,0.8647794309198223,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.005733558178752108,,,,36.77501312891132,1.0420035870752404,36.22062526331582,posebusters_attempted
boltz2|8g4a__1__1.A_1.B__1.C|1.C,rescued,boltz2,8g4a__1__1.A_1.B__1.C,1.C,4.771772861480713,0.348782479763031,True,True,True,19,ok,0.9133587260122542,results/posebusters_recheck/generated_inputs/465_boltz2__8g4a__1__1.A_1.B__1.C__1.C_pred.sdf,1958,results/posebusters_recheck/generated_inputs/465_boltz2__8g4a__1__1.A_1.B__1.C__1.C_receptor.pdb,<REMOTE_PROJECT_ROOT>/results/posebusters_recheck/generated_inputs/465_boltz2__8g4a__1__1.A_1.B__1.C__1.C_pred.sdf,1.C,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C9H4F6N4/c10-8(11,12)5-1-4(7-16-18-19-17-7)2-6(3-5)9(13,14)15/h1-3H,(H,16,17,18,19)","InChI=1S/C9H4F6N4/c10-8(11,12)5-1-4(7-16-18-19-17-7)2-6(3-5)9(13,14)15/h1-3H,(H,16,17,18,19)",True,True,True,True,True,True,True,True,True,20.0,0.9614265465101159,1.0097198807137937,0.0,0.0,31.0,1.0395991161771208,0.0,120.0,0.9977008896737288,0.0,20.0,31.0,120.0,2.0,2.0,0.0012207551229617161,0.0,0.0,,0.0,0.0,,4.0,74.38963759691256,63.355658764127945,1.1741593260653154,2.2765992291134602,3.0,18.0,1851.0,N,O,1.6,1.55,3.1500000000000004,2.2765992291134602,3.1500000000000004,0.722729914004273,True,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.04113924050632911,,,,39.45412116839667,0.183554240103622,39.32319539970922,posebusters_attempted
af3|8oqt__1__1.D__1.KA_1.LA|1.KA,rescued,af3,8oqt__1__1.D__1.KA_1.LA,1.KA,5.477558612823486,1.203909158706665,True,True,True,11,ok,0.44969268671908247,results/posebusters_recheck/generated_inputs/466_af3__8oqt__1__1.D__1.KA_1.LA__1.KA_pred.sdf,16910,results/posebusters_recheck/generated_inputs/466_af3__8oqt__1__1.D__1.KA_1.LA__1.KA_receptor.pdb,<REMOTE_PROJECT_ROOT>/results/posebusters_recheck/generated_inputs/466_af3__8oqt__1__1.D__1.KA_1.LA__1.KA_pred.sdf,1.KA,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C6H5BrO3S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,(H,8,9,10)","InChI=1S/C6H5BrO3S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,(H,8,9,10)",True,True,True,True,True,True,True,True,True,11.0,0.9403877358774093,0.9991806733404796,0.0,0.0,16.0,1.0706600202569474,0.0,28.0,0.9759328706592812,0.0,11.0,16.0,28.0,1.0,1.0,0.0019596310613015006,0.0,0.0,,0.0,0.0,,5.0,49.240525212287245,16.131092867979795,3.0525225795475794,3.2496761377097254,0.0,7.0,6220.0,O,C,1.55,1.7,3.25,3.2496761377097254,3.25,0.9999003500645309,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0003444712366517396,,,,132.44701994862976,0.08583327175838218,132.37337630317066,posebusters_attempted
af3|8oqt__1__1.D__1.KA_1.LA|1.LA,rescued,af3,8oqt__1__1.D__1.KA_1.LA,1.LA,5.477558612823486,1.203909158706665,True,True,True,11,ok,0.47803059135627374,results/posebusters_recheck/generated_inputs/467_af3__8oqt__1__1.D__1.KA_1.LA__1.LA_pred.sdf,16910,results/posebusters_recheck/generated_inputs/467_af3__8oqt__1__1.D__1.KA_1.LA__1.LA_receptor.pdb,<REMOTE_PROJECT_ROOT>/results/posebusters_recheck/generated_inputs/467_af3__8oqt__1__1.D__1.KA_1.LA__1.LA_pred.sdf,1.LA,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C6H5BrO3S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,(H,8,9,10)","InChI=1S/C6H5BrO3S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,(H,8,9,10)",True,True,True,True,True,True,True,True,True,11.0,0.9403877358774093,0.9991806733404796,0.0,0.0,16.0,1.0716316437046953,0.0,28.0,0.9759328706592812,0.0,11.0,16.0,28.0,1.0,1.0,0.0019596310613015006,0.0,0.0,,0.0,0.0,,5.0,49.1600895557165,16.131092867979795,3.0475362058883957,3.2496761377097254,0.0,5.0,6220.0,O,C,1.55,1.7,3.25,3.2496761377097254,3.25,0.9999003500645309,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0003444712366517396,,,,131.7700570615343,0.13290345316541535,131.70806161895135,posebusters_attempted
af3|7ypu__1__1.A_1.B__1.J_1.K|1.J,rescued,af3,7ypu__1__1.A_1.B__1.J_1.K,1.J,2.7236948013305664,1.369502305984497,True,True,True,30,ok,7.941667975650835,results/posebusters_recheck/generated_inputs/468_af3__7ypu__1__1.A_1.B__1.J_1.K__1.J_pred.sdf,3108,results/posebusters_recheck/generated_inputs/468_af3__7ypu__1__1.A_1.B__1.J_1.K__1.J_receptor.pdb,<REMOTE_PROJECT_ROOT>/results/posebusters_recheck/generated_inputs/468_af3__7ypu__1__1.A_1.B__1.J_1.K__1.J_pred.sdf,1.J,0.0,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C15H25N7O8/c16-1-6(25)19-9-10(26)11(30-14(17)28)5(3-23)29-13(9)22-15-20-7-4(24)2-18-12(27)8(7)21-15/h4-5,7-11,13,23-24,26H,1-3,16H2,(H2,17,28)(H,18,27)(H,19,25)(H2,20,21,22)/t4-,5-,7-,8+,9-,10+,11+,13-/m1/s1","InChI=1S/C15H25N7O8/c16-1-6(25)19-9-10(26)11(30-14(17)28)5(3-23)29-13(9)22-15-20-7-4(24)2-18-12(27)8(7)21-15/h4-5,7-11,13,23-24,26H,1-3,16H2,(H2,17,28)(H,18,27)(H,19,25)(H2,20,21,22)/t4-,5+,7+,8+,9+,10-,11-,13+/m0/s1",False,True,False,True,True,True,False,False,True,32.0,0.9301147591212269,1.0242507173007105,0.0,0.0,46.0,1.0566591533484848,0.0,357.0,0.9400182918621255,0.0,32.0,46.0,357.0,0.0,0.0,,5.0,5.0,0.2593219826482881,0.0,0.0,,25.0,307.60111956215223,73.25673325916635,4.198946716255099,2.1849990846680005,1.0,1.0,1454.0,C,O,1.7,1.55,3.25,2.1849990846680005,3.25,0.6723074106670771,True,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.024771453848422293,,,,47.28410796204859,1.0242349082812765,46.830185626070524,posebusters_attempted
af3_no_template|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H,rescued,af3_no_template,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.H,2.483792304992676,1.3524090051651,True,True,True,16,ok,4.417935937251759,results/posebusters_recheck/generated_inputs/469_af3_no_template__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.H_pred.sdf,4988,results/posebusters_recheck/generated_inputs/469_af3_no_template__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.H_receptor.pdb,<REMOTE_PROJECT_ROOT>/results/posebusters_recheck/generated_inputs/469_af3_no_template__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.H_pred.sdf,1.H,0.0,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C6H16NO8P/c7-3(1-8)5(10)6(11)4(9)2-15-16(12,13)14/h3-6,8-11H,1-2,7H2,(H2,12,13,14)/t3-,4+,5+,6+/m0/s1","InChI=1S/C6H16NO8P/c7-3(1-8)5(10)6(11)4(9)2-15-16(12,13)14/h3-6,8-11H,1-2,7H2,(H2,12,13,14)/t3-,4-,5+,6-/m1/s1",False,True,False,True,True,True,False,False,True,15.0,0.950834268815115,1.0196181558796409,0.0,0.0,21.0,1.0901533776755168,0.0,84.0,1.0449002866125168,0.0,15.0,21.0,84.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,16.0,87.76547830241432,26.29730288568411,3.337432689730042,2.2242324518808725,1.0,15.0,584.0,O,O,1.55,1.55,3.1,2.2242324518808725,3.1,0.7174943393164105,True,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.0473461250934463,,,,42.75005656794502,1.1281149096459548,42.642473610395555,posebusters_attempted
af3|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H,rescued,af3,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.H,2.957307815551758,1.8910285234451287,True,True,True,16,ok,6.120468387237515,results/posebusters_recheck/generated_inputs/470_af3__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.H_pred.sdf,4988,results/posebusters_recheck/generated_inputs/470_af3__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.H_receptor.pdb,<REMOTE_PROJECT_ROOT>/results/posebusters_recheck/generated_inputs/470_af3__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.H_pred.sdf,1.H,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C6H16NO8P/c7-3(1-8)5(10)6(11)4(9)2-15-16(12,13)14/h3-6,8-11H,1-2,7H2,(H2,12,13,14)/t3-,4+,5+,6+/m0/s1","InChI=1S/C6H16NO8P/c7-3(1-8)5(10)6(11)4(9)2-15-16(12,13)14/h3-6,8-11H,1-2,7H2,(H2,12,13,14)/t3-,4+,5+,6+/m0/s1",True,True,True,True,True,True,True,True,True,15.0,0.9465095968144822,0.9979111266306401,0.0,0.0,21.0,1.0960835675062583,0.0,84.0,1.0789499216743967,0.0,15.0,21.0,84.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,16.0,122.40436891614699,25.366020924179512,4.825525031380391,2.1242989431810204,1.0,15.0,584.0,O,O,1.55,1.55,3.1,2.1242989431810204,3.1,0.6852577236067807,True,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.042235710672736466,,,,41.263338170069325,1.4707330804532548,41.145734314284866,posebusters_attempted
af3|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.D,rescued,af3,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.D,2.957307815551758,1.932344913482666,True,True,True,16,ok,5.712725321605985,results/posebusters_recheck/generated_inputs/471_af3__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.D_pred.sdf,4988,results/posebusters_recheck/generated_inputs/471_af3__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.D_receptor.pdb,<REMOTE_PROJECT_ROOT>/results/posebusters_recheck/generated_inputs/471_af3__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.D_pred.sdf,1.D,0.0,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C6H16NO8P/c7-3(1-8)5(10)6(11)4(9)2-15-16(12,13)14/h3-6,8-11H,1-2,7H2,(H2,12,13,14)/t3-,4+,5+,6+/m0/s1","InChI=1S/C6H16NO8P/c7-3(1-8)5(10)6(11)4(9)2-15-16(12,13)14/h3-6,8-11H,1-2,7H2,(H2,12,13,14)/t3-,4+,5-,6+/m1/s1",False,True,False,True,True,True,False,False,True,15.0,0.9463151268539198,1.6876637204339606,0.0,2.0,21.0,1.3981702287218858,3.0,84.0,0.9454370969096021,0.0,13.0,18.0,84.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,16.0,1662.2492457876103,25.854251448984417,64.29307184033384,2.3350734463823613,0.0,13.0,584.0,O,O,1.55,1.55,3.1,2.3350734463823613,3.1,0.7532494988330197,False,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.03454317897371715,,,,31.02634705375417,1.007435937494374,30.789757189257557,posebusters_attempted
af3_no_template|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.D,rescued,af3_no_template,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.D,2.483792304992676,1.6924625635147097,True,True,True,16,ok,3.7577041222398453,results/posebusters_recheck/generated_inputs/472_af3_no_template__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.D_pred.sdf,4988,results/posebusters_recheck/generated_inputs/472_af3_no_template__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.D_receptor.pdb,<REMOTE_PROJECT_ROOT>/results/posebusters_recheck/generated_inputs/472_af3_no_template__8fdb__1__1.A_1.B__1.D_1.F_1.H__1.D_pred.sdf,1.D,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C6H16NO8P/c7-3(1-8)5(10)6(11)4(9)2-15-16(12,13)14/h3-6,8-11H,1-2,7H2,(H2,12,13,14)/t3-,4+,5+,6+/m0/s1","InChI=1S/C6H16NO8P/c7-3(1-8)5(10)6(11)4(9)2-15-16(12,13)14/h3-6,8-11H,1-2,7H2,(H2,12,13,14)/t3-,4+,5+,6+/m0/s1",True,True,True,True,True,True,True,True,True,15.0,0.9442988859661554,1.0083196083125212,0.0,0.0,21.0,1.0887354300992929,0.0,84.0,1.0166431694339075,0.0,15.0,21.0,84.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,16.0,95.39582393999187,25.366020924179512,3.760772106320319,2.159737484047541,1.0,15.0,584.0,O,O,1.55,1.55,3.1,2.159737484047541,3.1,0.6966895109830777,True,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,0.03428283337534661,,,,26.29748502114793,0.7706717458495432,25.881260003092127,posebusters_attempted
