mol_id,gpu,pid,log_path,tag,command,start_time
8V71_YHE,0,3154300,logs/posex_diffdock_default_s10_t20_8V71_YHE.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8V71_YHE --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053156.0161405
7S9G_ADE,2,3154301,logs/posex_diffdock_default_s10_t20_7S9G_ADE.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7S9G_ADE --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053156.0170562
8QKA_VTF,3,3154302,logs/posex_diffdock_default_s10_t20_8QKA_VTF.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8QKA_VTF --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053156.0180492
7LE2_NF7,4,3154303,logs/posex_diffdock_default_s10_t20_7LE2_NF7.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7LE2_NF7 --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053156.01897
5SAU_1K2,6,3154304,logs/posex_diffdock_default_s10_t20_5SAU_1K2.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 5SAU_1K2 --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053156.0199199
7Q6U_93L,7,3154305,logs/posex_diffdock_default_s10_t20_7Q6U_93L.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7Q6U_93L --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053156.0208163
7HGB_VZP,0,3155037,logs/posex_diffdock_default_s10_t20_7HGB_VZP.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7HGB_VZP --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053191.0578775
8PQD_9JI,2,3155155,logs/posex_diffdock_default_s10_t20_8PQD_9JI.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8PQD_9JI --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053196.064257
7V16_ORU,3,3155156,logs/posex_diffdock_default_s10_t20_7V16_ORU.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7V16_ORU --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053196.0652392
8B5G_LDR,4,3155157,logs/posex_diffdock_default_s10_t20_8B5G_LDR.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8B5G_LDR --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053196.066231
7NGG_UAT,6,3155482,logs/posex_diffdock_default_s10_t20_7NGG_UAT.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7NGG_UAT --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053206.0782275
7V16_OQ6,7,3155483,logs/posex_diffdock_default_s10_t20_7V16_OQ6.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7V16_OQ6 --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053206.079509
7H00_A1ALS,0,3155847,logs/posex_diffdock_default_s10_t20_7H00_A1ALS.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7H00_A1ALS --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053231.1062899
8R5K_A1H78,2,3155848,logs/posex_diffdock_default_s10_t20_8R5K_A1H78.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8R5K_A1H78 --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053231.1075716
7FEU_2AN,3,3156052,logs/posex_diffdock_default_s10_t20_7FEU_2AN.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FEU_2AN --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053241.1194322
