PDB_CCD_ID,protein_pdb,start_sdf,native_sdf,status,cached,stderr,n_poses,top_score,best_score,top_rmsd,oracle_rmsd,top_success_2a,oracle_success_2a,exhaustiveness,box_size,dataset
7RGX_5EI,external/PoseX/data/dataset/posex/posex_cross_docking_set/7RGX_5EI/7RGX_5EI_protein.pdb,external/PoseX/data/dataset/posex/posex_cross_docking_set/7RGX_5EI/7RGX_5EI_ligand_start_conf.sdf,external/PoseX/data/dataset/posex/posex_cross_docking_set/7RGX_5EI/7RGX_5EI_ligand.sdf,subprocess_error:mk_prepare_receptor.py,False,,,,,,,,,,,posex_cross_dock
7GLA_X77,external/PoseX/data/dataset/posex/posex_cross_docking_set/7GLA_X77/7GLA_X77_protein.pdb,external/PoseX/data/dataset/posex/posex_cross_docking_set/7GLA_X77/7GLA_X77_ligand_start_conf.sdf,external/PoseX/data/dataset/posex/posex_cross_docking_set/7GLA_X77/7GLA_X77_ligand.sdf,subprocess_error:mk_prepare_receptor.py,False,"', 'A:404': 'DMS', 'A:405': 'DMS', 'A:408': 'DMS', 'A:409': 'DMS', 'B:401': 'DMS', 'B:402': 'DMS', 'B:404': 'DMS'} not in residue_templates

  warnings.warn(err, RuntimeWarning)
<REMOTE_PROJECT_ROOT>/.venv/lib/python3.10/site-packages/meeko/polymer.py:857: RuntimeWarning: Trying to resolve unknown residues by building chemical templates... 
  warnings.warn(""Trying to resolve unknown residues by building chemical templates... "", RuntimeWarning)
Failed building template from CCD for resname='DMS'
",,,,,,,,,,posex_cross_dock
9GR7_SAH,external/PoseX/data/dataset/posex/posex_cross_docking_set/9GR7_SAH/9GR7_SAH_protein.pdb,external/PoseX/data/dataset/posex/posex_cross_docking_set/9GR7_SAH/9GR7_SAH_ligand_start_conf.sdf,external/PoseX/data/dataset/posex/posex_cross_docking_set/9GR7_SAH/9GR7_SAH_ligand.sdf,subprocess_error:mk_prepare_receptor.py,False,,,,,,,,,,,posex_cross_dock
9ETQ_A1H64,external/PoseX/data/dataset/posex/posex_cross_docking_set/9ETQ_A1H64/9ETQ_A1H64_protein.pdb,external/PoseX/data/dataset/posex/posex_cross_docking_set/9ETQ_A1H64/9ETQ_A1H64_ligand_start_conf.sdf,external/PoseX/data/dataset/posex/posex_cross_docking_set/9ETQ_A1H64/9ETQ_A1H64_ligand.sdf,subprocess_error:mk_prepare_receptor.py,False,"ntimeWarning: Input residues {'A:1102': 'SO4', 'A:1103': 'SO4', 'A:1104': 'SO4', 'A:1105': 'SO4', 'B:1102': 'SO4'} not in residue_templates

  warnings.warn(err, RuntimeWarning)
<REMOTE_PROJECT_ROOT>/.venv/lib/python3.10/site-packages/meeko/polymer.py:857: RuntimeWarning: Trying to resolve unknown residues by building chemical templates... 
  warnings.warn(""Trying to resolve unknown residues by building chemical templates... "", RuntimeWarning)
Failed building template from CCD for resname='SO4'
",,,,,,,,,,posex_cross_dock
7FEZ_2AN,external/PoseX/data/dataset/posex/posex_cross_docking_set/7FEZ_2AN/7FEZ_2AN_protein.pdb,external/PoseX/data/dataset/posex/posex_cross_docking_set/7FEZ_2AN/7FEZ_2AN_ligand_start_conf.sdf,external/PoseX/data/dataset/posex/posex_cross_docking_set/7FEZ_2AN/7FEZ_2AN_ligand.sdf,subprocess_error:mk_prepare_receptor.py,False,"kkk/18MGD/.venv/lib/python3.10/site-packages/meeko/polymer.py:856: RuntimeWarning: Input residues {'A:202': '1PE'} not in residue_templates

  warnings.warn(err, RuntimeWarning)
<REMOTE_PROJECT_ROOT>/.venv/lib/python3.10/site-packages/meeko/polymer.py:857: RuntimeWarning: Trying to resolve unknown residues by building chemical templates... 
  warnings.warn(""Trying to resolve unknown residues by building chemical templates... "", RuntimeWarning)
Failed building template from CCD for resname='1PE'
",,,,,,,,,,posex_cross_dock
7XFA_57I,external/PoseX/data/dataset/posex/posex_cross_docking_set/7XFA_57I/7XFA_57I_protein.pdb,external/PoseX/data/dataset/posex/posex_cross_docking_set/7XFA_57I/7XFA_57I_ligand_start_conf.sdf,external/PoseX/data/dataset/posex/posex_cross_docking_set/7XFA_57I/7XFA_57I_ligand.sdf,subprocess_error:mk_prepare_receptor.py,False,"No template matched for residue_key='A:250'
tried 3 templates for residue_key='A:250'excess_H_ok=False
ILE        heavy_miss=0 heavy_excess=1 H_excess=[] bond_miss={0, 4} bond_excess=set()
NILE       heavy_miss=0 heavy_excess=1 H_excess=[] bond_miss={0} bond_excess=set()
CILE       heavy_miss=0 heavy_excess=0 H_excess=[] bond_miss={5} bond_excess=set()

- Template matching failed for: ['A:250'] Ignored due to allow_bad_res.
",,,,,,,,,,posex_cross_dock
7FDT_4I1,external/PoseX/data/dataset/posex/posex_cross_docking_set/7FDT_4I1/7FDT_4I1_protein.pdb,external/PoseX/data/dataset/posex/posex_cross_docking_set/7FDT_4I1/7FDT_4I1_ligand_start_conf.sdf,external/PoseX/data/dataset/posex/posex_cross_docking_set/7FDT_4I1/7FDT_4I1_ligand.sdf,subprocess_error:mk_prepare_receptor.py,False,"kkk/18MGD/.venv/lib/python3.10/site-packages/meeko/polymer.py:856: RuntimeWarning: Input residues {'A:201': 'P6G'} not in residue_templates

  warnings.warn(err, RuntimeWarning)
<REMOTE_PROJECT_ROOT>/.venv/lib/python3.10/site-packages/meeko/polymer.py:857: RuntimeWarning: Trying to resolve unknown residues by building chemical templates... 
  warnings.warn(""Trying to resolve unknown residues by building chemical templates... "", RuntimeWarning)
Failed building template from CCD for resname='P6G'
",,,,,,,,,,posex_cross_dock
7V3S_A1ATS,external/PoseX/data/dataset/posex/posex_cross_docking_set/7V3S_A1ATS/7V3S_A1ATS_protein.pdb,external/PoseX/data/dataset/posex/posex_cross_docking_set/7V3S_A1ATS/7V3S_A1ATS_ligand_start_conf.sdf,external/PoseX/data/dataset/posex/posex_cross_docking_set/7V3S_A1ATS/7V3S_A1ATS_ligand.sdf,subprocess_error:mk_prepare_receptor.py,False,"={1}
ASH        heavy_miss=3 heavy_excess=0 H_excess=[] bond_miss=set() bond_excess=set()
CASH       heavy_miss=4 heavy_excess=0 H_excess=[] bond_miss=set() bond_excess={1}
NASH       heavy_miss=3 heavy_excess=0 H_excess=[] bond_miss=set() bond_excess={4}

matched with excess inter-residue bond(s): A:1286
- Template matching failed for: ['A:1061', 'A:1064', 'A:1100', 'A:1103', 'A:1114', 'A:1123', 'A:1150', 'A:1172', 'A:1238', 'A:1240', 'A:1244', 'A:1259', 'A:1286'] Ignored due to allow_bad_res.
",,,,,,,,,,posex_cross_dock
8FX0_IMU,external/PoseX/data/dataset/posex/posex_cross_docking_set/8FX0_IMU/8FX0_IMU_protein.pdb,external/PoseX/data/dataset/posex/posex_cross_docking_set/8FX0_IMU/8FX0_IMU_ligand_start_conf.sdf,external/PoseX/data/dataset/posex/posex_cross_docking_set/8FX0_IMU/8FX0_IMU_ligand.sdf,ok,False,,5.0,-8.012,-8.012,3.5026322807521013,3.5026322807521013,False,False,4.0,24.0,posex_cross_dock
7F11_0BJ,external/PoseX/data/dataset/posex/posex_cross_docking_set/7F11_0BJ/7F11_0BJ_protein.pdb,external/PoseX/data/dataset/posex/posex_cross_docking_set/7F11_0BJ/7F11_0BJ_ligand_start_conf.sdf,external/PoseX/data/dataset/posex/posex_cross_docking_set/7F11_0BJ/7F11_0BJ_ligand.sdf,subprocess_error:mk_prepare_receptor.py,False,"bond(s): A:137
No template matched for residue_key='B:100'
tried 3 templates for residue_key='B:100'excess_H_ok=False
ARG        heavy_miss=6 heavy_excess=0 H_excess=[] bond_miss=set() bond_excess=set()
NARG       heavy_miss=6 heavy_excess=0 H_excess=[] bond_miss=set() bond_excess={4}
CARG       heavy_miss=7 heavy_excess=0 H_excess=[] bond_miss=set() bond_excess={1}

matched with excess inter-residue bond(s): B:100
- Template matching failed for: ['A:137', 'B:100'] Ignored due to allow_bad_res.
",,,,,,,,,,posex_cross_dock
