heldout_dataset,target_risk,score_threshold,train_coverage,train_success,train_risk,test_coverage,test_n_accepted,test_success,test_risk,test_median_rmsd
astex_diverse,0.15,0.9906991748786074,0.07779578606158834,0.8541666666666666,0.14583333333333337,0.03529411764705882,3,1.0,0.0,0.6420203535195231
astex_diverse,0.2,0.9335717388115801,0.40032414910858993,0.8016194331983806,0.19838056680161942,0.4823529411764706,41,0.8536585365853658,0.14634146341463417,0.5941565269227028
astex_diverse,0.25,0.8847993620414673,0.6029173419773096,0.7526881720430108,0.24731182795698925,0.9058823529411765,77,0.8701298701298701,0.1298701298701299,0.5837904011715176
astex_diverse,0.3,0.6994243497634526,0.7455429497568882,0.7021739130434783,0.2978260869565217,1.0,85,0.8705882352941177,0.12941176470588234,0.5898184273971924
astex_diverse,0.35,0.449908170471591,0.8525121555915721,0.6520912547528517,0.3479087452471483,1.0,85,0.8705882352941177,0.12941176470588234,0.5898184273971924
astex_diverse,0.4,0.122219222954392,0.9594813614262561,0.6013513513513513,0.3986486486486487,1.0,85,0.8705882352941177,0.12941176470588234,0.5898184273971924
dockgen,0.15,0.9787947448819276,0.1364522417153996,0.8571428571428571,0.1428571428571429,0.10052910052910052,19,0.7894736842105263,0.21052631578947367,0.9693227144249176
dockgen,0.2,0.9306724637681159,0.46393762183235865,0.8067226890756303,0.19327731092436973,0.31746031746031744,60,0.8,0.19999999999999996,0.9281858293026402
dockgen,0.25,0.7926150452467114,0.8362573099415205,0.752913752913753,0.24708624708624705,0.4708994708994709,89,0.7303370786516854,0.2696629213483146,1.0042088543243624
dockgen,0.3,0.277312479897112,0.9551656920077972,0.7020408163265306,0.2979591836734694,0.8253968253968254,156,0.5256410256410257,0.47435897435897434,1.9206682038556788
dockgen,0.35,0.0123738800262761,1.0,0.6764132553606238,0.3235867446393762,0.9894179894179894,187,0.44385026737967914,0.5561497326203209,2.515673972824943
dockgen,0.4,0.0123738800262761,1.0,0.6764132553606238,0.3235867446393762,0.9894179894179894,187,0.44385026737967914,0.5561497326203209,2.515673972824943
posebusters_benchmark,0.15,0.9791684782608696,0.10218978102189781,0.8571428571428571,0.1428571428571429,0.14018691588785046,60,0.8333333333333334,0.16666666666666663,0.783551191216196
posebusters_benchmark,0.2,0.7894559524275324,0.6386861313868614,0.8,0.19999999999999996,0.8060747663551402,345,0.7217391304347827,0.27826086956521734,1.0949966624158056
posebusters_benchmark,0.25,0.6665594850685751,0.7043795620437956,0.7512953367875648,0.24870466321243523,0.8434579439252337,361,0.7008310249307479,0.2991689750692521,1.1344005091463574
posebusters_benchmark,0.3,0.47588479250667604,0.791970802919708,0.7050691244239631,0.2949308755760369,0.9042056074766355,387,0.6770025839793282,0.3229974160206718,1.2109036322330664
posebusters_benchmark,0.35,0.3186495197315643,0.8759124087591241,0.65,0.35,0.9369158878504673,401,0.6683291770573566,0.3316708229426434,1.259388000277402
posebusters_benchmark,0.4,0.11871738601880656,0.9525547445255474,0.6015325670498084,0.3984674329501916,0.9766355140186916,418,0.65311004784689,0.34688995215311,1.300877889074553
