dataset,coverage,n_accepted,success_2a,risk,median_rmsd,score_threshold
astex_diverse,0.1,8,1.0,0.0,0.537954288249385,0.9805882352941178
astex_diverse,0.2,17,0.8235294117647058,0.17647058823529416,0.7578184440160513,0.9667391304347828
astex_diverse,0.3,26,0.8461538461538461,0.15384615384615385,0.618088440221113,0.9546153846153846
astex_diverse,0.4,34,0.8529411764705882,0.1470588235294118,0.6999193987677872,0.9428260869565216
astex_diverse,0.5,42,0.8571428571428571,0.1428571428571429,0.618088440221113,0.9326315789473684
astex_diverse,0.6,51,0.8627450980392157,0.13725490196078427,0.6420203535195231,0.9230434782608696
astex_diverse,0.7,59,0.864406779661017,0.13559322033898302,0.6420203535195231,0.9134782608695652
astex_diverse,0.8,68,0.8676470588235294,0.13235294117647056,0.5919874771599476,0.8978260869565218
astex_diverse,0.9,76,0.868421052631579,0.13157894736842102,0.5727248850328754,0.8905
astex_diverse,1.0,85,0.8705882352941177,0.12941176470588234,0.5898184273971924,0.8014243241539449
dockgen,0.1,19,0.7894736842105263,0.21052631578947367,0.9693227144249176,0.979375
dockgen,0.2,38,0.7368421052631579,0.26315789473684215,0.9498678937816118,0.9626315789473684
dockgen,0.3,57,0.8070175438596491,0.19298245614035092,0.9259585854669744,0.9335719456383478
dockgen,0.4,76,0.7368421052631579,0.26315789473684215,0.9896584115982926,0.8842105263157894
dockgen,0.5,94,0.7127659574468085,0.2872340425531915,1.0610632308401236,0.7508699223530806
dockgen,0.6,113,0.6548672566371682,0.34513274336283184,1.144258923620749,0.64909703963145
dockgen,0.7,132,0.5984848484848485,0.4015151515151515,1.4963274378557332,0.4773628775626611
dockgen,0.8,151,0.543046357615894,0.45695364238410596,1.7243470131231318,0.3373984662042892
dockgen,0.9,170,0.4823529411764706,0.5176470588235293,2.0919849903012615,0.1806179932508808
dockgen,1.0,189,0.43915343915343913,0.5608465608465609,2.515673972824943,0.0109219429943033
posebusters_benchmark,0.1,43,0.8372093023255814,0.16279069767441856,0.6436533093783714,0.990217391304348
posebusters_benchmark,0.2,86,0.7790697674418605,0.22093023255813948,1.0217775372129276,0.9686956521739132
posebusters_benchmark,0.3,128,0.7578125,0.2421875,1.1072846944751769,0.953
posebusters_benchmark,0.4,171,0.7894736842105263,0.21052631578947367,1.0223430114022214,0.9413157894736842
posebusters_benchmark,0.5,214,0.7663551401869159,0.23364485981308414,1.0231510491250795,0.9285
posebusters_benchmark,0.6,257,0.754863813229572,0.24513618677042803,1.0657852708706406,0.9136363636363636
posebusters_benchmark,0.7,300,0.75,0.25,1.036231936477771,0.8810714285714285
posebusters_benchmark,0.8,342,0.7251461988304093,0.2748538011695907,1.0808120550580815,0.7949591544929455
posebusters_benchmark,0.9,385,0.6805194805194805,0.3194805194805195,1.197506330975863,0.4952589846779609
posebusters_benchmark,1.0,428,0.6378504672897196,0.3621495327102804,1.3290153911967173,0.0123738800262761
