dataset,k,n_cases,hit_at_k,median_best_rmsd_at_k
astex_diverse,1,85,0.8705882352941177,0.5898184273971924
dockgen,1,189,0.43915343915343913,2.515673972824943
posebusters_benchmark,1,428,0.6378504672897196,1.3290153911967173
astex_diverse,2,85,0.8705882352941177,0.5898184273971924
dockgen,2,189,0.4973544973544973,1.9228167249309354
posebusters_benchmark,2,428,0.677570093457944,1.221683611251293
astex_diverse,3,85,0.8941176470588236,0.5206493819154003
dockgen,3,189,0.5185185185185185,1.7256086315775665
posebusters_benchmark,3,428,0.6915887850467289,1.148176731618166
astex_diverse,5,85,0.9176470588235294,0.4963077176571613
dockgen,5,189,0.5291005291005291,1.6997000002451412
posebusters_benchmark,5,428,0.7032710280373832,1.107096154208839
astex_diverse,10,85,0.9294117647058824,0.4801487698657466
dockgen,10,189,0.5343915343915344,1.6007398289540995
posebusters_benchmark,10,428,0.7079439252336449,1.0488086741703422
