dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1N2V_BDI,1n2v,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N2V_BDI_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1N2V_BDI/1N2V_BDI_protein.pdb,external/PoseBench/data/astex_diverse_set/1N2V_BDI/1N2V_BDI_ligand.sdf,True,True,True,True,True,sdf,CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1,O=c1[nH][nH]c(=O)c2[nH]cnc12,15.0,3.0,94.4,208.221,2.0,0.0,,1,372,,0.2244897959183673,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1W1P_GIO,1w1p,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1W1P_GIO_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1W1P_GIO/1W1P_GIO_protein.pdb,external/PoseBench/data/astex_diverse_set/1W1P_GIO/1W1P_GIO_ligand.sdf,True,True,True,True,True,sdf,O=C1NCC(=O)N2CCC[C@@H]12,O=C1NCC(=O)N2CCCC12,11.0,0.0,49.41,154.169,2.0,1.0,,2,996,,0.3035714285714285,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1OWE_675,1owe,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1OWE_675_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1OWE_675/1OWE_675_protein.pdb,external/PoseBench/data/astex_diverse_set/1OWE_675/1OWE_675_ligand.sdf,True,True,True,True,True,sdf,N=C(N)c1ccc2cc(C(=O)Nc3ccccc3)ccc2c1,O=C(Nc1ccccc1)c1ccc2ccccc2c1,22.0,3.0,78.97,289.338,3.0,0.0,,1,245,,0.4313725490196078,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1SG0_STL,1sg0,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1SG0_STL_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1SG0_STL/1SG0_STL_protein.pdb,external/PoseBench/data/astex_diverse_set/1SG0_STL/1SG0_STL_ligand.sdf,True,True,True,True,True,sdf,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,C(=Cc1ccccc1)c1ccccc1,17.0,2.0,60.69,228.247,2.0,0.0,,2,460,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4rhe_1_FMN_6,4rhe,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4rhe_1_FMN_6_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4rhe_1_FMN_6/4rhe_1_FMN_6_protein_processed.pdb,external/PoseBench/data/dockgen_set/4rhe_1_FMN_6/4rhe_1_FMN_6_ligand.pdb,True,True,,,True,manifest_smiles,CC1C[C@@H]2[C@@H](C[C@@H]1C)NC1[C@H](O)NC(O)N[C@@H]1N2C[C@H](O)[C@H](O)[C@H](O)CO[PH]([O-])(O)O,C1CCC2NC3NCNCC3NC2C1,31.0,7.0,213.23,471.4680000000002,3.0,11.0,,2,405,,0.1685393258426966,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3wvc_1_FEG_0,3wvc,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3wvc_1_FEG_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3wvc_1_FEG_0/3wvc_1_FEG_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/3wvc_1_FEG_0/3wvc_1_FEG_0_ligand.pdb,True,True,,,True,manifest_smiles,CC1C(CC(O)O)NC(O)[C@@H](C)[C@@H]1O[PH](O)(O)OC[C@H]1O[C@@H](N2CNC3C(O)NC(N)NC32)[C@H](O)[C@@H]1O,C1CC(OPOCC2CCC(N3CNC4CNCNC43)O2)CCN1,37.0,8.0,266.91,560.5420000000004,4.0,13.0,,2,338,,0.2058823529411764,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,5k45_2_GLU_1,5k45,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5k45_2_GLU_1_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/5k45_2_GLU_1/5k45_2_GLU_1_protein_processed.pdb,external/PoseBench/data/dockgen_set/5k45_2_GLU_1/5k45_2_GLU_1_ligand.pdb,True,True,,,True,manifest_smiles,N[C@@H](CCC(O)O)C(O)O,,10.0,4.0,106.94,151.16199999999998,0.0,1.0,,2,656,,0.2222222222222222,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,6fgc_1_ADP_1,6fgc,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6fgc_1_ADP_1_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/6fgc_1_ADP_1/6fgc_1_ADP_1_protein_processed.pdb,external/PoseBench/data/dockgen_set/6fgc_1_ADP_1/6fgc_1_ADP_1_ligand.pdb,True,True,,,True,manifest_smiles,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O,C1COC(N2CNC3CNCNC32)C1,27.0,6.0,234.64999999999995,439.299,3.0,7.0,,1,409,,0.2465753424657534,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,6etf_1_AMP_0,6etf,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6etf_1_AMP_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/6etf_1_AMP_0/6etf_1_AMP_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/6etf_1_AMP_0/6etf_1_AMP_0_ligand.pdb,True,True,,,True,manifest_smiles,NC1NCNC2[C@H]1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]1O,C1COC(N2CNC3CNCNC32)C1,23.0,4.0,184.96,357.304,3.0,7.0,,1,419,,0.2608695652173913,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,2v7t_1_SAH_4,2v7t,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2v7t_1_SAH_4_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/2v7t_1_SAH_4/2v7t_1_SAH_4_protein_processed.pdb,external/PoseBench/data/dockgen_set/2v7t_1_SAH_4/2v7t_1_SAH_4_ligand.pdb,True,True,,,True,manifest_smiles,NC1NCNC2C1NCN2[C@@H]1O[C@H](CSCC[C@H](N)C(O)O)[C@@H](O)[C@H]1O,C1COC(N2CNC3CNCNC32)C1,26.0,7.0,181.52,394.4980000000001,3.0,8.0,,2,582,,0.3164556962025316,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3k8m_1_GLC-GLC-AC1_0,3k8m,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3k8m_1_GLC-GLC-AC1_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3k8m_1_GLC-GLC-AC1_0/3k8m_1_GLC-GLC-AC1_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/3k8m_1_GLC-GLC-AC1_0/3k8m_1_GLC-GLC-AC1_0_ligand.pdb,True,True,,,True,manifest_smiles,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1CC(CO)[C@@H](O)[C@H](O)[C@H]1O,C1CCC(NC2CCC(OC3CCC(OC4CCCOC4)OC3)OC2)CC1,44.0,9.0,321.17,647.6240000000004,4.0,20.0,,1,639,,0.5306122448979592,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
