dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1T40_ID5,1t40,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1T40_ID5_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1T40_ID5/1T40_ID5_protein.pdb,external/PoseBench/data/astex_diverse_set/1T40_ID5/1T40_ID5_ligand.sdf,True,True,True,True,True,sdf,O=C(O)COc1cc(F)ccc1C(=O)NCc1nc2c(F)c(F)cc(F)c2s1,O=C(NCc1nc2ccccc2s1)c1ccccc1,28.0,6.0,88.52000000000001,414.3360000000001,3.0,0.0,,1,316,,0.2808988764044944,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1OPK_P16,1opk,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1OPK_P16_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1OPK_P16/1OPK_P16_protein.pdb,external/PoseBench/data/astex_diverse_set/1OPK_P16/1OPK_P16_ligand.sdf,True,True,True,True,True,sdf,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1,29.0,4.0,80.04,427.29100000000017,4.0,0.0,,1,449,,0.3522727272727273,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1P62_GEO,1p62,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1P62_GEO_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1P62_GEO/1P62_GEO_protein.pdb,external/PoseBench/data/astex_diverse_set/1P62_GEO/1P62_GEO_ligand.sdf,True,True,True,True,True,sdf,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,O=c1ncccn1C1CCCO1,18.0,2.0,110.6,263.19999999999993,2.0,3.0,,1,229,,0.6041666666666666,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,5enr_1_MBX_0,5enr,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5enr_1_MBX_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/5enr_1_MBX_0/5enr_1_MBX_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/5enr_1_MBX_0/5enr_1_MBX_0_ligand.pdb,True,True,,,True,manifest_smiles,CCC(O)NC1CCC(CCS[C@@H]2NC(N3C[C@H](C)O[C@@H](C)C3)C3COC(C)(C)CC3C2CN)CC1,C1CCC(CCSC2CC3CCOCC3C(N3CCOCC3)N2)CC1,36.0,9.0,92.01,526.8320000000003,4.0,8.0,,1,578,,0.1592920353982301,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,6n19_2_K8V_0,6n19,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6n19_2_K8V_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/6n19_2_K8V_0/6n19_2_K8V_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/6n19_2_K8V_0/6n19_2_K8V_0_ligand.pdb,True,True,,,True,manifest_smiles,CCC(O)NC1CCC(C([O-])O)C(C([O-])O)C1,C1CCCCC1,17.0,5.0,118.84,247.291,1.0,6.0,,1,438,,0.1891891891891892,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,5ae3_2_AWB_1,5ae3,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5ae3_2_AWB_1_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/5ae3_2_AWB_1/5ae3_2_AWB_1_protein_processed.pdb,external/PoseBench/data/dockgen_set/5ae3_2_AWB_1/5ae3_2_AWB_1_ligand.pdb,True,True,,,True,manifest_smiles,CCCCCC[C@H]1C(O)O[C@H](C)[C@H](N[C@H](O)[C@@H]2CCC[C@H](NCO)[C@H]2O)C(O)O[C@@H](C)[C@@H]1OC(O)CC(C)C,C1CCC(CNC2COCCCCOC2)CC1,39.0,14.0,173.12999999999997,564.7610000000002,2.0,12.0,,1,539,,0.216867469879518,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,1za2_1_CTP_4,1za2,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1za2_1_CTP_4_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/1za2_1_CTP_4/1za2_1_CTP_4_protein_processed.pdb,external/PoseBench/data/dockgen_set/1za2_1_CTP_4/1za2_1_CTP_4_ligand.pdb,True,True,,,True,manifest_smiles,NC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,C1COC(N2CCCNC2)C1,29.0,8.0,280.50999999999993,495.252,2.0,6.0,,1,144,,0.2394366197183098,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3uni_1_SAL_0,3uni,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3uni_1_SAL_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3uni_1_SAL_0/3uni_1_SAL_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/3uni_1_SAL_0/3uni_1_SAL_0_ligand.pdb,True,True,,,True,manifest_smiles,OC(O)C1CCCCC1O,C1CCCCC1,10.0,1.0,60.69,146.18600000000004,1.0,2.0,,1,1289,,0.25,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,1o28_1_UFP_2,1o28,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1o28_1_UFP_2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/1o28_1_UFP_2/1o28_1_UFP_2_protein_processed.pdb,external/PoseBench/data/dockgen_set/1o28_1_UFP_2/1o28_1_UFP_2_ligand.pdb,True,True,,,True,manifest_smiles,OC1NC(O)N([C@H]2C[C@H](O)[C@@H](CO[PH](O)(O)O)O2)CC1F,C1COC(N2CCCNC2)C1,21.0,4.0,155.11,334.2370000000001,2.0,6.0,,3,650,,0.2923076923076923,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4qa8_1_PJZ_0,4qa8,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4qa8_1_PJZ_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4qa8_1_PJZ_0/4qa8_1_PJZ_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/4qa8_1_PJZ_0/4qa8_1_PJZ_0_ligand.pdb,True,True,,,True,manifest_smiles,CCCCCCCCCCCCCC[C@@H](O)OC[C@@H](C)O[C@@H](O)CCCCCCCCCCC,,34.0,28.0,58.92,486.82200000000046,0.0,3.0,,1,210,,0.3714285714285714,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4tvd_1_GLC_0,4tvd,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4tvd_1_GLC_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4tvd_1_GLC_0/4tvd_1_GLC_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/4tvd_1_GLC_0/4tvd_1_GLC_0_ligand.pdb,True,True,,,True,manifest_smiles,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,C1CCOCC1,12.0,1.0,110.38,180.156,1.0,5.0,,1,1028,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7AS1_21G,7as1,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7AS1_21G_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7AS1_21G/7AS1_21G_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7AS1_21G/7AS1_21G_ligand.sdf,True,True,True,True,True,sdf,O=C(O)[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,c1cnc2[nH]cc(-c3nccc(NC4CC5CCC4CC5)n3)c2c1,29.0,4.0,103.79,399.4010000000002,6.0,2.0,,1,162,,0.2428571428571428,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8FLV_ZB9,8flv,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8FLV_ZB9_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/8FLV_ZB9/8FLV_ZB9_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8FLV_ZB9/8FLV_ZB9_ligand.sdf,True,True,True,True,True,sdf,CN(c1ncnc2[nH]ccc12)[C@@H]1CCCN(C(=O)CNc2cc(Cl)cc(Cl)c2)C1,O=C(CNc1ccccc1)N1CCCC(Nc2ncnc3[nH]ccc23)C1,29.0,5.0,77.15,433.3430000000001,4.0,1.0,,1,267,,0.2666666666666666,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,6Z0R_Q4H,6z0r,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/6Z0R_Q4H_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/6Z0R_Q4H/6Z0R_Q4H_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/6Z0R_Q4H/6Z0R_Q4H_ligand.sdf,True,True,True,True,True,sdf,N#Cc1cncnc1N,c1cncnc1,9.0,0.0,75.59,120.115,1.0,0.0,,1,295,,0.2884615384615384,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7F5D_EUO,7f5d,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7F5D_EUO_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7F5D_EUO/7F5D_EUO_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7F5D_EUO/7F5D_EUO_ligand.sdf,True,True,True,True,True,sdf,CNc1cc(-c2ccc3[nH]ccc3c2)nc(S(C)(=O)=O)n1,c1cc(-c2ccc3[nH]ccc3c2)ncn1,21.0,3.0,87.74000000000001,302.35900000000004,3.0,0.0,,1,108,,0.3125,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7W06_ITN,7w06,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7W06_ITN_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7W06_ITN/7W06_ITN_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7W06_ITN/7W06_ITN_ligand.sdf,True,True,True,True,True,sdf,C=C(CC(=O)O)C(=O)O,,9.0,3.0,74.6,130.099,0.0,0.0,,1,201,,0.3478260869565217,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8ACL_LQL,8acl,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8ACL_LQL_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/8ACL_LQL/8ACL_LQL_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8ACL_LQL/8ACL_LQL_ligand.sdf,True,True,True,True,True,sdf,O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cccnc2)CCN1c1ccc(Cl)c(Cl)c1,O=C(NCc1cccs1)C1CN(C(=O)c2cccnc2)CCN1c1ccccc1,31.0,5.0,65.54,475.40100000000007,4.0,1.0,,1,301,,0.4,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8A1H_DLZ,8a1h,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8A1H_DLZ_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/8A1H_DLZ/8A1H_DLZ_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8A1H_DLZ/8A1H_DLZ_ligand.sdf,True,True,True,True,True,sdf,Cc1nc2c(=O)[nH]c(=O)nc-2n(C[C@H](O)[C@H](O)[C@H](O)CO)c1C,O=c1nc2[nH]ccnc-2c(=O)[nH]1,23.0,5.0,161.56,326.309,2.0,3.0,,1,516,,0.4761904761904761,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
