similarity_penalty_lambda,similarity_bin,n_queries,success,median_rmsd,mean_selected_reference_neighborhood_similarity,evidence_role
0.0,all,4727,0.7000211550666384,0.8246176838874817,0.6742088057849303,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.0,high,2100,0.9323809523809524,0.3827860355377197,0.9392622346509137,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.0,low,528,0.2178030303030303,7.345733642578125,0.2680201538600677,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.0,mid,2099,0.5888518342067651,1.4340254068374634,0.5112051886328396,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.03,all,4727,0.7000211550666384,0.8246176838874817,0.6742088057849303,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.03,high,2100,0.9323809523809524,0.3827860355377197,0.9392622346509137,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.03,low,528,0.2178030303030303,7.345733642578125,0.2680201538600677,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.03,mid,2099,0.5888518342067651,1.4340254068374634,0.5112051886328396,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.05,all,4727,0.7000211550666384,0.8246176838874817,0.6742088057849303,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.05,high,2100,0.9323809523809524,0.3827860355377197,0.9392622346509137,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.05,low,528,0.2178030303030303,7.345733642578125,0.2680201538600677,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.05,mid,2099,0.5888518342067651,1.4340254068374634,0.5112051886328396,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.07,all,4727,0.7000211550666384,0.8246176838874817,0.6742088057849303,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.07,high,2100,0.9323809523809524,0.3827860355377197,0.9392622346509137,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.07,low,528,0.2178030303030303,7.345733642578125,0.2680201538600677,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.07,mid,2099,0.5888518342067651,1.4340254068374634,0.5112051886328396,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.09,all,4727,0.7000211550666384,0.8246176838874817,0.6742088057849303,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.09,high,2100,0.9323809523809524,0.3827860355377197,0.9392622346509137,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.09,low,528,0.2178030303030303,7.345733642578125,0.2680201538600677,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.09,mid,2099,0.5888518342067651,1.4340254068374634,0.5112051886328396,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.11,all,4727,0.7000211550666384,0.8246176838874817,0.6742088057849303,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.11,high,2100,0.9323809523809524,0.3827860355377197,0.9392622346509137,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.11,low,528,0.2178030303030303,7.345733642578125,0.2680201538600677,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.11,mid,2099,0.5888518342067651,1.4340254068374634,0.5112051886328396,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.15,all,4727,0.7000211550666384,0.8246176838874817,0.6742088057849303,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.15,high,2100,0.9323809523809524,0.3827860355377197,0.9392622346509137,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.15,low,528,0.2178030303030303,7.345733642578125,0.2680201538600677,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
0.15,mid,2099,0.5888518342067651,1.4340254068374634,0.5112051886328396,"sensitivity of low-similarity selection penalty; same frozen probabilities, only penalty varied"
