low_similarity_training_weight,similarity_bin,n_queries,selected_success,median_rmsd,candidate_auroc,candidate_auprc,evidence_role
0.5,all,4727,0.7015020097313307,0.8225335478782654,0.9899325023828378,0.9935510762238167,effective low-similarity strength sensitivity through training-time low-similarity reweighting
0.5,high,2100,0.9314285714285714,0.37623593211174006,0.9899325023828378,0.9935510762238167,effective low-similarity strength sensitivity through training-time low-similarity reweighting
0.5,low,528,0.2159090909090909,7.666780471801758,0.9899325023828378,0.9935510762238167,effective low-similarity strength sensitivity through training-time low-similarity reweighting
0.5,mid,2099,0.5936160076226774,1.42335307598114,0.9899325023828378,0.9935510762238167,effective low-similarity strength sensitivity through training-time low-similarity reweighting
1.0,all,4727,0.7006558070657922,0.8148021101951599,0.9898478601445667,0.9934290320182968,effective low-similarity strength sensitivity through training-time low-similarity reweighting
1.0,high,2100,0.9323809523809524,0.3786065876483917,0.9898478601445667,0.9934290320182968,effective low-similarity strength sensitivity through training-time low-similarity reweighting
1.0,low,528,0.2178030303030303,7.298698902130127,0.9898478601445667,0.9934290320182968,effective low-similarity strength sensitivity through training-time low-similarity reweighting
1.0,mid,2099,0.5902810862315389,1.42335307598114,0.9898478601445667,0.9934290320182968,effective low-similarity strength sensitivity through training-time low-similarity reweighting
1.5,all,4727,0.7027713137296383,0.8186936378479004,0.9899539540527513,0.9934703979364101,effective low-similarity strength sensitivity through training-time low-similarity reweighting
1.5,high,2100,0.9333333333333333,0.3725714087486267,0.9899539540527513,0.9934703979364101,effective low-similarity strength sensitivity through training-time low-similarity reweighting
1.5,low,528,0.21401515151515152,7.006938695907593,0.9899539540527513,0.9934703979364101,effective low-similarity strength sensitivity through training-time low-similarity reweighting
1.5,mid,2099,0.5950452596474511,1.415850043296814,0.9899539540527513,0.9934703979364101,effective low-similarity strength sensitivity through training-time low-similarity reweighting
2.0,all,4727,0.7023482123968691,0.8178076148033142,0.9899326277071855,0.9934360757435476,effective low-similarity strength sensitivity through training-time low-similarity reweighting
2.0,high,2100,0.9342857142857143,0.37185123562812805,0.9899326277071855,0.9934360757435476,effective low-similarity strength sensitivity through training-time low-similarity reweighting
2.0,low,528,0.2215909090909091,7.368494987487793,0.9899326277071855,0.9934360757435476,effective low-similarity strength sensitivity through training-time low-similarity reweighting
2.0,mid,2099,0.5912339209147213,1.4218837022781372,0.9899326277071855,0.9934360757435476,effective low-similarity strength sensitivity through training-time low-similarity reweighting
3.0,all,4727,0.7023482123968691,0.8227024078369141,0.9897803621592365,0.9932906670864086,effective low-similarity strength sensitivity through training-time low-similarity reweighting
3.0,high,2100,0.9323809523809524,0.3736695349216461,0.9897803621592365,0.9932906670864086,effective low-similarity strength sensitivity through training-time low-similarity reweighting
3.0,low,528,0.2196969696969697,6.9516520500183105,0.9897803621592365,0.9932906670864086,effective low-similarity strength sensitivity through training-time low-similarity reweighting
3.0,mid,2099,0.5936160076226774,1.419446349143982,0.9897803621592365,0.9932906670864086,effective low-similarity strength sensitivity through training-time low-similarity reweighting
4.0,all,4727,0.7021366617304845,0.8268588781356812,0.9899239273110243,0.9933966562325854,effective low-similarity strength sensitivity through training-time low-similarity reweighting
4.0,high,2100,0.9319047619047619,0.37992100417613983,0.9899239273110243,0.9933966562325854,effective low-similarity strength sensitivity through training-time low-similarity reweighting
4.0,low,528,0.2159090909090909,6.5917627811431885,0.9899239273110243,0.9933966562325854,effective low-similarity strength sensitivity through training-time low-similarity reweighting
4.0,mid,2099,0.5945688423058599,1.4087587594985962,0.9899239273110243,0.9933966562325854,effective low-similarity strength sensitivity through training-time low-similarity reweighting
