dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1HWW_SWA,1hww,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HWW_SWA_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,True,True,True,True,True,sdf,O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O,C1CCN2CCCC2C1,12.0,0.0,63.93000000000001,173.21200000000002,2.0,4.0,,1,1014,,0.1818181818181818,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1HWI_115,1hwi,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HWI_115_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,True,True,True,True,True,sdf,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,c1ccc(-c2c[nH]c3ccccc23)cc1,30.0,8.0,82.69000000000001,411.4730000000002,3.0,2.0,,4,1540,,0.2898550724637681,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1T46_STI,1t46,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1T46_STI_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1T46_STI/1T46_STI_protein.pdb,external/PoseBench/data/astex_diverse_set/1T46_STI/1T46_STI_ligand.sdf,True,True,True,True,True,sdf,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,37.0,7.0,86.28,493.6150000000004,5.0,0.0,,1,297,,0.4057971014492754,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1P2Y_NCT,1p2y,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1P2Y_NCT_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1P2Y_NCT/1P2Y_NCT_protein.pdb,external/PoseBench/data/astex_diverse_set/1P2Y_NCT/1P2Y_NCT_ligand.sdf,True,True,True,True,True,sdf,CN1CCC[C@H]1c1cccnc1,c1cncc(C2CCCN2)c1,12.0,1.0,16.130000000000003,162.23599999999996,2.0,1.0,,1,407,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4zay_1_4LS_6,4zay,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4zay_1_4LS_6_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4zay_1_4LS_6/4zay_1_4LS_6_protein_processed.pdb,external/PoseBench/data/dockgen_set/4zay_1_4LS_6/4zay_1_4LS_6_ligand.pdb,True,True,,,True,manifest_smiles,CC(C)CCN1[C@H]2[C@H](O)N[C@H](O)N[C@@H]2N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O)[C@@H]2CC(C)C(C)C[C@H]21,C1CCC2NC3NCNCC3NC2C1,36.0,10.0,201.61,542.6110000000001,3.0,11.0,,1,190,,0.1648351648351648,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4bc9_1_CNV-FAD_0,4bc9,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4bc9_1_CNV-FAD_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4bc9_1_CNV-FAD_0/4bc9_1_CNV-FAD_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/4bc9_1_CNV-FAD_0/4bc9_1_CNV-FAD_0_ligand.pdb,True,True,,,True,manifest_smiles,CC1CC2[C@H](CC1C)N(C(C)CN)C1C(O)NC(O)NC1N2C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]1O[C@@H](N2CNC3C(N)NCN[C@H]32)[C@H](O)[C@@H]1O,C(CCOPOPOCC1CCC(N2CNC3CNCNC32)O1)CCN1C2CCCCC2NC2CNCNC21,57.0,15.0,381.3599999999999,868.8610000000002,6.0,19.0,,2,1102,,0.1986301369863013,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,2v7u_1_SAM_2,2v7u,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2v7u_1_SAM_2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/2v7u_1_SAM_2/2v7u_1_SAM_2_protein_processed.pdb,external/PoseBench/data/dockgen_set/2v7u_1_SAM_2/2v7u_1_SAM_2_ligand.pdb,True,True,,,True,manifest_smiles,C[S@@H](CC[C@H](N)C(O)O)C[C@H]1O[C@@H](N2CNC3C(N)NCNC32)[C@H](O)[C@@H]1O,C1COC(N2CNC3CNCNC32)C1,27.0,7.0,181.52,410.5410000000001,3.0,9.0,,2,582,,0.2195121951219512,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3s6a_1_ANP_0,3s6a,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3s6a_1_ANP_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3s6a_1_ANP_0/3s6a_1_ANP_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/3s6a_1_ANP_0/3s6a_1_ANP_0_ligand.pdb,True,True,,,True,manifest_smiles,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](N)(O)O)[C@@H](O)[C@H]1O,C1COC(N2CNC3CNCNC32)C1,27.0,6.0,240.44,438.315,3.0,7.0,,1,178,,0.2432432432432432,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3it6_1_ORN_1,3it6,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3it6_1_ORN_1_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3it6_1_ORN_1/3it6_1_ORN_1_protein_processed.pdb,external/PoseBench/data/dockgen_set/3it6_1_ORN_1/3it6_1_ORN_1_ligand.pdb,True,True,,,True,manifest_smiles,NCCC[C@H](N)C(O)O,,9.0,4.0,92.5,134.179,0.0,1.0,,3,603,,0.2608695652173913,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,1pj4_1_FUM_1,1pj4,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1pj4_1_FUM_1_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/1pj4_1_FUM_1/1pj4_1_FUM_1_protein_processed.pdb,external/PoseBench/data/dockgen_set/1pj4_1_FUM_1/1pj4_1_FUM_1_ligand.pdb,True,True,,,True,manifest_smiles,OC(O)CCC(O)O,,8.0,3.0,80.92,122.11999999999998,0.0,0.0,,2,1074,,0.3076923076923077,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3ju4_1_SLB_2,3ju4,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ju4_1_SLB_2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3ju4_1_SLB_2/3ju4_1_SLB_2_protein_processed.pdb,external/PoseBench/data/dockgen_set/3ju4_1_SLB_2/3ju4_1_SLB_2_ligand.pdb,True,True,,,True,manifest_smiles,CC(O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](O)(C(O)O)C[C@@H]1O,C1CCOCC1,21.0,6.0,183.1,313.30300000000005,1.0,7.0,,1,662,,0.490566037735849,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
