dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1KZK_JE2,1kzk,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1KZK_JE2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1KZK_JE2/1KZK_JE2_protein.pdb,external/PoseBench/data/astex_diverse_set/1KZK_JE2/1KZK_JE2_ligand.sdf,True,True,True,True,True,sdf,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2C)CSC1(C)C,O=C(NC(CC(=O)N1CSCC1C(=O)NCc1ccccc1)Cc1ccccc1)c1ccccc1,41.0,9.0,118.97,575.7310000000002,4.0,3.0,,2,198,,0.2391304347826087,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1N1M_A3M,1n1m,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N1M_A3M_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1N1M_A3M/1N1M_A3M_protein.pdb,external/PoseBench/data/astex_diverse_set/1N1M_A3M/1N1M_A3M_ligand.sdf,True,True,True,True,True,sdf,CC(C)[C@H](N)C(=O)N1CCCC1,C1CCNC1,12.0,2.0,46.33,170.25599999999997,1.0,1.0,,2,1454,,0.3170731707317073,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1R9O_FLP,1r9o,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1R9O_FLP_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1R9O_FLP/1R9O_FLP_protein.pdb,external/PoseBench/data/astex_diverse_set/1R9O_FLP/1R9O_FLP_ligand.sdf,True,True,True,True,True,sdf,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,c1ccc(-c2ccccc2)cc1,18.0,3.0,37.3,244.265,2.0,1.0,,1,455,,0.4680851063829787,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1HVY_D16,1hvy,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HVY_D16_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_protein.pdb,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf,True,True,True,True,True,sdf,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,O=c1nc[nH]c2ccc(CNc3cccs3)cc12,32.0,9.0,152.69,458.4960000000002,3.0,1.0,,4,1148,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,1sbz_1_FMN_3,1sbz,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1sbz_1_FMN_3_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/1sbz_1_FMN_3/1sbz_1_FMN_3_protein_processed.pdb,external/PoseBench/data/dockgen_set/1sbz_1_FMN_3/1sbz_1_FMN_3_ligand.pdb,True,True,,,True,manifest_smiles,C[C@@H]1CC2NC3C(O)NC(O)NC3N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O)C2C[C@@H]1C,C1CCC2NC3NCNCC3NC2C1,31.0,7.0,210.39999999999995,472.47600000000017,3.0,11.0,,2,339,,0.1724137931034483,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4cdn_2_FAD_0,4cdn,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4cdn_2_FAD_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4cdn_2_FAD_0/4cdn_2_FAD_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/4cdn_2_FAD_0/4cdn_2_FAD_0_ligand.pdb,True,True,,,True,manifest_smiles,CC1CC2NC3C(O)NC(O)NC3N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C(N)NCNC54)[C@H](O)[C@@H]3O)C2C[C@H]1C,C(CCOPOPOCC1CCC(N2CNC3CNCNC32)O1)CCN1C2CCCCC2NC2CNCNC21,53.0,13.0,364.1299999999999,811.7649999999999,6.0,18.0,,1,438,,0.2071428571428571,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,6yao_1_OJ2_0,6yao,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6yao_1_OJ2_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/6yao_1_OJ2_0/6yao_1_OJ2_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/6yao_1_OJ2_0/6yao_1_OJ2_0_ligand.pdb,True,True,,,True,manifest_smiles,OCC[C@H]1CCCC[C@@H]1NC(O)N[C@H]1CCC[C@@H](OC(F)(F)F)C1,C1CCC(NCNC2CCCCC2)CC1,24.0,7.0,73.75,354.41300000000007,2.0,5.0,,1,453,,0.2241379310344827,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3zec_1_ANP_0,3zec,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3zec_1_ANP_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3zec_1_ANP_0/3zec_1_ANP_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/3zec_1_ANP_0/3zec_1_ANP_0_ligand.pdb,True,True,,,True,manifest_smiles,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)N[PH](O)(O)O)[C@@H](O)[C@H]1O,C1COC(N2CNC3CNCNC32)C1,31.0,8.0,287.14,520.31,3.0,7.0,,1,371,,0.2467532467532467,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4fyv_1_DCP_2,4fyv,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4fyv_1_DCP_2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4fyv_1_DCP_2/4fyv_1_DCP_2_protein_processed.pdb,external/PoseBench/data/dockgen_set/4fyv_1_DCP_2/4fyv_1_DCP_2_ligand.pdb,True,True,,,True,manifest_smiles,NC1CCN([C@H]2C[C@H](O)[C@@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)O2)C(O)N1,C1COC(N2CCCNC2)C1,28.0,8.0,260.2799999999999,479.253,2.0,5.0,,1,144,,0.2676056338028169,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4o0d_1_GLY_3,4o0d,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4o0d_1_GLY_3_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4o0d_1_GLY_3/4o0d_1_GLY_3_protein_processed.pdb,external/PoseBench/data/dockgen_set/4o0d_1_GLY_3/4o0d_1_GLY_3_ligand.pdb,True,True,,,True,manifest_smiles,NCC(O)O,,5.0,1.0,66.48,77.083,0.0,0.0,,2,597,,0.3181818181818182,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,1v2g_1_OCA_0,1v2g,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1v2g_1_OCA_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/1v2g_1_OCA_0/1v2g_1_OCA_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/1v2g_1_OCA_0/1v2g_1_OCA_0_ligand.pdb,True,True,,,True,manifest_smiles,CCCCCCCC(O)O,,10.0,6.0,40.46,146.23000000000002,0.0,0.0,,1,178,,0.5416666666666666,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
