dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1N46_PFA,1n46,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N46_PFA_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1N46_PFA/1N46_PFA_protein.pdb,external/PoseBench/data/astex_diverse_set/1N46_PFA/1N46_PFA_ligand.sdf,True,True,True,True,True,sdf,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1Oc1ccc(O)c(C(C)C)c1,O=c1cnn(-c2ccc(Oc3ccccc3)cc2)c(=O)[nH]1,27.0,4.0,97.21,367.4050000000001,3.0,0.0,,2,487,,0.2608695652173913,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1KE5_LS1,1ke5,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1KE5_LS1_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1KE5_LS1/1KE5_LS1_protein.pdb,external/PoseBench/data/astex_diverse_set/1KE5_LS1/1KE5_LS1_ligand.sdf,True,True,True,True,True,sdf,CNS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccccc32)cc1,O=C1Nc2ccccc2C1=CNc1ccccc1,23.0,4.0,87.30000000000001,329.3810000000001,3.0,0.0,,1,281,,0.3272727272727272,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1V48_HA1,1v48,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1V48_HA1_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1V48_HA1/1V48_HA1_protein.pdb,external/PoseBench/data/astex_diverse_set/1V48_HA1/1V48_HA1_ligand.sdf,True,True,True,True,True,sdf,Nc1nc2c(ncn2CCCCC(F)(F)P(=O)(O)O)c(=O)[nH]1,O=c1[nH]cnc2[nH]cnc12,22.0,6.0,147.12,337.223,2.0,0.0,,1,261,,0.5,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,6a71_1_9UX_0,6a71,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6a71_1_9UX_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/6a71_1_9UX_0/6a71_1_9UX_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/6a71_1_9UX_0/6a71_1_9UX_0_ligand.pdb,True,True,,,True,manifest_smiles,[OH][Mo@]12[S][Mo@@]1([OH])[S]2,[S]1[Mo]2[S][Mo]12,6.0,0.0,40.46,290.028,2.0,0.0,,1,71,,0.1176470588235294,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,5u82_2_ZN0_0,5u82,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5u82_2_ZN0_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/5u82_2_ZN0_0/5u82_2_ZN0_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/5u82_2_ZN0_0/5u82_2_ZN0_0_ligand.pdb,True,True,,,True,manifest_smiles,C[CH2][SnH]([CH2]C)[CH2]C,,7.0,3.0,0.0,206.905,0.0,0.0,,1,208,,0.1764705882352941,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,1sij_1_PCD_0,1sij,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1sij_1_PCD_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/1sij_1_PCD_0/1sij_1_PCD_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/1sij_1_PCD_0/1sij_1_PCD_0_ligand.pdb,True,True,,,True,manifest_smiles,NC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@H]4NC5NC(N)NC(O)C5N[C@H]4[C@@H]4[S][Mo]([OH])([OH])[S]C43)[C@@H](O)[C@H]2O)C(O)N1,C1CNCN(C2CCC(COPOPOCC3OC4NC5NCNCC5NC4C4[S][Mo][S]C34)O2)C1,47.0,9.0,363.88000000000005,846.6240000000004,6.0,15.0,,1,907,,0.2079207920792079,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,5k66_1_ASN-GLU_0,5k66,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5k66_1_ASN-GLU_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/5k66_1_ASN-GLU_0/5k66_1_ASN-GLU_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/5k66_1_ASN-GLU_0/5k66_1_ASN-GLU_0_ligand.pdb,True,True,,,True,manifest_smiles,NC(O)C[C@H](N)C(O)N[C@H](CO)CCC(O)O,,17.0,9.0,165.22,253.299,0.0,4.0,,1,430,,0.2285714285714285,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,5dnc_1_ASN_2,5dnc,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5dnc_1_ASN_2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/5dnc_1_ASN_2/5dnc_1_ASN_2_protein_processed.pdb,external/PoseBench/data/dockgen_set/5dnc_1_ASN_2/5dnc_1_ASN_2_ligand.pdb,True,True,,,True,manifest_smiles,NC(O)C[C@H](N)C(O)O,,9.0,3.0,112.73,136.151,0.0,2.0,,3,1065,,0.25,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,1tkg_1_SSA_0,1tkg,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1tkg_1_SSA_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/1tkg_1_SSA_0/1tkg_1_SSA_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/1tkg_1_SSA_0/1tkg_1_SSA_0_ligand.pdb,True,True,,,True,manifest_smiles,NC1NCNC2C1NCN2[C@@H]1O[C@H](COS(O)(O)NC(O)[C@@H](N)CO)[C@@H](O)[C@H]1O,C1COC(N2CNC3CNCNC32)C1,29.0,8.0,243.24,445.4990000000001,3.0,9.0,,1,224,,0.2747252747252747,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,6uqy_2_AT3_0,6uqy,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6uqy_2_AT3_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/6uqy_2_AT3_0/6uqy_2_AT3_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/6uqy_2_AT3_0/6uqy_2_AT3_0_ligand.pdb,True,True,,,True,manifest_smiles,C[C@@H](O)SCC[N+](C)(C)C,,10.0,4.0,20.23,164.294,0.0,1.0,,1,287,,0.3181818181818182,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,2g7c_1_NAG-GAL-GLA_1,2g7c,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2g7c_1_NAG-GAL-GLA_1_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/2g7c_1_NAG-GAL-GLA_1/2g7c_1_NAG-GAL-GLA_1_protein_processed.pdb,external/PoseBench/data/dockgen_set/2g7c_1_NAG-GAL-GLA_1/2g7c_1_NAG-GAL-GLA_1_ligand.pdb,True,True,,,True,manifest_smiles,CC(O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@@H](CO)O[C@H]1O,C1CCC(OC2CCOC(OC3CCCOC3)C2)OC1,37.0,9.0,280.71,547.5070000000003,3.0,16.0,,1,245,,0.5909090909090909,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
