dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1YWR_LI9,1ywr,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YWR_LI9_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1YWR_LI9/1YWR_LI9_protein.pdb,external/PoseBench/data/astex_diverse_set/1YWR_LI9/1YWR_LI9_ligand.sdf,True,True,True,True,True,sdf,C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n(C3CCNCC3)n2C)n1)c1ccccc1,O=c1c(-c2ccccc2)c(-c2ccnc(NCc3ccccc3)n2)[nH]n1C1CCNCC1,35.0,6.0,76.77000000000001,472.5680000000001,5.0,1.0,,1,338,,0.2758620689655172,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,2BM2_PM2,2bm2,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/2BM2_PM2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/2BM2_PM2/2BM2_PM2_protein.pdb,external/PoseBench/data/astex_diverse_set/2BM2_PM2/2BM2_PM2_ligand.sdf,True,True,True,True,True,sdf,NCc1cccc(C2CCN(C(=O)c3cncc(CCc4ccccc4)c3)CC2)c1,O=C(c1cncc(CCc2ccccc2)c1)N1CCC(c2ccccc2)CC1,30.0,6.0,59.220000000000006,399.5380000000001,4.0,0.0,,4,972,,0.3333333333333333,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1K3U_IAD,1k3u,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1K3U_IAD_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1K3U_IAD/1K3U_IAD_protein.pdb,external/PoseBench/data/astex_diverse_set/1K3U_IAD/1K3U_IAD_ligand.sdf,True,True,True,True,True,sdf,O=C(O)C[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)O,c1ccc2[nH]ccc2c1,21.0,6.0,119.48999999999998,290.275,2.0,1.0,,2,662,,0.5454545454545454,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3o7j_1_2AL_0,3o7j,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3o7j_1_2AL_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3o7j_1_2AL_0/3o7j_1_2AL_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/3o7j_1_2AL_0/3o7j_1_2AL_0_ligand.pdb,True,True,,,True,manifest_smiles,NC(O)NC1NC(O)NC1O,C1CNCN1,11.0,2.0,122.8,164.165,1.0,4.0,,1,166,,0.1454545454545454,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,6yaq_1_OHZ_0,6yaq,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6yaq_1_OHZ_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/6yaq_1_OHZ_0/6yaq_1_OHZ_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/6yaq_1_OHZ_0/6yaq_1_OHZ_0_ligand.pdb,True,True,,,True,manifest_smiles,OCCC1CCCC[C@H]1N[C@H](O)N[C@H]1C[C@@H](Cl)C[C@@H](OC(F)(F)F)C1,C1CCC(NCNC2CCCCC2)CC1,25.0,7.0,73.75,388.8580000000002,2.0,6.0,,1,499,,0.1774193548387097,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,2gah_1_NAD_0,2gah,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gah_1_NAD_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/2gah_1_NAD_0/2gah_1_NAD_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/2gah_1_NAD_0/2gah_1_NAD_0_ligand.pdb,True,True,,,True,manifest_smiles,NC(O)C1CCCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C(N)NCNC54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C1,C1CCN(C2CCC(COPOPOCC3CCC(N4CNC5CNCNC54)O3)O2)CC1,44.0,11.0,322.83000000000004,683.5900000000003,5.0,13.0,,1,948,,0.2159090909090909,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,6rz2_1_5CD_2,6rz2,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6rz2_1_5CD_2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/6rz2_1_5CD_2/6rz2_1_5CD_2_protein_processed.pdb,external/PoseBench/data/dockgen_set/6rz2_1_5CD_2/6rz2_1_5CD_2_ligand.pdb,True,True,,,True,manifest_smiles,NC1NCNC2[C@H]1NCN2[C@@H]1O[C@H](CCl)[C@@H](O)[C@H]1O,C1COC(N2CNC3CNCNC32)C1,19.0,2.0,115.04,293.755,3.0,7.0,,2,536,,0.2333333333333333,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,6pa6_2_ASN_0,6pa6,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6pa6_2_ASN_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/6pa6_2_ASN_0/6pa6_2_ASN_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/6pa6_2_ASN_0/6pa6_2_ASN_0_ligand.pdb,True,True,,,True,manifest_smiles,NC(O)C[C@H](N)C(O)O,,9.0,3.0,112.73,136.151,0.0,2.0,,2,640,,0.25,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,2hs3_1_FGR_0,2hs3,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2hs3_1_FGR_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/2hs3_1_FGR_0/2hs3_1_FGR_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/2hs3_1_FGR_0/2hs3_1_FGR_0_ligand.pdb,True,True,,,True,manifest_smiles,OCNCC(O)N[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]1O,C1CCOC1,20.0,8.0,184.13,320.235,1.0,5.0,,1,602,,0.2857142857142857,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4xdr_1_ADN_0,4xdr,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4xdr_1_ADN_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4xdr_1_ADN_0/4xdr_1_ADN_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/4xdr_1_ADN_0/4xdr_1_ADN_0_ligand.pdb,True,True,,,True,manifest_smiles,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C1COC(N2CNC3CNCNC32)C1,19.0,2.0,135.27,275.309,3.0,7.0,,1,329,,0.3272727272727272,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3o02_2_JN3_0,3o02,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3o02_2_JN3_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3o02_2_JN3_0/3o02_2_JN3_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/3o02_2_JN3_0/3o02_2_JN3_0_ligand.pdb,True,True,,,True,manifest_smiles,C[C@H](CCC(O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C1CCC2C(C1)CCC1C3CCCC3CCC21,28.0,4.0,80.92,394.5960000000002,4.0,10.0,,1,267,,0.7450980392156863,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
