dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1YGC_905,1ygc,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YGC_905_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1YGC_905/1YGC_905_protein.pdb,external/PoseBench/data/astex_diverse_set/1YGC_905/1YGC_905_ligand.sdf,True,True,True,True,True,sdf,CCOc1cc(OCC)c(F)c([C@@H](Nc2ccc(C(=N)N)c(O)c2)C(=O)NS(=O)(=O)c2cccc(N)c2)c1,O=C(NS(=O)(=O)c1ccccc1)C(Nc1ccccc1)c1ccccc1,38.0,11.0,189.85,545.5930000000002,3.0,1.0,,2,307,,0.2888888888888888,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1LPZ_CMB,1lpz,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1LPZ_CMB_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1LPZ_CMB/1LPZ_CMB_protein.pdb,external/PoseBench/data/astex_diverse_set/1LPZ_CMB/1LPZ_CMB_ligand.sdf,True,True,True,True,True,sdf,Cc1cccc2c1cc(C(=O)NCc1cc(Cl)cc(Cl)c1)n2Cc1cccc(C(=N)N)c1,O=C(NCc1ccccc1)c1cc2ccccc2n1Cc1ccccc1,32.0,6.0,83.9,465.384,4.0,0.0,,2,287,,0.3717948717948718,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
astex_diverse,1HP0_AD3,1hp0,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HP0_AD3_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_protein.pdb,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand.sdf,True,True,True,True,True,sdf,Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,c1cc2c(cn1)ncn2C1CCCO1,19.0,2.0,126.65,266.257,3.0,4.0,,2,641,,0.6458333333333334,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3nvv_1_MTE_1,3nvv,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3nvv_1_MTE_1_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3nvv_1_MTE_1/3nvv_1_MTE_1_protein_processed.pdb,external/PoseBench/data/dockgen_set/3nvv_1_MTE_1/3nvv_1_MTE_1_ligand.pdb,True,True,,,True,manifest_smiles,NC1NC(O)C2N[C@@H]3[C@H](NC2N1)O[C@H](CO[PH](O)(O)O)C(S)[C@@H]3S,C1COC2NC3NCNCC3NC2C1,24.0,3.0,173.51999999999998,405.439,3.0,9.0,,2,909,,0.1641791044776119,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,6o6y_1_ACK_0,6o6y,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6o6y_1_ACK_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/6o6y_1_ACK_0/6o6y_1_ACK_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/6o6y_1_ACK_0/6o6y_1_ACK_0_ligand.pdb,True,True,,,True,manifest_smiles,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO)[C@H]2O[PH]([O-])(O)O[C@H]21,C1NCC2NCN(C3OCC4OPOC43)C2N1,22.0,2.0,156.56,338.281,4.0,7.0,,2,865,,0.1944444444444444,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,2zcz_2_TRP_3,2zcz,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2zcz_2_TRP_3_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/2zcz_2_TRP_3/2zcz_2_TRP_3_protein_processed.pdb,external/PoseBench/data/dockgen_set/2zcz_2_TRP_3/2zcz_2_TRP_3_ligand.pdb,True,True,,,True,manifest_smiles,N[C@@H](CC1CNC2CCCCC12)C(O)O,C1CCC2NCCC2C1,15.0,3.0,78.51,214.309,2.0,4.0,,2,139,,0.2195121951219512,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4zqx_1_ATP_2,4zqx,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4zqx_1_ATP_2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4zqx_1_ATP_2/4zqx_1_ATP_2_protein_processed.pdb,external/PoseBench/data/dockgen_set/4zqx_1_ATP_2/4zqx_1_ATP_2_ligand.pdb,True,True,,,True,manifest_smiles,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O,C1COC(N2CNC3CNCNC32)C1,31.0,8.0,284.34,521.294,3.0,7.0,,1,236,,0.24,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4phr_1_UDP_0,4phr,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4phr_1_UDP_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4phr_1_UDP_0/4phr_1_UDP_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/4phr_1_UDP_0/4phr_1_UDP_0_ligand.pdb,True,True,,,True,manifest_smiles,OC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,C1COC(N2CCCNC2)C1,25.0,6.0,225.03,414.241,2.0,6.0,,1,277,,0.2537313432835821,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,4cnl_1_CHT_1,4cnl,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4cnl_1_CHT_1_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/4cnl_1_CHT_1/4cnl_1_CHT_1_protein_processed.pdb,external/PoseBench/data/dockgen_set/4cnl_1_CHT_1/4cnl_1_CHT_1_ligand.pdb,True,True,,,True,manifest_smiles,C[N+](C)(C)CCO,,7.0,2.0,20.23,104.173,0.0,0.0,,1,182,,0.3076923076923077,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3q14_1_PCR_3,3q14,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3q14_1_PCR_3_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3q14_1_PCR_3/3q14_1_PCR_3_protein_processed.pdb,external/PoseBench/data/dockgen_set/3q14_1_PCR_3/3q14_1_PCR_3_ligand.pdb,True,True,,,True,manifest_smiles,CC1CCC(O)CC1,C1CCCCC1,8.0,0.0,20.23,114.188,1.0,0.0,,2,593,,0.4285714285714285,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
dockgen,3zjx_1_BOG_0,3zjx,True,external/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3zjx_1_BOG_0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/dockgen_set/3zjx_1_BOG_0/3zjx_1_BOG_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/3zjx_1_BOG_0/3zjx_1_BOG_0_ligand.pdb,True,True,,,True,manifest_smiles,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C1CCOCC1,20.0,9.0,99.38,292.372,1.0,5.0,,1,277,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
