detector,target_risk,n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper
rank_confidence_structure_memory,0.1,4727,2425,0.5130103659826528,0.0903092783505154,0.9096907216494844,0.100460288919626
rank_confidence_structure_memory,0.15,4727,2967,0.6276708271631055,0.1398719245028648,0.8601280754971352,0.1507776548674402
rank_confidence_structure_memory,0.2,4727,3382,0.7154643537127142,0.1892371377882909,0.810762862211709,0.200661278282515
rank_confidence_structure_memory,0.25,4727,3722,0.7873915802834779,0.2380440623320795,0.7619559376679205,0.2498110533193128
rank_confidence_structure_memory,0.3,4727,4071,0.861222762851703,0.2861704740849914,0.7138295259150086,0.2980562444603175
rank_confidence_structure_memory,0.35,4727,4432,0.9375925534165432,0.3379963898916967,0.6620036101083033,0.3498732013299941
rank_confidence_structure_memory_shuffled,0.1,4727,1987,0.4203511741061984,0.0875691997986914,0.9124308002013084,0.0987087721796791
rank_confidence_structure_memory_shuffled,0.15,4727,2630,0.5563782525914956,0.1395437262357414,0.8604562737642586,0.151145198628483
rank_confidence_structure_memory_shuffled,0.2,4727,3169,0.6704040617727945,0.1887030609024929,0.8112969390975071,0.2005047001698961
rank_confidence_structure_memory_shuffled,0.25,4727,3599,0.7613708483181723,0.2358988607946651,0.7641011392053348,0.2478350762187969
rank_confidence_structure_memory_shuffled,0.3,4727,4031,0.852760736196319,0.2872736293723641,0.7127263706276359,0.2992322628762552
rank_confidence_structure_memory_shuffled,0.35,4727,4415,0.9339961920880052,0.3372593431483578,0.6627406568516421,0.3491534606349661
