conformal_mode,target_risk,memory_bin,n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper
marginal_global_threshold,0.2,high,2100,2045,0.9738095238095238,0.0943765281173594,0.9056234718826406,0.1056908227410311
mondrian_memory_bin,0.2,high,2100,2099,0.9995238095238095,0.1110052405907575,0.8889947594092424,0.1229271478865569
marginal_global_threshold,0.2,low,528,56,0.106060606060606,0.3928571428571428,0.6071428571428572,0.5114980407204273
mondrian_memory_bin,0.2,low,528,0,0.0,,,
marginal_global_threshold,0.2,mid,2099,1281,0.6102906145783706,0.3317720530835285,0.6682279469164716,0.3540728597009089
mondrian_memory_bin,0.2,mid,2099,530,0.252501191043354,0.1811320754716981,0.8188679245283019,0.21089673545995294
marginal_global_threshold,0.25,high,2100,2079,0.99,0.1043771043771043,0.8956228956228957,0.1160644133891082
mondrian_memory_bin,0.25,high,2100,2099,0.9995238095238095,0.1110052405907575,0.8889947594092424,0.1229271478865569
marginal_global_threshold,0.25,low,528,92,0.1742424242424242,0.5434782608695652,0.4565217391304348,0.6322788114127491
mondrian_memory_bin,0.25,low,528,0,0.0,,,
marginal_global_threshold,0.25,mid,2099,1551,0.7389232968080038,0.399097356544165,0.6009026434558349,0.4200023248411744
mondrian_memory_bin,0.25,mid,2099,813,0.38732729871367316,0.22386223862238622,0.7761377613776138,0.24924908164389406
marginal_global_threshold,0.3,high,2100,2087,0.9938095238095238,0.1063727839003354,0.8936272160996646,0.1181264331044026
mondrian_memory_bin,0.3,high,2100,2099,0.9995238095238095,0.1110052405907575,0.8889947594092424,0.1229271478865569
marginal_global_threshold,0.3,low,528,171,0.3238636363636363,0.6900584795321637,0.3099415204678363,0.74832599951159
mondrian_memory_bin,0.3,low,528,0,0.0,,,
marginal_global_threshold,0.3,mid,2099,1813,0.863744640304907,0.4550468836183122,0.5449531163816879,0.4746034145230132
mondrian_memory_bin,0.3,mid,2099,1022,0.48689852310624104,0.27690802348336596,0.723091976516634,0.3008799666111019
