selector,baseline,n_cases,selector_success,baseline_success,delta_success,rescued,harmed,net_rescue,binomial_p_greater
lodo_hgb_full_memory,DiffDock-L default s10/t20,702,0.44871794871794873,0.3817663817663818,0.06695156695156695,68,21,47,2.9933354140206245e-07
lodo_hgb_full_memory,Chai-1 full receptor s5/t200,702,0.44871794871794873,0.3817663817663818,0.06695156695156695,91,44,47,3.21419034844409e-05
lodo_hgb_full_memory,lodo_method_prior_recomputed,702,0.44871794871794873,0.3561253561253561,0.09259259259259262,79,14,65,1.80889037430031e-12
lodo_hgb_full_memory,lodo_hgb_no_memory,702,0.44871794871794873,0.45584045584045585,-0.007122507122507116,10,15,-5,0.885238528251648
lodo_hgb_validity_aware,DiffDock-L default s10/t20,702,0.452991452991453,0.3817663817663818,0.07122507122507121,77,27,50,4.850865402264232e-07
lodo_hgb_validity_aware,Chai-1 full receptor s5/t200,702,0.452991452991453,0.3817663817663818,0.07122507122507121,85,35,50,2.866484951425488e-06
lodo_hgb_validity_aware,lodo_method_prior_recomputed,702,0.452991452991453,0.3561253561253561,0.09686609686609687,86,18,68,4.109959024468529e-12
lodo_hgb_validity_aware,lodo_hgb_no_memory,702,0.452991452991453,0.45584045584045585,-0.0028490028490028574,15,17,-2,0.7016925520729274
lodo_hgb_validity_aware,lodo_hgb_full_memory,702,0.452991452991453,0.44871794871794873,0.004273504273504258,9,6,3,0.30361938476562494
borda_prior_confidence_structure,DiffDock-L default s10/t20,702,0.022792022792022793,0.3817663817663818,-0.358974358974359,12,264,-252,1.0
borda_prior_confidence_structure,Chai-1 full receptor s5/t200,702,0.022792022792022793,0.3817663817663818,-0.358974358974359,9,261,-252,1.0
borda_prior_confidence_structure,lodo_method_prior_recomputed,702,0.022792022792022793,0.3561253561253561,-0.3333333333333333,13,247,-234,1.0
borda_prior_confidence_structure,lodo_hgb_no_memory,702,0.022792022792022793,0.45584045584045585,-0.43304843304843305,10,314,-304,1.0
borda_prior_confidence_structure,lodo_hgb_full_memory,702,0.022792022792022793,0.44871794871794873,-0.42592592592592593,10,309,-299,1.0
