evidence,n,success,median_rmsd,pb_valid_all,delta_vs_official,source_table,auroc,auprc,ece_10bin,failure_capture_rate,ci,mean_unstructured_all_f1_delta,improved_unstructured_all_f1_rate,method,case_coverage,rescued_vs_lodo_run_prior,harmed_vs_lodo_run_prior,net_rescue_vs_lodo_run_prior,coverage,failure_rate,failure_cp_upper,rescued_vs_official,harmed_vs_official,net_rescue_vs_official,categories,public_pool_coverage,fallback_cases,ok_rate,oracle_success_2a,median_oracle_rmsd,gate_status,fraction,median_pocket_ca_rmsd,median_receptor_ca_rmsd
official_ranking,4727.0,0.6244975671673366,1.109410047531128,0.6682938735660239,0.0,nested/rule/component summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
official_ranking_low_memory,528.0,0.1382575757575757,8.14870548248291,0.4124748490945674,0.0,nested/rule/component summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nested_rank_structure_memory_rescue,4727.0,0.6299978844933362,1.093890905380249,0.6755193268472258,,nested/rule/component summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nested_rank_structure_memory_rescue_low_memory,528.0,0.1515151515151515,8.14870548248291,0.4175588865096359,,nested/rule/component summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best_rule_or_physics_filter_low_memory,528.0,0.1458333333333333,8.098996639251709,0.4709976798143852,,nested/rule/component summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
query_group_failure_detector,4727.0,,,,,failure_detector_metrics,0.9030705370433988,0.8467298668733021,0.0549695077189053,,,,,,,,,,,,,,,,,,,,,,,,,
method_heldout_detector_mean,675.2857142857143,,,,,method_heldout_failure_detector,0.9428479752697957,0.9024617180916985,0.08017131923425917,,,,,,,,,,,,,,,,,,,,,,,,,
selective_deployment_80pct_retained,,0.7550912457021952,,,,selective_fixed_coverage_ci,,,,0.4783098591549296,"[0.7231667371990775, 0.7875276530673996]",,,,,,,,,,,,,,,,,,,,,,,
rescued_case_interaction_recovery,11.0,,,,,interaction_recovery_delta_summary,,,,,,0.0234043030363992,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,
posebench_public_coverage_qualified_best_astex_diverse,61.0,0.7540983606557377,0.9224308379924452,0.7868852459016393,,posebench_public_prediction_best_run_summary,,,,,,,,boltz,0.7176470588235294,,,,,,,,,,,,,,,,,,,
posebench_public_coverage_qualified_best_dockgen,99.0,0.1919191919191919,10.42349481140243,0.0505050505050505,,posebench_public_prediction_best_run_summary,,,,,,,,neuralplexer,0.5238095238095238,,,,,,,,,,,,,,,,,,,
posebench_public_coverage_qualified_best_posebusters_benchmark,261.0,0.5517241379310345,1.61877381700408,0.7547892720306514,,posebench_public_prediction_best_run_summary,,,,,,,,boltz_ss,0.6098130841121495,,,,,,,,,,,,,,,,,,,
posebench_external_lodo_selection_lodo_prior_physics_calibrated,489.0,0.4989775051124744,1.993497692235396,0.6012269938650306,,posebench_external_selection_summary,,,,,,,,,0.6965811965811965,4.0,1.0,3.0,,,,,,,,,,,,,,,,
posebench_external_lodo_selection_lodo_run_prior,489.0,0.492842535787321,2.130415121519748,0.5685071574642127,,posebench_external_selection_summary,,,,,,,,,0.6965811965811965,,,,,,,,,,,,,,,,,,,
posebench_external_lodo_selection_lodo_logreg_antimemory_weighted,489.0,0.4498977505112474,2.653666891684344,0.6073619631901841,,posebench_external_selection_summary,,,,,,,,,0.6965811965811965,16.0,37.0,-21.0,,,,,,,,,,,,,,,,
conformal_selective_risk_target_0.20,3382.0,0.810762862211709,,,,conformal_risk_control_summary,,,,,,,,,,,,,0.7154643537127142,0.1892371377882909,0.200661278282515,,,,,,,,,,,,,
conformal_selective_risk_target_0.25,3722.0,0.7619559376679205,,,,conformal_risk_control_summary,,,,,,,,,,,,,0.7873915802834779,0.2380440623320795,0.2498110533193128,,,,,,,,,,,,,
conformal_selective_risk_target_0.30,4071.0,0.7138295259150086,,,,conformal_risk_control_summary,,,,,,,,,,,,,0.861222762851703,0.2861704740849914,0.2980562444603175,,,,,,,,,,,,,
evidence_fusion_method_fusion_rank_confidence_structure_memory_physics_antimemory,4727.0,0.701290459064946,0.8607560396194458,0.9972498413370002,0.0767928918976094,evidence_fusion_selection_summary,,,,,,,,,,,,,,,,376.0,13.0,363.0,,,,,,,,,,
evidence_fusion_method_fusion_rank_confidence_structure_memory,4727.0,0.7010789083985615,0.8676759004592896,0.9972498413370002,0.0765813412312248,evidence_fusion_selection_summary,,,,,,,,,,,,,,,,377.0,15.0,362.0,,,,,,,,,,
evidence_fusion_method_fusion_rank_confidence_structure_memory_physics,4727.0,0.7010789083985615,0.8676759004592896,0.9972498413370002,0.0765813412312248,evidence_fusion_selection_summary,,,,,,,,,,,,,,,,377.0,15.0,362.0,,,,,,,,,,
evidence_fusion_method_fusion_rank_confidence_structure,4727.0,0.7006558070657922,0.8566944599151611,0.9972498413370002,0.0761582398984556,evidence_fusion_selection_summary,,,,,,,,,,,,,,,,376.0,16.0,360.0,,,,,,,,,,
main_case_taxonomy_categories,27,,,,,main_case_taxonomy_summary,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,
case_figure_readiness_main_text_candidates,5,,,,,case_figure_readiness,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
case_figure_contact_sheet_rendered_candidates,5,,,,,case_figure_contact_sheet_selection,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
posebench_702_full_coverage_hybrid_audit,702.0,0.3532763532763532,4.760998124643313,,,posebench_full_coverage_hybrid_702_summary,,,,,,,,,1.0,,,,,,,,,,,0.6965811965811965,213.0,,,,,,,
posebench_702_controlled_candidate_stack_selector,702.0,0.4487179487179487,2.7367842735992745,,,posebench_full_controlled_selector_summary,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
posebench_702_vina_full_classical_baseline,702.0,0.0202020202020202,5.744706519919012,,,posebench_vina_full_702_summary_full_exh8,,,,,,,,,,,,,,,,,,,,,,0.9871794871794872,0.036075036075036,4.510863476951205,,,,
posebench_controlled_boltz1_cofolding_smoke,7.0,0.0,10.669103092684823,,,posebench_boltz1_gpu_smoke_r1_s20_summary,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
posebench_controlled_boltz1_full_receptor_stress,702.0,0.0,10.83523730778451,,,posebench_boltz1_gpu_full_r1_s20_summary,,,,,,,,,,,,,,,,,,,,,,0.9301994301994302,,,,,,
posebench_controlled_diffdock_l_smoke,4.0,0.0,26.491614899803203,,,posebench_diffdock_l_gpu_smoke_s5_t10_summary,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12.956196681360492,,,,
posebench_controlled_diffdock_l_default_full702,702.0,0.3817663817663818,3.4532441501892936,,,posebench_diffdock_l_gpu_default_s10_t20_summary,,,,,,,,,,,,,,,,,,,,,,0.9857549857549858,0.3453757225433526,4.060801580784267,,,,
posebench_chai1_gpu_readiness_gate,702.0,,,,,posebench_chai1_gpu_readiness_summary,,,,,,,,,,,,,,,,,,,0.0,,,,,,ready_to_launch_queue,,,
posebench_diffdock_l_full702_failure_taxonomy,10.0,,,,,posebench_diffdock_l_gpu_default_s10_t20_failure_summary,,,,,,,,,,,,,,,,,,,4.0,,,0.9857549857549858,,,,,,
