k,same_generator,n_exact_matched_cases,cross_selector_success,same_selector_success,cross_oracle_success,same_oracle_success,cross_median_rmsd,same_median_rmsd,cross_vs_same_delta_success,cross_vs_same_ci_low,cross_vs_same_ci_high,cross_vs_same_wins,cross_vs_same_losses,cross_vs_same_ties,cross_vs_same_sign_p,candidate_count_definition
1,Boltz,702,0.45726495726495725,0.31196581196581197,0.45726495726495725,0.31196581196581197,2.43490866253296,6.975550442347624,0.1452991452991453,0.11823361823361823,0.1737891737891738,107,5,590,5.415668049444863e-26,exact K on both sides
1,Chai,702,0.45726495726495725,0.36182336182336183,0.45726495726495725,0.36182336182336183,2.43490866253296,3.84704602429861,0.09544159544159544,0.0584045584045584,0.13247863247863248,122,55,525,5.194305648357268e-07,exact K on both sides
1,DiffDock,702,0.45726495726495725,0.349002849002849,0.45726495726495725,0.349002849002849,2.43490866253296,4.191232333494928,0.10826210826210826,0.07264957264957266,0.1452991452991453,127,51,524,1.1450505574953306e-08,exact K on both sides
1,DynamicBind,464,0.49353448275862066,0.17672413793103448,0.49353448275862066,0.17672413793103448,2.051248668532917,6.306400979312489,0.3168103448275862,0.2650862068965517,0.36853448275862066,172,25,267,3.5135043744932874e-28,exact K on both sides
1,NeuralPlexer,477,0.5010482180293501,0.1530398322851153,0.5010482180293501,0.1530398322851153,1.9858183487488534,6.404065241566117,0.3480083857442348,0.29979035639413,0.39622641509433965,180,14,283,6.548570011180005e-38,exact K on both sides
1,RFAA,353,0.5439093484419264,0.2577903682719547,0.5439093484419264,0.2577903682719547,1.7106552528685222,4.634665879690103,0.28611898016997167,0.22946175637393768,0.34277620396600567,118,17,218,8.63455821908055e-20,exact K on both sides
2,Boltz,702,0.5356125356125356,0.32051282051282054,0.5655270655270656,0.32051282051282054,1.7126483309847933,6.419880004558152,0.2150997150997151,0.18233618233618235,0.24786324786324787,159,8,535,1.4237142509591413e-37,exact K on both sides
2,Chai,474,0.5970464135021097,0.4092827004219409,0.6118143459915611,0.41983122362869196,1.4234325443887084,2.752232049179041,0.1877637130801688,0.14767932489451477,0.229957805907173,103,14,357,6.384202700912359e-18,exact K on both sides
2,DiffDock,419,0.5990453460620525,0.39618138424821003,0.6133651551312649,0.4009546539379475,1.3906487446070779,3.2972923638949574,0.20286396181384247,0.1575178997613365,0.24821002386634844,98,13,308,2.6582841860054018e-17,exact K on both sides
2,DynamicBind,463,0.5961123110151187,0.1900647948164147,0.6133909287257019,0.19438444924406048,1.4275678486954744,6.409040375099471,0.4060475161987041,0.3563714902807775,0.4557235421166307,202,14,247,7.318945407213596e-44,exact K on both sides
2,NeuralPlexer,477,0.6016771488469602,0.1949685534591195,0.6184486373165619,0.20335429769392033,1.3906487446070779,5.8430732866170505,0.40670859538784065,0.36058700209643607,0.4549266247379455,202,8,267,1.036871457424053e-49,exact K on both sides
2,RFAA,353,0.6317280453257791,0.28328611898017,0.6402266288951841,0.29178470254957506,1.2808943519624847,4.699863679357675,0.34844192634560905,0.29178470254957506,0.40793201133144474,138,15,200,4.350270369024449e-26,exact K on both sides
4,Boltz,412,0.6650485436893204,0.6189320388349514,0.7014563106796117,0.6286407766990292,1.197506330975863,1.348529485911199,0.04611650485436893,0.009708737864077669,0.08495145631067962,42,23,347,0.024811974571552164,exact K on both sides
4,Chai,470,0.6361702127659574,0.425531914893617,0.6702127659574468,0.451063829787234,1.3041653159204918,2.4080747736142505,0.21063829787234042,0.16808510638297872,0.2553191489361702,115,16,339,1.1776108395283485e-19,exact K on both sides
4,DiffDock,418,0.638755980861244,0.47129186602870815,0.6722488038277512,0.4880382775119617,1.2193345227349763,2.5035606016830543,0.1674641148325359,0.12440191387559808,0.21291866028708134,84,14,320,2.4575158375112673e-13,exact K on both sides
4,NeuralPlexer,477,0.6373165618448637,0.2348008385744235,0.6771488469601677,0.2578616352201258,1.282630080342731,4.921436243196599,0.4025157232704403,0.35639412997903563,0.44863731656184486,200,8,269,3.838328256567196e-49,exact K on both sides
8,Boltz,412,0.6650485436893204,0.6359223300970874,0.7233009708737864,0.6601941747572816,1.1945025977368144,1.1908084061538675,0.02912621359223301,-0.009708737864077669,0.06796116504854369,41,29,342,0.18821620302302766,exact K on both sides
