dataset,mol_id,regime,ledger_n,reconstructed_n,ledger_oracle,reconstructed_oracle
astex_diverse,1GPK_HUP,successful,32,32,True,True
astex_diverse,1HNN_SKF,successful,32,32,True,True
astex_diverse,1HP0_AD3,discrimination-limited,32,32,True,True
astex_diverse,1HQ2_PH2,successful,32,32,True,True
astex_diverse,1HWW_SWA,successful,32,32,True,True
astex_diverse,1IA1_TQ3,successful,32,32,True,True
astex_diverse,1IG3_VIB,successful,32,32,True,True
astex_diverse,1JD0_AZM,successful,32,32,True,True
astex_diverse,1JJE_BYS,discrimination-limited,32,32,True,True
astex_diverse,1JLA_TNK,successful,32,32,True,True
astex_diverse,1K3U_IAD,successful,32,32,True,True
astex_diverse,1KE5_LS1,successful,32,32,True,True
astex_diverse,1KZK_JE2,successful,32,32,True,True
astex_diverse,1L2S_STC,successful,32,32,True,True
astex_diverse,1L7F_BCZ,successful,32,32,True,True
astex_diverse,1M2Z_DEX,successful,32,32,True,True
astex_diverse,1MEH_MOA,successful,32,32,True,True
astex_diverse,1N2J_PAF,successful,32,32,True,True
astex_diverse,1N2V_BDI,successful,32,32,True,True
astex_diverse,1N46_PFA,successful,32,32,True,True
astex_diverse,1NAV_IH5,successful,32,32,True,True
astex_diverse,1OF1_SCT,successful,32,32,True,True
astex_diverse,1OPK_P16,successful,32,32,True,True
astex_diverse,1OQ5_CEL,discrimination-limited,32,32,True,True
astex_diverse,1OWE_675,successful,32,32,True,True
astex_diverse,1OYT_FSN,successful,32,32,True,True
astex_diverse,1P62_GEO,successful,32,32,True,True
astex_diverse,1PMN_984,successful,32,32,True,True
astex_diverse,1Q41_IXM,successful,32,32,True,True
astex_diverse,1R1H_BIR,successful,32,32,True,True
astex_diverse,1R55_097,successful,32,32,True,True
astex_diverse,1R58_AO5,successful,32,32,True,True
astex_diverse,1S19_MC9,successful,32,32,True,True
astex_diverse,1S3V_TQD,successful,32,32,True,True
astex_diverse,1SG0_STL,successful,32,32,True,True
astex_diverse,1SJ0_E4D,successful,32,32,True,True
astex_diverse,1SQN_NDR,successful,32,32,True,True
astex_diverse,1T40_ID5,successful,32,32,True,True
astex_diverse,1T46_STI,successful,32,32,True,True
astex_diverse,1TOW_CRZ,successful,32,32,True,True
astex_diverse,1TT1_KAI,successful,32,32,True,True
astex_diverse,1U4D_DBQ,successful,32,32,True,True
astex_diverse,1UML_FR4,successful,32,32,True,True
astex_diverse,1UOU_CMU,successful,32,32,True,True
astex_diverse,1V0P_PVB,successful,32,32,True,True
astex_diverse,1V48_HA1,successful,32,32,True,True
astex_diverse,1V4S_MRK,successful,32,32,True,True
astex_diverse,1VCJ_IBA,successful,32,32,True,True
astex_diverse,1W2G_THM,successful,32,32,True,True
astex_diverse,1X8X_TYR,successful,32,32,True,True
astex_diverse,1XM6_5RM,successful,32,32,True,True
astex_diverse,1XOZ_CIA,successful,32,32,True,True
astex_diverse,1Y6B_AAX,successful,32,32,True,True
astex_diverse,1YQY_915,successful,32,32,True,True
astex_diverse,1YV3_BIT,successful,32,32,True,True
astex_diverse,1YVF_PH7,successful,32,32,True,True
astex_diverse,1YWR_LI9,successful,32,32,True,True
astex_diverse,1Z95_198,successful,32,32,True,True
astex_diverse,2BR1_PFP,successful,32,32,True,True
astex_diverse,2BSM_BSM,successful,32,32,True,True
dockgen,1o72_2_PC_0,successful,32,32,True,True
dockgen,1sij_1_PCD_0,successful,32,32,True,True
dockgen,1tke_1_SER_0,discrimination-limited,32,32,True,True
dockgen,1tkg_1_SSA_0,successful,32,32,True,True
dockgen,1u8u_1_OCA_0,successful,32,32,True,True
dockgen,1uf5_1_CDT_0,successful,32,32,True,True
dockgen,1v2g_1_OCA_0,successful,32,32,True,True
dockgen,2hk9_1_SKM_0,successful,32,32,True,True
dockgen,2hs3_1_FGR_0,successful,32,32,True,True
dockgen,2q37_1_3AL_0,successful,32,32,True,True
dockgen,2q6k_1_ADN_1,successful,32,32,True,True
dockgen,2r4e_1_13P_0,discrimination-limited,32,32,True,True
dockgen,2vfu_1_MTL_0,successful,32,32,True,True
dockgen,2wr8_1_SAH_1,successful,32,32,True,True
dockgen,2wwc_1_CHT_2,successful,32,32,True,True
dockgen,2zcz_2_TRP_3,successful,32,32,True,True
dockgen,2zd0_1_TRP_9,successful,32,32,True,True
dockgen,2ze9_1_PD7_0,discrimination-limited,32,32,True,True
dockgen,3o7j_1_2AL_0,successful,32,32,True,True
dockgen,3s6a_1_ANP_0,successful,32,32,True,True
dockgen,3ub7_1_ACM_1,successful,32,32,True,True
dockgen,3ub9_1_NHY_1,successful,32,32,True,True
dockgen,4b4v_1_L34_0,successful,32,32,True,True
dockgen,4cdn_2_FAD_0,successful,32,32,True,True
dockgen,4cnl_1_CHT_1,successful,32,32,True,True
dockgen,4h2f_1_ADN_0,successful,32,32,True,True
dockgen,4o95_1_245_0,successful,32,32,True,True
dockgen,4oal_2_245_0,successful,32,32,True,True
dockgen,4pfx_1_UDP_0,successful,32,32,True,True
dockgen,4phr_1_UDP_0,successful,32,32,True,True
dockgen,4phs_1_UDP_0,successful,32,32,True,True
dockgen,4u63_1_FAD_0,successful,32,32,True,True
dockgen,4xfm_1_THE_0,successful,32,32,True,True
dockgen,4ydx_1_TCE_0,discrimination-limited,32,32,True,True
dockgen,5f2t_1_PLM_0,successful,32,32,True,True
dockgen,5hmr_1_FDZ_0,successful,32,32,True,True
dockgen,5hqx_1_EDZ_0,successful,32,32,True,True
dockgen,5ida_1_BMA_0,successful,32,32,True,True
dockgen,5k3o_2_ASP_0,successful,32,32,True,True
dockgen,5k45_2_GLU_1,successful,32,32,True,True
dockgen,6paa_1_ASP_2,successful,32,32,True,True
dockgen,6qkr_1_FAD_0,successful,32,32,True,True
dockgen,6uqy_2_AT3_0,successful,32,32,True,True
dockgen,6ur1_2_AT3_0,discrimination-limited,32,32,True,True
dockgen,6yao_1_OJ2_0,successful,32,32,True,True
dockgen,1rqp_1_SAM_0,successful,28,28,True,True
dockgen,2v7t_1_SAH_4,successful,32,32,True,True
dockgen,2v7u_1_SAM_2,successful,32,32,True,True
dockgen,2v7v_1_5FD_0,successful,32,32,True,True
dockgen,2v7w_1_5FD_0,successful,32,32,True,True
dockgen,3gf4_1_FAD_1,successful,32,32,True,True
dockgen,3se5_1_ANP_2,successful,32,32,True,True
dockgen,3wrb_1_GDE_0,successful,28,28,True,True
dockgen,3zec_1_ANP_0,successful,28,28,True,True
dockgen,4fyv_1_DCP_2,discrimination-limited,32,32,True,True
dockgen,4kgx_1_CTP_5,successful,32,32,True,True
dockgen,4uoc_1_NCN_1,successful,32,32,True,True
dockgen,5fiu_1_Y3J_3,successful,28,28,True,True
dockgen,5fxe_1_CIY_1,discrimination-limited,28,28,True,True
dockgen,5fxf_1_BEZ_0,discrimination-limited,32,32,True,True
dockgen,5hw0_1_GLU_2,successful,32,32,True,True
dockgen,5k4h_2_GLU_3,successful,32,32,True,True
dockgen,6ep5_1_ADP_1,successful,32,32,True,True
dockgen,6ryz_1_SAM_2,successful,28,28,True,True
posebusters_benchmark,5SB2_1K2,successful,32,32,True,True
posebusters_benchmark,5SD5_HWI,successful,32,32,True,True
posebusters_benchmark,5SIS_JSM,successful,32,32,True,True
posebusters_benchmark,6M2B_EZO,successful,32,32,True,True
posebusters_benchmark,6M73_FNR,successful,32,32,True,True
posebusters_benchmark,6T88_MWQ,successful,32,32,True,True
posebusters_benchmark,6TW7_NZB,successful,32,32,True,True
posebusters_benchmark,6WTN_RXT,successful,32,32,True,True
posebusters_benchmark,6XBO_5MC,successful,32,32,True,True
posebusters_benchmark,6XCT_478,successful,32,32,True,True
posebusters_benchmark,6XG5_TOP,successful,32,32,True,True
posebusters_benchmark,6XHT_V2V,successful,32,32,True,True
posebusters_benchmark,6XM9_V55,discrimination-limited,32,32,True,True
posebusters_benchmark,6YJA_2BA,successful,32,32,True,True
posebusters_benchmark,6YMS_OZH,discrimination-limited,32,32,True,True
posebusters_benchmark,6YQV_8K2,successful,32,32,True,True
posebusters_benchmark,6YQW_82I,successful,32,32,True,True
posebusters_benchmark,6YR2_T1C,successful,32,32,True,True
posebusters_benchmark,6YRV_PJ8,successful,32,32,True,True
posebusters_benchmark,6YSP_PAL,successful,32,32,True,True
posebusters_benchmark,6YT6_PKE,discrimination-limited,32,32,True,True
posebusters_benchmark,6Z0R_Q4H,successful,32,32,True,True
posebusters_benchmark,6Z14_Q4Z,successful,32,32,True,True
posebusters_benchmark,6Z1C_7EY,successful,32,32,True,True
posebusters_benchmark,6ZAE_ACV,successful,32,32,True,True
posebusters_benchmark,6ZC3_JOR,successful,32,32,True,True
posebusters_benchmark,6ZCY_QF8,successful,32,32,True,True
posebusters_benchmark,6ZK5_IMH,successful,32,32,True,True
posebusters_benchmark,6ZPB_3D1,discrimination-limited,32,32,True,True
posebusters_benchmark,7A1P_QW2,successful,32,32,True,True
posebusters_benchmark,7A9H_TPP,discrimination-limited,32,32,True,True
posebusters_benchmark,7AFX_R9K,successful,32,32,True,True
posebusters_benchmark,7AKL_RK5,successful,32,32,True,True
posebusters_benchmark,7AN5_RDH,successful,32,32,True,True
posebusters_benchmark,7B94_ANP,successful,32,32,True,True
posebusters_benchmark,7BCP_GCO,successful,32,32,True,True
posebusters_benchmark,7BJJ_TVW,discrimination-limited,32,32,True,True
posebusters_benchmark,7BMI_U4B,successful,32,32,True,True
posebusters_benchmark,7BTT_F8R,successful,32,32,True,True
posebusters_benchmark,7C0U_FGO,successful,32,32,True,True
posebusters_benchmark,7C3U_AZG,discrimination-limited,32,32,True,True
posebusters_benchmark,7CD9_FVR,successful,32,32,True,True
posebusters_benchmark,7CTM_BDP,discrimination-limited,32,32,True,True
posebusters_benchmark,7CUO_PHB,successful,32,32,True,True
posebusters_benchmark,7D5C_GV6,successful,32,32,True,True
posebusters_benchmark,7DKT_GLF,successful,32,32,True,True
posebusters_benchmark,7DUA_HJ0,successful,32,32,True,True
posebusters_benchmark,7E4L_MDN,successful,32,32,True,True
posebusters_benchmark,7EBG_J0L,successful,32,32,True,True
posebusters_benchmark,7ED2_A3P,discrimination-limited,32,32,True,True
posebusters_benchmark,7ELT_TYM,successful,32,32,True,True
posebusters_benchmark,7EPV_FDA,successful,32,32,True,True
posebusters_benchmark,7ES1_UDP,successful,32,32,True,True
posebusters_benchmark,7F51_BA7,successful,32,32,True,True
posebusters_benchmark,7F5D_EUO,successful,32,32,True,True
posebusters_benchmark,7F8T_FAD,successful,32,32,True,True
posebusters_benchmark,7FB7_8NF,successful,32,32,True,True
posebusters_benchmark,7FHA_ADX,successful,32,32,True,True
posebusters_benchmark,7JG0_GAR,successful,32,32,True,True
posebusters_benchmark,7JMV_4NC,successful,32,32,True,True
posebusters_benchmark,7JXX_VP7,successful,32,32,True,True
posebusters_benchmark,7K0V_VQP,successful,32,32,True,True
posebusters_benchmark,7KC5_BJZ,successful,32,32,True,True
posebusters_benchmark,7KM8_WPD,successful,32,32,True,True
posebusters_benchmark,7KRU_ATP,successful,32,32,True,True
posebusters_benchmark,7KZ9_XN7,successful,32,32,True,True
posebusters_benchmark,7L03_F9F,successful,32,32,True,True
posebusters_benchmark,7L7C_XQ1,successful,32,32,True,True
posebusters_benchmark,7LEV_0JO,successful,32,32,True,True
posebusters_benchmark,7LOE_Y84,discrimination-limited,32,32,True,True
posebusters_benchmark,7LT0_ONJ,successful,32,32,True,True
posebusters_benchmark,7LZD_YHY,successful,32,32,True,True
posebusters_benchmark,7MGT_ZD4,successful,32,32,True,True
posebusters_benchmark,7MGY_ZD1,successful,32,32,True,True
posebusters_benchmark,7MMH_ZJY,successful,32,32,True,True
posebusters_benchmark,7MOI_HPS,successful,32,32,True,True
posebusters_benchmark,7MSR_DCA,successful,32,32,True,True
posebusters_benchmark,7MY1_IPE,successful,32,32,True,True
posebusters_benchmark,7MYU_ZR7,successful,32,32,True,True
posebusters_benchmark,7N03_ZRP,successful,32,32,True,True
posebusters_benchmark,7N4N_0BK,successful,32,32,True,True
posebusters_benchmark,7N4W_P4V,successful,32,32,True,True
posebusters_benchmark,7N7B_T3F,successful,32,32,True,True
posebusters_benchmark,7N7H_CTP,successful,32,32,True,True
posebusters_benchmark,7NF0_BYN,successful,32,32,True,True
posebusters_benchmark,7NF3_4LU,successful,32,32,True,True
posebusters_benchmark,7NGW_UAW,discrimination-limited,32,32,True,True
posebusters_benchmark,7NLV_UJE,successful,32,32,True,True
posebusters_benchmark,7NP6_UK8,successful,32,32,True,True
posebusters_benchmark,7NPL_UKZ,successful,32,32,True,True
posebusters_benchmark,7NSW_HC4,discrimination-limited,32,32,True,True
posebusters_benchmark,7NU0_DCL,successful,32,32,True,True
posebusters_benchmark,7NUT_GLP,successful,32,32,True,True
posebusters_benchmark,7O0N_CDP,successful,32,32,True,True
posebusters_benchmark,7O1T_5X8,successful,32,32,True,True
posebusters_benchmark,7OEO_V9Z,discrimination-limited,32,32,True,True
posebusters_benchmark,7OFF_VCB,discrimination-limited,32,32,True,True
posebusters_benchmark,7OFK_VCH,successful,32,32,True,True
posebusters_benchmark,7OLI_8HG,successful,32,32,True,True
posebusters_benchmark,7OMX_CNA,successful,32,32,True,True
posebusters_benchmark,7OSO_0V1,discrimination-limited,32,32,True,True
posebusters_benchmark,7OZC_G6S,discrimination-limited,32,32,True,True
posebusters_benchmark,7P1M_4IU,successful,32,32,True,True
posebusters_benchmark,7P4C_5OV,successful,32,32,True,True
posebusters_benchmark,7PGX_FMN,successful,32,32,True,True
posebusters_benchmark,7PIH_7QW,successful,32,32,True,True
posebusters_benchmark,7PJQ_OWH,successful,32,32,True,True
posebusters_benchmark,7PK0_BYC,successful,32,32,True,True
posebusters_benchmark,7PL1_SFG,successful,32,32,True,True
posebusters_benchmark,7POM_7VZ,discrimination-limited,32,32,True,True
posebusters_benchmark,7PRI_7TI,discrimination-limited,32,32,True,True
posebusters_benchmark,7PRM_81I,successful,32,32,True,True
posebusters_benchmark,7PT3_3KK,discrimination-limited,32,32,True,True
posebusters_benchmark,7PUV_84Z,successful,32,32,True,True
posebusters_benchmark,7Q27_8KC,successful,32,32,True,True
posebusters_benchmark,7Q2B_M6H,successful,32,32,True,True
posebusters_benchmark,7Q5I_I0F,successful,32,32,True,True
posebusters_benchmark,7QF4_RBF,successful,32,32,True,True
posebusters_benchmark,7QFM_AY3,successful,32,32,True,True
posebusters_benchmark,7QGP_DJ8,discrimination-limited,32,32,True,True
posebusters_benchmark,7QHG_T3B,successful,32,32,True,True
posebusters_benchmark,7QHL_D5P,successful,32,32,True,True
posebusters_benchmark,7QPP_VDX,successful,32,32,True,True
posebusters_benchmark,7QTA_URI,successful,32,32,True,True
posebusters_benchmark,7R3D_APR,successful,32,32,True,True
posebusters_benchmark,7R59_I5F,successful,32,32,True,True
posebusters_benchmark,7R7R_AWJ,successful,32,32,True,True
posebusters_benchmark,7R9N_F97,successful,32,32,True,True
posebusters_benchmark,7RC3_SAH,successful,32,32,True,True
posebusters_benchmark,7RH3_59O,successful,32,32,True,True
posebusters_benchmark,7ROR_69X,discrimination-limited,32,32,True,True
posebusters_benchmark,7ROU_66I,successful,32,32,True,True
posebusters_benchmark,7RSV_7IQ,successful,32,32,True,True
posebusters_benchmark,7SCW_GSP,successful,32,32,True,True
posebusters_benchmark,7SDD_4IP,discrimination-limited,32,32,True,True
posebusters_benchmark,7SIU_9ID,successful,32,32,True,True
posebusters_benchmark,7T1D_E7K,successful,32,32,True,True
posebusters_benchmark,7T3E_SLB,successful,32,32,True,True
posebusters_benchmark,7TBU_S3P,successful,32,32,True,True
posebusters_benchmark,7THI_PGA,successful,32,32,True,True
posebusters_benchmark,7TM6_GPJ,successful,32,32,True,True
posebusters_benchmark,7TOM_5AD,successful,32,32,True,True
posebusters_benchmark,7TYP_KUR,successful,32,32,True,True
posebusters_benchmark,7U0U_FK5,successful,32,32,True,True
posebusters_benchmark,7UAS_MBU,successful,32,32,True,True
posebusters_benchmark,7UAW_MF6,successful,32,32,True,True
posebusters_benchmark,7UJ4_OQ4,successful,32,32,True,True
posebusters_benchmark,7UJ5_DGL,successful,32,32,True,True
posebusters_benchmark,7UJF_R3V,successful,32,32,True,True
posebusters_benchmark,7ULC_56B,successful,32,32,True,True
posebusters_benchmark,7UMW_NAD,successful,32,32,True,True
posebusters_benchmark,7UQ3_O2U,successful,32,32,True,True
posebusters_benchmark,7USH_82V,successful,32,32,True,True
posebusters_benchmark,7UTW_NAI,successful,32,32,True,True
posebusters_benchmark,7UXS_OJC,successful,32,32,True,True
posebusters_benchmark,7UYB_OK0,successful,32,32,True,True
posebusters_benchmark,7V14_ORU,successful,32,32,True,True
posebusters_benchmark,7V3N_AKG,successful,32,32,True,True
posebusters_benchmark,7V3S_5I9,successful,32,32,True,True
posebusters_benchmark,7VBU_6I4,successful,32,32,True,True
posebusters_benchmark,7VC5_9SF,successful,32,32,True,True
posebusters_benchmark,7VKZ_NOJ,successful,32,32,True,True
posebusters_benchmark,7VQ9_ISY,successful,32,32,True,True
posebusters_benchmark,7W05_GMP,successful,32,32,True,True
posebusters_benchmark,7W06_ITN,discrimination-limited,32,32,True,True
posebusters_benchmark,7WCF_ACP,successful,32,32,True,True
posebusters_benchmark,7WDT_NGS,successful,32,32,True,True
posebusters_benchmark,7WJB_BGC,successful,32,32,True,True
posebusters_benchmark,7WKL_CAQ,successful,32,32,True,True
posebusters_benchmark,7WL4_JFU,successful,32,32,True,True
posebusters_benchmark,7WPW_F15,successful,32,32,True,True
posebusters_benchmark,7WQQ_5Z6,successful,32,32,True,True
posebusters_benchmark,7X5N_5M5,successful,32,32,True,True
posebusters_benchmark,7X9K_8OG,successful,32,32,True,True
posebusters_benchmark,7XBV_APC,successful,32,32,True,True
posebusters_benchmark,7XFA_D9J,successful,32,32,True,True
posebusters_benchmark,7XG5_PLP,successful,32,32,True,True
posebusters_benchmark,7XI7_4RI,successful,32,32,True,True
posebusters_benchmark,7XJN_NSD,successful,30,30,True,True
posebusters_benchmark,7XPO_UPG,successful,32,32,True,True
posebusters_benchmark,7XQZ_FPF,successful,32,32,True,True
posebusters_benchmark,7YZU_DO7,successful,32,32,True,True
posebusters_benchmark,7Z1Q_NIO,successful,32,32,True,True
posebusters_benchmark,7Z7F_IF3,discrimination-limited,32,32,True,True
posebusters_benchmark,7ZDY_6MJ,successful,32,32,True,True
posebusters_benchmark,7ZF0_DHR,discrimination-limited,32,32,True,True
posebusters_benchmark,7ZHP_IQY,successful,32,32,True,True
posebusters_benchmark,7ZL5_IWE,successful,32,32,True,True
posebusters_benchmark,7ZOC_T8E,successful,32,32,True,True
posebusters_benchmark,7ZU2_DHT,successful,32,32,True,True
posebusters_benchmark,7ZXV_45D,successful,32,32,True,True
posebusters_benchmark,8AAU_LH0,successful,32,32,True,True
posebusters_benchmark,8AIE_M7L,discrimination-limited,32,32,True,True
posebusters_benchmark,8AY3_OE3,successful,32,32,True,True
posebusters_benchmark,8B8H_OJQ,successful,32,32,True,True
posebusters_benchmark,8BOM_QU6,successful,32,32,True,True
posebusters_benchmark,8BTI_RFO,discrimination-limited,32,32,True,True
posebusters_benchmark,8C3N_ADP,successful,32,32,True,True
posebusters_benchmark,8CSD_C5P,successful,32,32,True,True
posebusters_benchmark,8D19_GSH,discrimination-limited,32,32,True,True
posebusters_benchmark,8D5D_5DK,successful,32,32,True,True
posebusters_benchmark,8DHG_T78,successful,32,32,True,True
posebusters_benchmark,8DKO_TFB,successful,32,32,True,True
posebusters_benchmark,8DP2_UMA,successful,32,32,True,True
posebusters_benchmark,8DSC_NCA,successful,32,32,True,True
posebusters_benchmark,8EAB_VN2,discrimination-limited,32,32,True,True
posebusters_benchmark,8EXL_799,successful,32,32,True,True
posebusters_benchmark,8EYE_X4I,successful,32,32,True,True
posebusters_benchmark,8FLV_ZB9,successful,32,32,True,True
posebusters_benchmark,8GFD_ZHR,successful,32,32,True,True
posebusters_benchmark,8HFN_XGC,successful,32,32,True,True
posebusters_benchmark,8SLG_G5A,successful,32,32,True,True
astex_diverse,1GKC_NFH,successful,26,26,True,True
astex_diverse,1HWI_115,successful,32,32,True,True
astex_diverse,1J3J_CP6,successful,28,28,True,True
astex_diverse,1LPZ_CMB,successful,32,32,True,True
astex_diverse,1LRH_NLA,successful,28,28,True,True
astex_diverse,1MZC_BNE,successful,28,28,True,True
astex_diverse,1P2Y_NCT,successful,22,22,True,True
astex_diverse,1Q1G_MTI,successful,26,26,True,True
astex_diverse,1R9O_FLP,successful,22,22,True,True
