k,comparator,endpoint,n_matched,cross_success,within_success,delta,ci_low,ci_high,wins,losses,ties,n_discordant,sign_test_p
2,Boltz-family,oracle,702,0.5655270655270656,0.32051282051282054,0.245014245014245,0.21225071225071226,0.2777777777777778,177,5,520,182,5.284278197915279e-46
2,Boltz-family,selector,702,0.5356125356125356,0.32051282051282054,0.2150997150997151,0.18376068376068377,0.24786324786324787,159,8,535,167,1.4237142509591413e-37
2,Chai-family,oracle,474,0.6118143459915611,0.4219409282700422,0.189873417721519,0.14978902953586498,0.2320675105485232,103,13,358,116,1.5113338668025928e-18
2,Chai-family,selector,474,0.5970464135021097,0.4092827004219409,0.1877637130801688,0.14767932489451477,0.229957805907173,103,14,357,117,6.384202700912362e-18
2,DiffDock-family,oracle,419,0.6133651551312649,0.4009546539379475,0.21241050119331742,0.16706443914081145,0.2577565632458234,101,12,306,113,1.0769168220004768e-18
2,DiffDock-family,selector,419,0.5990453460620525,0.39618138424821003,0.20286396181384247,0.1575178997613365,0.24821002386634844,98,13,308,111,2.658284186005402e-17
4,Boltz-family,oracle,412,0.7014563106796117,0.6286407766990292,0.07281553398058252,0.03640776699029126,0.10922330097087378,45,15,352,60,0.00013451408092849532
4,Boltz-family,selector,412,0.6650485436893204,0.6189320388349514,0.04611650485436893,0.007281553398058253,0.08495145631067962,42,23,347,65,0.024811974571552153
4,Chai-family,oracle,470,0.6723404255319149,0.451063829787234,0.22127659574468084,0.17872340425531916,0.26382978723404255,116,12,342,128,1.552059548390754e-22
4,Chai-family,selector,470,0.6361702127659574,0.425531914893617,0.21063829787234042,0.16808510638297872,0.2531914893617021,115,16,339,131,1.1776108395283483e-19
4,DiffDock-family,oracle,418,0.6746411483253588,0.4880382775119617,0.18660287081339713,0.14114832535885166,0.23205741626794257,92,14,312,106,3.0602379412652384e-15
4,DiffDock-family,selector,418,0.638755980861244,0.47129186602870815,0.1674641148325359,0.12440191387559808,0.21052631578947367,84,14,320,98,2.4575158375112673e-13
8,Boltz-family,oracle,412,0.7233009708737864,0.6601941747572816,0.06310679611650485,0.024271844660194174,0.10194174757281553,45,19,348,64,0.0015627893448280279
8,Boltz-family,selector,412,0.6650485436893204,0.6359223300970874,0.02912621359223301,-0.009708737864077669,0.06796116504854369,41,29,342,70,0.18821620302302766
