repeat,dataset,mol_id,k,oracle_success
1,astex_diverse,1GPK_HUP,2,False
1,astex_diverse,1GPK_HUP,4,False
1,astex_diverse,1GPK_HUP,8,True
1,astex_diverse,1HNN_SKF,2,False
1,astex_diverse,1HNN_SKF,4,True
1,astex_diverse,1HNN_SKF,8,True
1,astex_diverse,1HP0_AD3,2,True
1,astex_diverse,1HP0_AD3,4,True
1,astex_diverse,1HP0_AD3,8,True
1,astex_diverse,1HQ2_PH2,2,True
1,astex_diverse,1HQ2_PH2,4,True
1,astex_diverse,1HQ2_PH2,8,True
1,astex_diverse,1HWW_SWA,2,False
1,astex_diverse,1HWW_SWA,4,False
1,astex_diverse,1HWW_SWA,8,False
1,astex_diverse,1IA1_TQ3,2,False
1,astex_diverse,1IA1_TQ3,4,True
1,astex_diverse,1IA1_TQ3,8,True
1,astex_diverse,1IG3_VIB,2,False
1,astex_diverse,1IG3_VIB,4,False
1,astex_diverse,1IG3_VIB,8,False
1,astex_diverse,1JD0_AZM,2,True
1,astex_diverse,1JD0_AZM,4,True
1,astex_diverse,1JD0_AZM,8,True
1,astex_diverse,1JJE_BYS,2,False
1,astex_diverse,1JJE_BYS,4,False
1,astex_diverse,1JJE_BYS,8,True
1,astex_diverse,1JLA_TNK,2,False
1,astex_diverse,1JLA_TNK,4,False
1,astex_diverse,1JLA_TNK,8,True
1,astex_diverse,1K3U_IAD,2,False
1,astex_diverse,1K3U_IAD,4,True
1,astex_diverse,1K3U_IAD,8,True
1,astex_diverse,1KE5_LS1,2,True
1,astex_diverse,1KE5_LS1,4,True
1,astex_diverse,1KE5_LS1,8,True
1,astex_diverse,1KZK_JE2,2,True
1,astex_diverse,1KZK_JE2,4,True
1,astex_diverse,1KZK_JE2,8,True
1,astex_diverse,1L2S_STC,2,True
1,astex_diverse,1L2S_STC,4,True
1,astex_diverse,1L2S_STC,8,True
1,astex_diverse,1L7F_BCZ,2,True
1,astex_diverse,1L7F_BCZ,4,True
1,astex_diverse,1L7F_BCZ,8,True
1,astex_diverse,1M2Z_DEX,2,False
1,astex_diverse,1M2Z_DEX,4,False
1,astex_diverse,1M2Z_DEX,8,True
1,astex_diverse,1MEH_MOA,2,True
1,astex_diverse,1MEH_MOA,4,True
1,astex_diverse,1MEH_MOA,8,True
1,astex_diverse,1N2J_PAF,2,False
1,astex_diverse,1N2J_PAF,4,False
1,astex_diverse,1N2J_PAF,8,True
1,astex_diverse,1N2V_BDI,2,True
1,astex_diverse,1N2V_BDI,4,True
1,astex_diverse,1N2V_BDI,8,True
1,astex_diverse,1N46_PFA,2,False
1,astex_diverse,1N46_PFA,4,False
1,astex_diverse,1N46_PFA,8,True
1,astex_diverse,1NAV_IH5,2,True
1,astex_diverse,1NAV_IH5,4,True
1,astex_diverse,1NAV_IH5,8,True
1,astex_diverse,1OF1_SCT,2,True
1,astex_diverse,1OF1_SCT,4,True
1,astex_diverse,1OF1_SCT,8,True
1,astex_diverse,1OPK_P16,2,True
1,astex_diverse,1OPK_P16,4,True
1,astex_diverse,1OPK_P16,8,True
1,astex_diverse,1OQ5_CEL,2,True
1,astex_diverse,1OQ5_CEL,4,True
1,astex_diverse,1OQ5_CEL,8,True
1,astex_diverse,1OWE_675,2,False
1,astex_diverse,1OWE_675,4,True
1,astex_diverse,1OWE_675,8,True
1,astex_diverse,1OYT_FSN,2,True
1,astex_diverse,1OYT_FSN,4,True
1,astex_diverse,1OYT_FSN,8,True
1,astex_diverse,1P62_GEO,2,True
1,astex_diverse,1P62_GEO,4,True
1,astex_diverse,1P62_GEO,8,True
1,astex_diverse,1PMN_984,2,False
1,astex_diverse,1PMN_984,4,True
1,astex_diverse,1PMN_984,8,True
1,astex_diverse,1Q41_IXM,2,False
1,astex_diverse,1Q41_IXM,4,False
1,astex_diverse,1Q41_IXM,8,True
1,astex_diverse,1R1H_BIR,2,True
1,astex_diverse,1R1H_BIR,4,True
1,astex_diverse,1R1H_BIR,8,True
1,astex_diverse,1R55_097,2,True
1,astex_diverse,1R55_097,4,True
1,astex_diverse,1R55_097,8,True
1,astex_diverse,1R58_AO5,2,True
1,astex_diverse,1R58_AO5,4,True
1,astex_diverse,1R58_AO5,8,True
1,astex_diverse,1S19_MC9,2,True
1,astex_diverse,1S19_MC9,4,True
1,astex_diverse,1S19_MC9,8,True
1,astex_diverse,1S3V_TQD,2,True
1,astex_diverse,1S3V_TQD,4,True
1,astex_diverse,1S3V_TQD,8,True
1,astex_diverse,1SG0_STL,2,True
1,astex_diverse,1SG0_STL,4,True
1,astex_diverse,1SG0_STL,8,True
1,astex_diverse,1SJ0_E4D,2,True
1,astex_diverse,1SJ0_E4D,4,True
1,astex_diverse,1SJ0_E4D,8,True
1,astex_diverse,1SQN_NDR,2,True
1,astex_diverse,1SQN_NDR,4,True
1,astex_diverse,1SQN_NDR,8,True
1,astex_diverse,1T40_ID5,2,False
1,astex_diverse,1T40_ID5,4,False
1,astex_diverse,1T40_ID5,8,True
1,astex_diverse,1T46_STI,2,True
1,astex_diverse,1T46_STI,4,True
1,astex_diverse,1T46_STI,8,True
1,astex_diverse,1TOW_CRZ,2,True
1,astex_diverse,1TOW_CRZ,4,True
1,astex_diverse,1TOW_CRZ,8,True
1,astex_diverse,1TT1_KAI,2,False
1,astex_diverse,1TT1_KAI,4,False
1,astex_diverse,1TT1_KAI,8,True
1,astex_diverse,1TZ8_DES,2,False
1,astex_diverse,1TZ8_DES,4,False
1,astex_diverse,1TZ8_DES,8,False
1,astex_diverse,1U4D_DBQ,2,False
1,astex_diverse,1U4D_DBQ,4,True
1,astex_diverse,1U4D_DBQ,8,True
1,astex_diverse,1UML_FR4,2,True
1,astex_diverse,1UML_FR4,4,True
1,astex_diverse,1UML_FR4,8,True
1,astex_diverse,1UOU_CMU,2,False
1,astex_diverse,1UOU_CMU,4,True
1,astex_diverse,1UOU_CMU,8,True
1,astex_diverse,1V0P_PVB,2,True
1,astex_diverse,1V0P_PVB,4,True
1,astex_diverse,1V0P_PVB,8,True
1,astex_diverse,1V48_HA1,2,False
1,astex_diverse,1V48_HA1,4,True
1,astex_diverse,1V48_HA1,8,True
1,astex_diverse,1V4S_MRK,2,True
1,astex_diverse,1V4S_MRK,4,True
1,astex_diverse,1V4S_MRK,8,True
1,astex_diverse,1VCJ_IBA,2,False
1,astex_diverse,1VCJ_IBA,4,True
1,astex_diverse,1VCJ_IBA,8,True
1,astex_diverse,1W2G_THM,2,True
1,astex_diverse,1W2G_THM,4,True
1,astex_diverse,1W2G_THM,8,True
1,astex_diverse,1X8X_TYR,2,True
1,astex_diverse,1X8X_TYR,4,True
1,astex_diverse,1X8X_TYR,8,True
1,astex_diverse,1XM6_5RM,2,False
1,astex_diverse,1XM6_5RM,4,False
1,astex_diverse,1XM6_5RM,8,True
1,astex_diverse,1XOZ_CIA,2,True
1,astex_diverse,1XOZ_CIA,4,True
1,astex_diverse,1XOZ_CIA,8,True
1,astex_diverse,1Y6B_AAX,2,False
1,astex_diverse,1Y6B_AAX,4,False
1,astex_diverse,1Y6B_AAX,8,True
1,astex_diverse,1YQY_915,2,True
1,astex_diverse,1YQY_915,4,True
1,astex_diverse,1YQY_915,8,True
1,astex_diverse,1YV3_BIT,2,True
1,astex_diverse,1YV3_BIT,4,True
1,astex_diverse,1YV3_BIT,8,True
1,astex_diverse,1YVF_PH7,2,False
1,astex_diverse,1YVF_PH7,4,False
1,astex_diverse,1YVF_PH7,8,False
1,astex_diverse,1YWR_LI9,2,True
1,astex_diverse,1YWR_LI9,4,True
1,astex_diverse,1YWR_LI9,8,True
1,astex_diverse,1Z95_198,2,False
1,astex_diverse,1Z95_198,4,True
1,astex_diverse,1Z95_198,8,True
1,astex_diverse,2BR1_PFP,2,True
1,astex_diverse,2BR1_PFP,4,True
1,astex_diverse,2BR1_PFP,8,True
1,astex_diverse,2BSM_BSM,2,True
1,astex_diverse,2BSM_BSM,4,True
1,astex_diverse,2BSM_BSM,8,True
1,dockgen,1o72_2_PC_0,2,False
1,dockgen,1o72_2_PC_0,4,False
1,dockgen,1o72_2_PC_0,8,True
1,dockgen,1qaw_1_TRP_7,2,False
1,dockgen,1qaw_1_TRP_7,4,False
1,dockgen,1qaw_1_TRP_7,8,False
1,dockgen,1sij_1_PCD_0,2,True
1,dockgen,1sij_1_PCD_0,4,True
1,dockgen,1sij_1_PCD_0,8,True
1,dockgen,1tke_1_SER_0,2,False
1,dockgen,1tke_1_SER_0,4,True
1,dockgen,1tke_1_SER_0,8,True
1,dockgen,1tkg_1_SSA_0,2,True
1,dockgen,1tkg_1_SSA_0,4,True
1,dockgen,1tkg_1_SSA_0,8,True
1,dockgen,1u8u_1_OCA_0,2,False
1,dockgen,1u8u_1_OCA_0,4,True
1,dockgen,1u8u_1_OCA_0,8,True
1,dockgen,1uf5_1_CDT_0,2,True
1,dockgen,1uf5_1_CDT_0,4,True
1,dockgen,1uf5_1_CDT_0,8,True
1,dockgen,1v2g_1_OCA_0,2,True
1,dockgen,1v2g_1_OCA_0,4,True
1,dockgen,1v2g_1_OCA_0,8,True
1,dockgen,2gf3_2_FOA_1,2,False
1,dockgen,2gf3_2_FOA_1,4,False
1,dockgen,2gf3_2_FOA_1,8,False
1,dockgen,2hk9_1_SKM_0,2,True
1,dockgen,2hk9_1_SKM_0,4,True
1,dockgen,2hk9_1_SKM_0,8,True
1,dockgen,2hs3_1_FGR_0,2,False
1,dockgen,2hs3_1_FGR_0,4,False
1,dockgen,2hs3_1_FGR_0,8,False
1,dockgen,2q37_1_3AL_0,2,True
1,dockgen,2q37_1_3AL_0,4,True
1,dockgen,2q37_1_3AL_0,8,True
1,dockgen,2q6k_1_ADN_1,2,False
1,dockgen,2q6k_1_ADN_1,4,True
1,dockgen,2q6k_1_ADN_1,8,True
1,dockgen,2r4e_1_13P_0,2,False
1,dockgen,2r4e_1_13P_0,4,True
1,dockgen,2r4e_1_13P_0,8,True
1,dockgen,2vdf_1_OCT_0,2,False
1,dockgen,2vdf_1_OCT_0,4,False
1,dockgen,2vdf_1_OCT_0,8,False
1,dockgen,2vfu_1_MTL_0,2,False
1,dockgen,2vfu_1_MTL_0,4,True
1,dockgen,2vfu_1_MTL_0,8,True
1,dockgen,2wr8_1_SAH_1,2,False
1,dockgen,2wr8_1_SAH_1,4,True
1,dockgen,2wr8_1_SAH_1,8,True
1,dockgen,2wwc_1_CHT_2,2,False
1,dockgen,2wwc_1_CHT_2,4,False
1,dockgen,2wwc_1_CHT_2,8,False
1,dockgen,2zcz_2_TRP_3,2,False
1,dockgen,2zcz_2_TRP_3,4,False
1,dockgen,2zcz_2_TRP_3,8,True
1,dockgen,2zd0_1_TRP_9,2,True
1,dockgen,2zd0_1_TRP_9,4,True
1,dockgen,2zd0_1_TRP_9,8,True
1,dockgen,2ze9_1_PD7_0,2,False
1,dockgen,2ze9_1_PD7_0,4,True
1,dockgen,2ze9_1_PD7_0,8,True
1,dockgen,3jqm_1_GTP_5,2,False
1,dockgen,3jqm_1_GTP_5,4,False
1,dockgen,3jqm_1_GTP_5,8,False
1,dockgen,3o7j_1_2AL_0,2,True
1,dockgen,3o7j_1_2AL_0,4,True
1,dockgen,3o7j_1_2AL_0,8,True
1,dockgen,3s6a_1_ANP_0,2,True
1,dockgen,3s6a_1_ANP_0,4,True
1,dockgen,3s6a_1_ANP_0,8,True
1,dockgen,3ub7_1_ACM_1,2,True
1,dockgen,3ub7_1_ACM_1,4,True
1,dockgen,3ub7_1_ACM_1,8,True
1,dockgen,3ub9_1_NHY_1,2,False
1,dockgen,3ub9_1_NHY_1,4,False
1,dockgen,3ub9_1_NHY_1,8,True
1,dockgen,3zjx_1_BOG_0,2,False
1,dockgen,3zjx_1_BOG_0,4,False
1,dockgen,3zjx_1_BOG_0,8,False
1,dockgen,4b4v_1_L34_0,2,False
1,dockgen,4b4v_1_L34_0,4,True
1,dockgen,4b4v_1_L34_0,8,True
1,dockgen,4cdn_2_FAD_0,2,True
1,dockgen,4cdn_2_FAD_0,4,True
1,dockgen,4cdn_2_FAD_0,8,True
1,dockgen,4cnl_1_CHT_1,2,True
1,dockgen,4cnl_1_CHT_1,4,True
1,dockgen,4cnl_1_CHT_1,8,True
1,dockgen,4h2f_1_ADN_0,2,False
1,dockgen,4h2f_1_ADN_0,4,False
1,dockgen,4h2f_1_ADN_0,8,True
1,dockgen,4idk_1_1FE_0,2,False
1,dockgen,4idk_1_1FE_0,4,False
1,dockgen,4idk_1_1FE_0,8,False
1,dockgen,4o95_1_245_0,2,False
1,dockgen,4o95_1_245_0,4,False
1,dockgen,4o95_1_245_0,8,True
1,dockgen,4oal_2_245_0,2,True
1,dockgen,4oal_2_245_0,4,True
1,dockgen,4oal_2_245_0,8,True
1,dockgen,4pfx_1_UDP_0,2,True
1,dockgen,4pfx_1_UDP_0,4,True
1,dockgen,4pfx_1_UDP_0,8,True
1,dockgen,4phr_1_UDP_0,2,True
1,dockgen,4phr_1_UDP_0,4,True
1,dockgen,4phr_1_UDP_0,8,True
1,dockgen,4phs_1_UDP_0,2,True
1,dockgen,4phs_1_UDP_0,4,True
1,dockgen,4phs_1_UDP_0,8,True
1,dockgen,4qa8_1_PJZ_0,2,False
1,dockgen,4qa8_1_PJZ_0,4,False
1,dockgen,4qa8_1_PJZ_0,8,False
1,dockgen,4u63_1_FAD_0,2,True
1,dockgen,4u63_1_FAD_0,4,True
1,dockgen,4u63_1_FAD_0,8,True
1,dockgen,4xfm_1_THE_0,2,False
1,dockgen,4xfm_1_THE_0,4,True
1,dockgen,4xfm_1_THE_0,8,True
1,dockgen,4ydx_1_TCE_0,2,False
1,dockgen,4ydx_1_TCE_0,4,True
1,dockgen,4ydx_1_TCE_0,8,True
1,dockgen,5b5s_1_BOG_0,2,False
1,dockgen,5b5s_1_BOG_0,4,False
1,dockgen,5b5s_1_BOG_0,8,False
1,dockgen,5f2t_1_PLM_0,2,False
1,dockgen,5f2t_1_PLM_0,4,True
1,dockgen,5f2t_1_PLM_0,8,True
1,dockgen,5hhz_1_ZME_0,2,False
1,dockgen,5hhz_1_ZME_0,4,False
1,dockgen,5hhz_1_ZME_0,8,False
1,dockgen,5hmr_1_FDZ_0,2,False
1,dockgen,5hmr_1_FDZ_0,4,True
1,dockgen,5hmr_1_FDZ_0,8,True
1,dockgen,5hqx_1_EDZ_0,2,True
1,dockgen,5hqx_1_EDZ_0,4,True
1,dockgen,5hqx_1_EDZ_0,8,True
1,dockgen,5ida_1_BMA_0,2,True
1,dockgen,5ida_1_BMA_0,4,True
1,dockgen,5ida_1_BMA_0,8,True
1,dockgen,5k3o_2_ASP_0,2,True
1,dockgen,5k3o_2_ASP_0,4,True
1,dockgen,5k3o_2_ASP_0,8,True
1,dockgen,5k45_2_GLU_1,2,True
1,dockgen,5k45_2_GLU_1,4,True
1,dockgen,5k45_2_GLU_1,8,True
1,dockgen,6ea9_1_9BG_0,2,False
1,dockgen,6ea9_1_9BG_0,4,False
1,dockgen,6ea9_1_9BG_0,8,False
1,dockgen,6o6y_1_ACK_0,2,False
1,dockgen,6o6y_1_ACK_0,4,False
1,dockgen,6o6y_1_ACK_0,8,False
1,dockgen,6o70_1_ACK_1,2,False
1,dockgen,6o70_1_ACK_1,4,False
1,dockgen,6o70_1_ACK_1,8,False
1,dockgen,6paa_1_ASP_2,2,False
1,dockgen,6paa_1_ASP_2,4,True
1,dockgen,6paa_1_ASP_2,8,True
1,dockgen,6qkr_1_FAD_0,2,True
1,dockgen,6qkr_1_FAD_0,4,True
1,dockgen,6qkr_1_FAD_0,8,True
1,dockgen,6uqy_2_AT3_0,2,True
1,dockgen,6uqy_2_AT3_0,4,True
1,dockgen,6uqy_2_AT3_0,8,True
1,dockgen,6ur1_2_AT3_0,2,False
1,dockgen,6ur1_2_AT3_0,4,False
1,dockgen,6ur1_2_AT3_0,8,False
1,dockgen,6xb3_3_9BG_1,2,False
1,dockgen,6xb3_3_9BG_1,4,False
1,dockgen,6xb3_3_9BG_1,8,False
1,dockgen,6yao_1_OJ2_0,2,False
1,dockgen,6yao_1_OJ2_0,4,True
1,dockgen,6yao_1_OJ2_0,8,True
1,dockgen,6yap_1_OHZ_0,2,False
1,dockgen,6yap_1_OHZ_0,4,False
1,dockgen,6yap_1_OHZ_0,8,False
1,dockgen,6yaq_1_OHZ_0,2,False
