"query_id","fold"
"5see__1__1.A__1.E|1.E","0"
"5sex__1__1.A__1.G|1.G","0"
"5sg5__1__1.A__1.G|1.G","0"
"5sgz__1__1.A__1.G|1.G","0"
"5si8__1__1.A__1.G|1.G","0"
"5si9__1__1.A__1.G|1.G","0"
"5siq__1__1.A__1.H|1.H","0"
"7bbn__1__1.B__1.E_1.F|1.E","0"
"7bn7__1__1.A__1.E_1.F|1.E","0"
"7bo0__1__1.A__1.C_1.D|1.C","0"
"7bo0__1__1.A__1.C_1.D|1.D","0"
"7dbj__1__1.A__1.E_1.F|1.F","0"
"7dn8__1__1.B__1.I_1.J|1.J","0"
"7du9__1__1.A_1.B__1.D|1.D","0"
"7dw7__1__1.A__1.B_1.JB_1.KB_1.LB|1.B","0"
"7e3n__1__1.A_2.A__1.B_1.C_1.D|1.B","0"
"7ef7__1__1.A__1.B_1.C|1.C","0"
"7eji__1__1.D__1.V_1.W|1.W","0"
"7ejw__1__1.A_1.B__1.I_1.J|1.I","0"
"7ekr__1__1.A__1.C|1.C","0"
"7evv__1__1.A__1.B_1.C|1.C","0"
"7f22__1__1.B__1.E_1.F|1.E","0"
"7f35__1__1.A_1.B__1.G|1.G","0"
"7f7m__1__1.A__1.C_1.D|1.C","0"
"7fak__1__1.A__1.B|1.B","0"
"7fgw__1__1.A__1.E_1.F_1.G|1.E","0"
"7fhb__1__1.A__1.B|1.B","0"
"7fti__1__1.A__1.C|1.C","0"
"7ftr__1__1.A__1.C_1.D_1.E_1.G|1.G","0"
"7fuc__1__1.A__1.C|1.C","0"
"7fwb__1__1.A__1.B|1.B","0"
"7fwl__1__1.A__1.B|1.B","0"
"7fzl__1__1.A__1.B|1.B","0"
"7g1m__1__1.A__1.B|1.B","0"
"7g20__1__1.A__1.B|1.B","0"
"7gbd__1__1.A_2.A__2.E|2.E","0"
"7gbo__1__1.A_2.A__1.E|1.E","0"
"7gbq__1__1.A_2.A__1.E|1.E","0"
"7gc4__1__1.A_2.A__1.F_1.G|1.F","0"
"7gcd__1__1.A_2.A__1.F_1.G|1.F","0"
"7gda__1__1.A_2.A__1.D|1.D","0"
"7gde__1__1.A_2.A__1.E|1.E","0"
"7ge3__1__1.A_2.A__1.D|1.D","0"
"7gen__1__1.A_2.A__2.E|2.E","0"
"7gf2__1__1.A_2.A__2.E|2.E","0"
"7gf3__1__1.A_2.A__1.E|1.E","0"
"7gf5__1__1.A_2.A__1.E|1.E","0"
"7ggd__1__1.A__1.E|1.E","0"
"7ghm__1__1.A_1.B__1.N_1.P|1.N","0"
"7gic__1__1.A_1.B__1.E_1.F_1.G|1.F","0"
"7gio__1__1.A_1.B__1.L_1.O|1.L","0"
"7giu__1__1.A_1.B__1.K_1.L|1.K","0"
"7gjq__1__1.A_1.B__1.E_1.F|1.F","0"
"7gkk__1__1.A_1.B__1.O|1.O","0"
"7gmk__1__1.A_1.B__1.E_1.J|1.J","0"
"7gng__1__1.A_1.B__1.Q|1.Q","0"
"7grw__1__1.B__1.M_1.N|1.M","0"
"7lbv__1__1.A__1.B|1.B","0"
"7ltt__1__1.A_1.C_1.D__1.E_1.L_1.M|1.L","0"
"7ly6__1__1.A_2.A__1.B_1.C_1.D|1.C","0"
"7ma1__1__1.A_1.B__1.M|1.M","0"
"7maq__1__1.A_1.B__1.C|1.C","0"
"7mt4__1__2.A_2.B__2.C|2.C","0"
"7mwu__1__1.A__1.B_1.C|1.B","0"
"7my0__1__1.A__1.C_1.F_1.G|1.C","0"
"7n54__1__1.B__1.H|1.H","0"
"7nag__1__1.A__1.C|1.C","0"
"7oll__1__1.A_2.A__2.B_2.C_2.D|2.C","0"
"7ome__1__1.A__1.B|1.B","0"
"7pcm__1__1.A_1.B__1.F_1.I_1.J_1.K|1.F","0"
"7pjm__1__1.A_1.B__1.D_1.G_1.H|1.G","0"
"7pqs__1__1.A__1.C|1.C","0"
"7pu9__1__1.A__1.B_1.C|1.C","0"
"7q6v__1__1.A__1.E|1.E","0"
"7q6w__1__1.A__1.E|1.E","0"
"7q7i__1__1.A__1.B|1.B","0"
"7qt6__1__1.A__1.B|1.B","0"
"7r9t__1__1.A__1.C|1.C","0"
"7rls__1__1.A_2.A__2.B|2.B","0"
"7s1s__1__1.A__1.C_1.D|1.D","0"
"7siu__1__1.A__1.C|1.C","0"
"7suf__1__1.A__1.B_1.D|1.B","0"
"7t5r__1__1.A_1.C__1.I_1.J|1.I","0"
"7t5x__1__1.A_1.C__1.I|1.I","0"
"7t6c__1__1.A__1.E|1.E","0"
"7t6h__1__1.A__1.C_1.D|1.C","0"
"7t6h__1__1.A__1.C_1.D|1.D","0"
"7tuo__1__1.A__1.B|1.B","0"
"7twz__1__1.A__1.G_1.K|1.G","0"
"7u2z__1__1.A__1.C|1.C","0"
"7u8w__1__1.A__1.C|1.C","0"
"7u8y__1__1.B__1.G_1.H_1.I_1.J|1.G","0"
"7u8y__1__1.B__1.G_1.H_1.I_1.J|1.H","0"
"7ueo__1__1.A_2.A__2.B_2.C_2.E|2.C","0"
"7uj8__1__1.A__1.C|1.C","0"
"7ujh__1__1.A_1.B__1.D|1.D","0"
"7utw__1__1.A_1.B__1.C_1.E_1.F|1.F","0"
"7v9d__1__2.A__2.B_2.C_2.G|2.B","0"
"7vqu__1__1.A__1.G_1.H|1.H","0"
"7w4x__1__1.A__1.C_1.D_1.E|1.E","0"
"7wc8__1__1.A__1.H|1.H","0"
"7wf5__1__1.A__1.C|1.C","0"
"7x0b__1__1.A__1.C_1.E_1.N|1.E","0"
"7x1o__1__1.A__1.C_1.D|1.D","0"
"7x3m__1__1.A__1.C_1.D|1.C","0"
"7x9l__1__1.A__1.C_1.E_1.F|1.C","0"
"7xrr__1__1.A__1.B|1.B","0"
"7y06__1__1.A__1.B_1.C|1.B","0"
"7y0f__1__1.B__1.G|1.G","0"
"7y4a__1__1.A__1.I_1.J_1.K|1.K","0"
"7ycc__1__1.A__1.D_1.E_1.F|1.D","0"
"7yha__1__1.A__1.E_1.F_1.G_1.H|1.G","0"
"7yhb__1__1.A__1.C_1.D_1.E|1.E","0"
"7yoq__1__1.B__1.D|1.D","0"
"7ypv__1__1.A_1.B__1.J|1.J","0"
"7z41__1__1.A__1.C|1.C","0"
"7z6c__1__1.A__1.B_1.C_1.D|1.C","0"
"7z74__1__1.A__1.B_1.C|1.B","0"
"7z78__1__1.A__1.D|1.D","0"
"7zig__1__1.A__1.B_1.C|1.B","0"
"7zih__1__1.A__1.B_1.C|1.C","0"
"7zkw__1__1.A_1.C__1.E|1.E","0"
"7zqk__1__1.A_1.B__1.C_1.D|1.C","0"
"8ai1__1__1.B__1.M_1.O|1.O","0"
"8am2__1__1.A__1.D|1.D","0"
"8apt__1__1.A_2.A__1.B|1.B","0"
"8apw__1__1.A_2.A__2.C|2.C","0"
"8aty__1__1.A__1.B_1.C|1.C","0"
"8au8__1__1.A_1.B__1.C_1.D_1.H|1.C","0"
"8auj__1__1.A__1.C_1.D|1.D","0"
"8b08__1__1.B__1.E|1.E","0"
"8b62__1__1.A__1.C|1.C","0"
"8b80__1__1.A__1.F_1.G|1.F","0"
"8bih__1__1.A_1.L__1.N|1.N","0"
"8bir__1__1.A_1.B__1.D|1.D","0"
"8bjd__1__1.A__1.B|1.B","0"
"8bl1__1__1.A__1.C_1.E|1.C","0"
"8bo4__1__1.A__1.C|1.C","0"
"8br0__1__1.A_1.B__1.E_1.F_1.G|1.E","0"
"8bsu__1__1.A_1.D__1.I_1.OA_1.SA|1.I","0"
"8bzx__1__1.A_1.B__1.E_1.F|1.E","0"
"8c3g__1__1.C__1.AA|1.AA","0"
"8c3r__1__1.A__1.C|1.C","0"
"8c47__1__1.B__1.E_1.F|1.E","0"
"8c7r__1__1.A__1.C_1.D|1.C","0"
"8cbu__1__1.A_1.B_1.D__1.M|1.M","0"
"8cfo__1__1.A_1.D__1.E_1.F_1.K|1.E","0"
"8cju__1__1.A__1.B|1.B","0"
"8cno__1__1.A_1.B__1.C_1.E_1.F|1.C","0"
"8coq__1__1.A__1.C_1.D|1.D","0"
"8cq8__1__1.A__1.C_1.D_1.E|1.E","0"
"8cvc__1__1.A__1.C_1.J_1.O_1.P|1.J","0"
"8cvf__1__1.A__1.D_1.E_1.F_1.G|1.D","0"
"8d19__1__1.A__1.C_1.D|1.D","0"
"8d3j__1__1.A__1.D_1.E_1.F|1.E","0"
"8dj6__1__1.C__1.F_1.O|1.F","0"
"8dkq__1__1.A__1.C_1.D|1.C","0"
"8dsc__1__1.B__1.L|1.L","0"
"8dxk__1__1.A_1.B__1.C|1.C","0"
"8e5i__1__1.A__1.B_1.E|1.B","0"
"8efj__1__1.A__1.D|1.D","0"
"8egf__1__1.A__1.B_1.C|1.B","0"
"8etd__1__1.B__1.E_1.F|1.F","0"
"8f4q__1__1.A__1.F|1.F","0"
"8f4s__1__1.A__1.D_1.E|1.D","0"
"8fdx__1__1.A__1.B_1.C|1.B","0"
"8fe9__1__1.A__1.B|1.B","0"
"8fev__1__1.A__1.C_1.D|1.D","0"
"8fh5__1__1.A__1.B_1.C|1.B","0"
"8fju__1__1.A_1.B__1.C_1.D|1.C","0"
"8fwp__1__1.A_1.B__1.D_1.E|1.D","0"
"8g3e__1__1.A__1.C|1.C","0"
"8g8o__1__1.B__1.E|1.E","0"
"8gds__1__1.A__1.E|1.E","0"
"8gjb__1__1.B__1.G_1.H|1.G","0"
"8gm5__1__1.A__1.D|1.D","0"
"8grw__1__1.A_1.B__1.C_1.D|1.D","0"
"8gwd__1__2.A__2.B_2.C|2.C","0"
"8gyj__1__1.A_1.B__1.D_1.I|1.I","0"
"8h5y__1__1.A__1.D_1.E|1.D","0"
"8h7r__1__1.A__1.B|1.B","0"
"8he8__1__1.A__1.D_1.E|1.E","0"
"8huu__1__1.A__1.C|1.C","0"
"8hxu__1__1.A__1.C_1.D_1.E|1.E","0"
"8hyk__1__1.A__1.B_1.C|1.B","0"
"8im3__1__2.C__2.K_2.L|2.L","0"
"8ind__1__1.A__1.B_1.C_1.D|1.B","0"
"8iui__1__1.A__1.C|1.C","0"
"8ix9__1__2.A__2.D_2.E_2.F|2.D","0"
"8jby__1__1.A__1.C|1.C","0"
"8jdn__1__1.A__1.B_1.C|1.C","0"
"8jdp__1__1.A__1.B_1.C|1.C","0"
"8jdr__1__1.A__1.B_1.C|1.B","0"
"8jdy__1__1.A__1.B_1.C_1.D|1.D","0"
"8jdz__1__1.A__1.B_1.C_1.D|1.B","0"
"8jkr__1__1.A__1.B_1.G_1.H_1.I|1.B","0"
"8jm8__1__1.A__1.C_1.I|1.I","0"
"8jyf__1__1.B__1.F|1.F","0"
"8ke2__1__2.A__2.B_2.C_2.D_2.E|2.D","0"
"8oqt__1__1.D__1.KA_1.LA|1.KA","0"
"8orc__1__1.B__1.J|1.J","0"
"8ou3__1__1.A_1.C__1.E|1.E","0"
"8ouu__1__1.A__1.F|1.F","0"
"8p0o__1__1.A__1.H_1.P|1.P","0"
"8p41__1__1.A__1.K_1.L|1.K","0"
"8p4z__1__1.A__1.C|1.C","0"
"8pf8__1__1.B__1.T_1.X|1.T","0"
"8pj7__1__1.A__1.B|1.B","0"
"8pp9__1__1.A__1.C_1.D_1.H|1.C","0"
"8ppg__1__1.A__1.F_1.G_1.H_1.I|1.F","0"
"8q0t__1__1.A__1.C|1.C","0"
"8q5x__1__1.A_1.C__1.E_1.F|1.E","0"
"8qe0__1__1.A_2.A__2.B|2.B","0"
"8qk2__1__1.A__1.D|1.D","0"
"8qmf__1__1.A_1.B__1.M_1.R_1.S|1.M","0"
"8qnh__1__1.A__1.B|1.B","0"
"8qtg__1__1.A__1.B|1.B","0"
"8qtl__1__1.A_1.B__1.G|1.G","0"
"8qve__1__1.A__1.B_1.D|1.B","0"
"8r0i__1__1.A_2.A__1.D|1.D","0"
"8r1p__1__1.A_1.B__1.C|1.C","0"
"8r99__1__1.A__1.B_1.C|1.B","0"
"8rb6__1__1.A__1.C_1.D|1.C","0"
"8se6__1__1.A_1.B__1.F|1.F","0"
"8sge__1__1.A__1.H|1.H","0"
"8swr__1__1.A_1.B__1.I|1.I","0"
"8t1y__1__1.A__1.B|1.B","0"
"8tqv__1__1.A__1.C|1.C","0"
"8ts9__1__1.A__1.C|1.C","0"
"8u37__1__1.A__1.B|1.B","0"
"8uk6__1__1.A__1.C|1.C","0"
"8un3__1__1.A__1.E_1.F_1.H|1.E","0"
"8v2k__1__1.C_1.D__1.N|1.N","0"
"8vdw__1__1.A__1.C_1.D_1.E_1.F|1.F","0"
"8w0m__1__1.C__1.F|1.F","0"
"8w4s__1__1.A__1.D|1.D","0"
"8wd4__1__1.A__1.B|1.B","0"
"8wjy__1__1.A__1.B|1.B","0"
"8x1a__1__1.A__1.B|1.B","0"
"5sb2__1__1.A__1.G|1.G","1"
"5sea__1__1.A__1.G|1.G","1"
"5sfg__1__1.A__1.G|1.G","1"
"5si5__1__1.A__1.G|1.G","1"
"5siy__1__1.A__1.G|1.G","1"
"5slg__1__1.A__1.G|1.G","1"
"6zg9__1__1.A__1.B|1.B","1"
"7bn6__1__1.A__1.C_1.D|1.D","1"
"7dia__1__1.A__1.D_1.E_1.G|1.E","1"
"7dij__1__1.A__1.F_1.J|1.J","1"
"7dpk__1__1.A_1.B__1.C_1.D|1.C","1"
"7ei4__1__1.A_1.B_1.C__1.F|1.F","1"
"7ene__1__1.A_1.B__1.E|1.E","1"
"7ens__1__2.A__2.B_2.C_2.D|2.B","1"
"7es1__1__1.A__1.C|1.C","1"
"7evu__1__1.B__1.E_1.F|1.F","1"
"7exp__1__1.B__1.H_1.I|1.H","1"
"7f22__1__1.B__1.E_1.F|1.F","1"
"7f6w__1__2.A__2.B|2.B","1"
"7f9b__1__1.A__1.C_1.I|1.I","1"
"7fee__1__1.A__1.D|1.D","1"
"7fha__1__1.A__1.C|1.C","1"
"7fu8__1__1.A__1.C|1.C","1"
"7fur__1__1.A__1.C_1.D_1.E_1.F|1.F","1"
"7fw3__1__1.A__1.B|1.B","1"
"7fwh__1__1.A__1.B|1.B","1"
"7fz0__1__1.A__1.E|1.E","1"
"7fzc__1__1.A__1.B|1.B","1"
"7g1e__1__1.A__1.C|1.C","1"
"7g1j__1__1.A__1.B|1.B","1"
"7gbc__1__1.A_2.A__2.E|2.E","1"
"7gc3__1__1.A_2.A__2.F|2.F","1"
"7gcu__1__1.A_2.A__1.E|1.E","1"
"7ge2__1__1.A_2.A__2.E|2.E","1"
"7ge9__1__1.A_2.A__1.E|1.E","1"
"7geg__1__1.A_2.A__2.E|2.E","1"
"7gem__1__1.A_2.A__1.E_1.F|1.E","1"
"7gf0__1__1.A_2.A__1.E|1.E","1"
"7gfz__1__1.A_2.A__2.E_2.F|2.F","1"
"7gh7__1__1.A_2.A__1.B_1.F|1.B","1"
"7gia__1__1.A_1.B__1.F|1.F","1"
"7gib__1__1.A_1.B__1.E_1.F|1.F","1"
"7gin__1__1.A_1.B__1.F_1.G|1.F","1"
"7gjg__1__1.A_1.B__1.E_1.F|1.F","1"
"7gki__1__1.A__1.I|1.I","1"
"7gmh__1__1.A_1.B__1.O|1.O","1"
"7gmi__1__1.A_1.B__1.D_1.I|1.I","1"
"7gmu__1__1.A_1.B__1.I|1.I","1"
"7grs__1__1.B__1.Q|1.Q","1"
"7lov__1__1.A__1.C_1.D_1.H|1.D","1"
"7ly6__1__1.A_2.A__1.B_1.C_1.D|1.B","1"
"7m9t__1__1.A_1.B__1.D|1.D","1"
"7ma0__1__1.A_1.B__1.I|1.I","1"
"7ma8__1__1.A_1.B__1.E|1.E","1"
"7mwt__1__1.A__1.B_1.C|1.B","1"
"7n53__1__1.A__1.D|1.D","1"
"7nlv__1__1.A_1.C__1.G|1.G","1"
"7o2t__1__1.A_2.A__1.B|1.B","1"
"7o46__1__1.A_2.A__1.B|1.B","1"
"7oa4__1__1.A__1.E_1.F_1.H_1.I|1.E","1"
"7ok1__1__1.A_1.B__1.D|1.D","1"
"7p3b__1__1.A__1.C_1.D_1.E|1.C","1"
"7p4o__1__1.A__1.C_1.F|1.F","1"
"7p50__1__1.A_1.B__1.D_1.E_1.F|1.D","1"
"7p50__1__1.A_1.B__1.D_1.E_1.F|1.F","1"
"7pqv__1__1.A__1.B|1.B","1"
"7pu9__1__1.A__1.B_1.C|1.B","1"
"7pwd__1__1.A__1.D|1.D","1"
"7pzv__1__1.A__1.B_1.C|1.C","1"
"7qqa__1__1.A_1.B__1.H_1.I|1.H","1"
"7r0d__1__1.A_1.B__1.E_1.F|1.E","1"
"7r5d__1__1.A__1.C|1.C","1"
"7r7r__1__1.A__1.B|1.B","1"
"7r9n__1__1.B__1.E|1.E","1"
"7rl2__1__1.A__1.C|1.C","1"
"7s7t__1__1.A__1.B|1.B","1"
"7sqn__1__1.A__1.B_1.E|1.B","1"
"7t2z__1__1.A_1.B__1.F_1.H|1.F","1"
"7t5k__1__1.A__1.D|1.D","1"
"7t5r__1__1.A_1.C__1.I_1.J|1.J","1"
"7td8__1__1.A_1.B__1.AA_1.W|1.AA","1"
"7tmf__1__1.A_1.B__1.J_1.P|1.J","1"
"7u64__1__1.A_1.B__1.S|1.S","1"
"7u8x__1__1.A__1.B|1.B","1"
