k,same_generator,metric,delta,ci_low,ci_high,wins,losses,ties,sign_p
2,Boltz,oracle,0.245014245014245,0.2122507122507122,0.2777777777777778,177,5,520,5.284278197915279e-46
2,Boltz,selector,0.2150997150997151,0.1837606837606837,0.2478632478632478,159,8,535,1.4237142509591413e-37
2,Chai,oracle,0.189873417721519,0.1497890295358649,0.2320675105485232,103,13,358,1.511333866802593e-18
2,Chai,selector,0.1877637130801688,0.1476793248945147,0.229957805907173,103,14,357,6.384202700912362e-18
2,DiffDock,oracle,0.2124105011933174,0.1670644391408114,0.2577565632458234,101,12,306,1.0769168220004768e-18
2,DiffDock,selector,0.2028639618138424,0.1575178997613365,0.2482100238663484,98,13,308,2.6582841860054018e-17
4,Boltz,oracle,0.0728155339805825,0.0364077669902912,0.1092233009708737,45,15,352,0.0001345140809284
4,Boltz,selector,0.0461165048543689,0.0072815533980582,0.0849514563106796,42,23,347,0.0248119745715521
4,Chai,oracle,0.2212765957446808,0.1787234042553191,0.2638297872340425,116,12,342,1.5520595483907541e-22
4,Chai,selector,0.2106382978723404,0.1680851063829787,0.2531914893617021,115,16,339,1.1776108395283485e-19
4,DiffDock,oracle,0.1866028708133971,0.1411483253588516,0.2320574162679425,92,14,312,3.0602379412652384e-15
4,DiffDock,selector,0.1674641148325359,0.124401913875598,0.2105263157894736,84,14,320,2.457515837511268e-13
8,Boltz,oracle,0.0631067961165048,0.0242718446601941,0.1019417475728155,45,19,348,0.001562789344828
8,Boltz,selector,0.029126213592233,-0.0097087378640776,0.0679611650485436,41,29,342,0.1882162030230276
