_group_id,official_hbond_proxy_unstructured_f1,selected_hbond_proxy_unstructured_f1,delta_hbond_proxy_unstructured_f1
af3|7ypu__1__1.A_1.B__1.J_1.K|1.J,0.888888888888889,0.75,-0.13888888888888895
protenix|8eym__1__1.A_1.B__1.C_1.E|1.E,0.7692307692307692,0.6666666666666666,-0.10256410256410253
boltz2|8j7j__1__1.A_1.B__1.C|1.C,0.7499999999999999,0.6666666666666666,-0.08333333333333326
af3|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.D,0.5454545454545454,0.5,-0.045454545454545414
af3|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H,0.7692307692307692,0.7272727272727272,-0.04195804195804198
af3|8oqt__1__1.D__1.KA_1.LA|1.KA,0.0,0.0,0.0
af3_no_template|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.D,0.6666666666666665,0.6666666666666665,0.0
af3_no_template|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H,0.7272727272727272,0.7272727272727272,0.0
protenix|8eym__1__1.A_1.B__1.C_1.E|1.C,0.7692307692307692,0.7692307692307692,0.0
boltz2|8g4a__1__1.A_1.B__1.C|1.C,0.0,0.6666666666666666,0.6666666666666666
af3|8oqt__1__1.D__1.KA_1.LA|1.LA,0.0,1.0,1.0
