_group_id,case_type,method_official,target_official,ligand_instance_chain_official,reference_neighborhood_similarity_official,ligand_num_heavy_atoms,ligand_num_rot_bonds,rmsd_official,rmsd_selected,rmsd_gain_official_minus_selected,ranking_score_drop_official_minus_selected,pred_protein_min_dist_selected,pred_protein_contact_density_4a_selected,pred_protein_clash_density_2a_selected,selected_pb_status,selected_geometry_plausible,strong_rescue_flag,needs_visual_review,structure_relative_path_official,structure_relative_path_selected
boltz2|8j7j__1__1.A_1.B__1.C|1.C,rescued,boltz2,8j7j__1__1.A_1.B__1.C,1.C,0.3410472369781002,25,5,8.269673347473145,1.7803895473480225,6.489283800125122,0.0043565630912781,2.81059403017588,2.8,0.0,missing,True,True,True,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/boltz2/8j7j__1__1.A_1.B__1.C/seed-2667681464_sample-0.cif,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/boltz2/8j7j__1__1.A_1.B__1.C/seed-531161204_sample-0.cif
boltz2|8g4a__1__1.A_1.B__1.C|1.C,rescued,boltz2,8g4a__1__1.A_1.B__1.C,1.C,0.2310147037633507,19,1,4.771772861480713,0.348782479763031,4.422990381717682,0.0185186862945556,2.2772779199025552,3.684210526315789,0.0,missing,True,True,True,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/boltz2/8g4a__1__1.A_1.B__1.C/seed-3453449591_sample-0.cif,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/boltz2/8g4a__1__1.A_1.B__1.C/seed-3453449591_sample-2.cif
af3|8oqt__1__1.D__1.KA_1.LA|1.KA,rescued,af3,8oqt__1__1.D__1.KA_1.LA,1.KA,0.3021172097360155,11,1,5.477558612823486,1.203909158706665,4.273649454116821,0.0015607620059452,3.2496762258908705,1.2727272727272727,0.0,missing,True,True,True,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8oqt__1__1.D__1.KA_1.LA/seed-2423057168_sample-2.cif,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8oqt__1__1.D__1.KA_1.LA/seed-1278792607_sample-3.cif
af3|8oqt__1__1.D__1.KA_1.LA|1.LA,rescued,af3,8oqt__1__1.D__1.KA_1.LA,1.LA,0.3024154635531021,11,1,5.477558612823486,1.203909158706665,4.273649454116821,0.0015607620059452,3.2496762258908705,1.2727272727272727,0.0,missing,True,True,True,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8oqt__1__1.D__1.KA_1.LA/seed-2423057168_sample-2.cif,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8oqt__1__1.D__1.KA_1.LA/seed-1278792607_sample-3.cif
af3|7ypu__1__1.A_1.B__1.J_1.K|1.J,rescued,af3,7ypu__1__1.A_1.B__1.J_1.K,1.J,0.3473158508969899,30,5,2.7236948013305664,1.369502305984497,1.3541924953460691,0.0117991576944463,2.184998908193657,2.566666666666667,0.0,missing,True,False,True,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/7ypu__1__1.A_1.B__1.J_1.K/seed-460180404_sample-1.cif,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/7ypu__1__1.A_1.B__1.J_1.K/seed-275075909_sample-4.cif
af3_no_template|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H,rescued,af3_no_template,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.H,0.2435258976826319,16,7,2.483792304992676,1.3524090051651,1.1313832998275757,0.0033649866067547,2.224232734240166,4.1875,0.0,missing,True,False,True,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3_no_templ/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-3454061907_sample-2.cif,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3_no_templ/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-3236031381_sample-3.cif
af3|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H,rescued,af3,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.H,0.2435258976826319,16,7,2.957307815551758,1.8910285234451287,1.066279292106629,0.0093315889447568,2.12429951878614,4.1875,0.0,missing,True,False,True,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-3907033700_sample-1.cif,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-1334425176_sample-0.cif
af3|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.D,rescued,af3,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.D,0.326711479979238,16,7,2.957307815551758,1.932344913482666,1.0249629020690918,0.0083880199982387,2.335073291729445,3.9375,0.0,missing,True,False,True,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-3907033700_sample-1.cif,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-42820943_sample-2.cif
af3_no_template|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.D,rescued,af3_no_template,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.D,0.326711479979238,16,7,2.483792304992676,1.6924625635147097,0.7913297414779661,0.0110500517901984,2.159737403277424,3.875,0.0,missing,True,False,True,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3_no_templ/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-3454061907_sample-2.cif,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3_no_templ/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-352697732_sample-2.cif
protenix|8eym__1__1.A_1.B__1.C_1.E|1.C,rescued,protenix,8eym__1__1.A_1.B__1.C_1.E,1.C,0.1889863473461275,19,4,2.1514687538146973,1.4076029062271118,0.7438658475875854,0.0089321136474608,2.173251779465684,3.210526315789474,0.0,missing,True,False,True,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/protenix/8eym__1__1.A_1.B__1.C_1.E/seed-3614252639_sample-0.cif,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/protenix/8eym__1__1.A_1.B__1.C_1.E/seed-323189878_sample-4.cif
