taxonomy_category,panel_use,priority_rank,case_id,dataset,method,target,ligand,memory_score,rmsd_official,rmsd_selected,delta_rmsd,mechanism_signal,visual_check_required,source_table
posebench_public_pool_harm_boundary,external_validation_case_panel,1,2ze9_1_PD7_0,dockgen,boltz_ss,2ze9_1_PD7_0,2ze9_1_PD7_0,0.3170731707317073,1.78021072380599,2.414577994582713,0.634367270776723,similarity_risk=low_similarity; pb_valid=False; score=0.6164302059496568,True,posebench_external_selection_selections
posebench_public_pool_rescue,external_validation_case_panel,1,1N1M_A3M,astex_diverse,diffdock,1N1M_A3M,1N1M_A3M,0.3170731707317073,42.6854259401555,0.4625994784908423,-42.22282646166465,similarity_risk=high_ligand_or_scaffold; pb_valid=True; score=0.3932741617357002,True,posebench_external_selection_selections
posebench_public_pool_rescue,external_validation_case_panel,2,2gag_1_NAD_0,dockgen,chai,2gag_1_NAD_0,2gag_1_NAD_0,0.2159090909090909,41.31292558379058,1.1671238998067002,-40.14580168398388,similarity_risk=low_similarity; pb_valid=False; score=0.3982820287305775,True,posebench_external_selection_selections
posebench_public_pool_rescue,external_validation_case_panel,3,1uf5_1_CDT_0,dockgen,boltz,1uf5_1_CDT_0,1uf5_1_CDT_0,0.40625,33.42330313121121,1.9979328287841247,-31.425370302427087,similarity_risk=mid_or_unknown; pb_valid=False; score=0.6158513931888545,True,posebench_external_selection_selections
posebench_public_pool_rescue,external_validation_case_panel,4,4cnl_1_CHT_1,dockgen,boltz,4cnl_1_CHT_1,4cnl_1_CHT_1,0.3076923076923077,15.037179403398763,1.6323442835382498,-13.404835119860513,similarity_risk=low_similarity; pb_valid=True; score=0.6864396284829721,True,posebench_external_selection_selections
low_memory_rescue_mechanism,main_figure_rescue_pair,1,,runs_n_poses,boltz2,8j7j__1__1.A_1.B__1.C,1.C,0.3410472369781002,8.269673347473145,1.7803895473480225,-6.489283800125122,interaction_f1=0.8260869565217391; mapping_cost=9.307321220147886,True,trans_case_figure_priority
low_memory_rescue_mechanism,main_figure_rescue_pair,2,,runs_n_poses,boltz2,8g4a__1__1.A_1.B__1.C,1.C,0.2310147037633507,4.771772861480713,0.348782479763031,-4.422990381717682,interaction_f1=0.9090909090909092; mapping_cost=0.9133587260122542,True,trans_case_figure_priority
low_memory_rescue_mechanism,main_figure_rescue_pair,3,,runs_n_poses,af3,8oqt__1__1.D__1.KA_1.LA,1.LA,0.3024154635531021,5.477558612823486,1.203909158706665,-4.273649454116821,interaction_f1=0.8333333333333334; mapping_cost=0.4780305913562737,True,trans_case_figure_priority
low_memory_rescue_mechanism,main_figure_rescue_pair,4,,runs_n_poses,af3,8oqt__1__1.D__1.KA_1.LA,1.KA,0.3021172097360155,5.477558612823486,1.203909158706665,-4.273649454116821,interaction_f1=0.5517241379310345; mapping_cost=0.4496926867190824,True,trans_case_figure_priority
low_memory_rescue_mechanism,main_figure_rescue_pair,5,,runs_n_poses,af3_no_template,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.H,0.2435258976826319,2.483792304992676,1.3524090051651,-1.1313832998275757,interaction_f1=0.8333333333333333; mapping_cost=4.417935937251759,True,trans_case_figure_priority
low_memory_rescue_mechanism,main_figure_rescue_pair,6,,runs_n_poses,af3,7ypu__1__1.A_1.B__1.J_1.K,1.J,0.3473158508969899,2.7236948013305664,1.369502305984497,-1.3541924953460691,interaction_f1=0.8837209302325583; mapping_cost=7.941667975650835,True,trans_case_figure_priority
chemistry_validity_failure,main_or_supp_failure_taxonomy,1,,runs_n_poses,chai,8p1p__1__1.A__1.E,1.E,0.310541540702914,17.34786033630371,,,failure_risk=0.9985559181694178; pb_valid=False; clash_density=0.0,True,failure_detector_predictions
